Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,2336.383333,742.366667,3.048176
 ,2,2208.619048,739.72619,2.935382
 ,3,528.403509,336.535088,1.574981
 ,4,676.964103,415.835897,1.627707
 ,5,612.004525,305.882353,2.004071
 ,6,503.886667,360.81,1.409429
 ,7,669.310734,396.909605,1.697559
 ,8,383.44863,273.400685,1.401104
 ,9,473.474771,351.013761,1.361452
 ,10,780.233273,433.661844,1.807331
 ,11,2035.29096,554.662429,3.607656
 ,12,616.274368,369.064982,1.694487
 ,13,584.446078,364.838235,1.608438
 ,14,379.190789,295.197368,1.286285
 ,15,851.736715,413.504831,2.071825
 ,16,1020.019651,781.997817,1.318355
 ,17,407.188596,330.399123,1.241118
 ,18,621.666667,326.922619,1.913616
 ,19,778.478261,457.125604,1.743888
 ,20,685.731183,449.056452,1.570957
 ,21,442.654321,375.809877,1.180085
 ,22,1203.041885,612.764398,1.989124
 ,23,661.566038,455.732704,1.456064
 ,24,1023.5,612.801887,1.73125
 ,25,666.18315,388.615385,1.737055
 ,26,542.111111,276.302469,1.964138
 ,27,500.997283,428.350543,1.186809
 ,28,801.974771,615.644495,1.376775
 ,29,472.122172,341.434389,1.382362
 ,30,781.694915,447.976695,1.760788
 ,31,740.537129,545.200495,1.362138
 ,32,512.318182,409.340909,1.252358
 ,33,866.706667,604.616667,1.447267
 ,34,1124.661017,547.127119,2.055567
 ,35,1152.633333,409.191667,2.80353
 ,36,1242.529412,558.411765,2.212159
2,1,2332.725,742.65,3.038449
 ,2,2213.27381,739.75,2.93836
 ,3,529.394737,336.622807,1.577825
 ,4,675.902564,415.102564,1.627472
 ,5,610.072398,305.457014,2.000163
 ,6,501.476667,360.596667,1.403638
 ,7,667.245763,397.276836,1.691004
 ,8,383.15411,272.14726,1.406394
 ,9,470.158257,350.944954,1.353119
 ,10,776.954792,433.710669,1.800689
 ,11,2030.632768,554.79096,3.598498
 ,12,614.487365,367.729242,1.697561
 ,13,587.691176,364.245098,1.62002
 ,14,380.657895,297.585526,1.280858
 ,15,846.299517,411.458937,2.068945
 ,16,1016.613537,780.637555,1.31629
 ,17,406.618421,332.078947,1.234457
 ,18,619.77381,326.511905,1.910046
 ,19,775.591787,457.041063,1.737008
 ,20,684.155914,447.521505,1.573298
 ,21,441.864198,375.365432,1.179559
 ,22,1201.387435,611.099476,1.992786
 ,23,662.886792,457.820755,1.451751
 ,24,1019.097484,612.91195,1.721161
 ,25,663.652015,387.274725,1.734715
 ,26,543.024691,276.388889,1.966224
 ,27,498.263587,427.380435,1.182262
 ,28,798.791284,616.736239,1.367292
 ,29,473.045249,340.122172,1.390424
 ,30,781.834746,448.216102,1.760815
 ,31,738.034653,546.485149,1.353653
 ,32,504.045455,412.045455,1.224436
 ,33,864.533333,602.733333,1.449592
 ,34,1121.932203,551.805085,2.032074
 ,35,1150.883333,411.591667,2.784014
 ,36,1236.073529,561.044118,2.188998
3,1,2567.625,738.608333,3.379322
 ,2,2473.464286,736.880952,3.29799
 ,3,570.385965,335.412281,1.705718
 ,4,741.005128,414.964103,1.78574
 ,5,664.022624,304.447964,2.183752
 ,6,541.933333,359.533333,1.519796
 ,7,728.861582,395.528249,1.854298
 ,8,408.09589,273.09589,1.491947
 ,9,506.114679,350.270642,1.457496
 ,10,853.43038,431.963834,1.984623
 ,11,2245.497175,555.134181,3.98517
 ,12,670.696751,366.978339,1.854424
 ,13,634.313725,363.607843,1.750235
 ,14,405.157895,294.638158,1.375941
 ,15,930.603865,410.913043,2.277609
 ,16,1124.641921,780.941048,1.456098
 ,17,433.960526,332.605263,1.314113
 ,18,674.315476,326.059524,2.081075
 ,19,850.374396,455.910628,1.909401
 ,20,747.196237,446.817204,1.721047
 ,21,474.750617,374.424691,1.270334
 ,22,1343.104712,607.874346,2.239818
 ,23,724,457.389937,1.586621
 ,24,1125.04717,613.078616,1.904365
 ,25,722.970696,386.333333,1.894097
 ,26,587.246914,275.864198,2.130339
 ,27,539.13587,426.05163,1.283141
 ,28,875.772936,615.651376,1.501495
 ,29,511.828054,340.692308,1.501946
 ,30,857.146186,447.923729,1.931477
 ,31,808.019802,543.690594,1.489856
 ,32,540.272727,411.522727,1.313649
 ,33,948.1,600.033333,1.597001
 ,34,1237.008475,550.542373,2.245912
 ,35,1264.908333,408.875,3.079724
 ,36,1365.617647,559.544118,2.423081
4,1,2568.925,739.25,3.3784
 ,2,2478.535714,739.47619,3.289989
 ,3,568.710526,335.27193,1.700631
 ,4,744.94359,415.251282,1.793357
 ,5,663.99095,303.036199,2.194101
 ,6,541.916667,360.17,1.518051
 ,7,727.00565,396.259887,1.846003
 ,8,406.657534,272.592466,1.489806
 ,9,505.96789,351.059633,1.455262
 ,10,848.329114,431.191682,1.976522
 ,11,2242.65113,554.648305,3.983127
