Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,406.895833,255.5625,1.570213
 ,2,372.28,249.58,1.488422
 ,3,323.518868,244.616352,1.304525
 ,4,603.149083,363.029817,1.632098
 ,5,1604.272968,472.056537,3.185296
 ,6,273.598639,236.632653,1.148115
 ,7,302.488,255.16,1.177761
 ,8,387.263158,283.692308,1.340168
 ,9,407.129555,329.712551,1.22485
 ,10,284.587413,231.458042,1.194439
 ,11,464.482659,318.708092,1.39805
 ,12,266.282051,220.594872,1.189676
 ,13,345.465686,271.387255,1.253064
 ,14,709.94086,481.317204,1.511089
 ,15,351.122378,285.073427,1.204572
 ,16,351.284483,245.982759,1.40212
 ,17,230.564103,213.75641,1.078315
 ,18,248.259615,213.605769,1.15969
 ,19,252.342105,213.95614,1.169569
 ,20,705.863333,417.263333,1.696605
 ,21,317.109155,278.838028,1.129727
 ,22,654.21519,491.439421,1.302489
 ,23,325.60597,248.746269,1.25863
 ,24,524.602113,357.362676,1.381714
 ,25,859.494681,326.207447,2.56431
 ,26,407.373874,314.427928,1.262429
 ,27,443.382199,254.413613,1.725261
 ,28,258.29021,224.332168,1.141534
 ,29,277.223684,236.219298,1.165142
 ,30,240.53125,224.5625,1.070106
 ,31,376.285211,304.362676,1.195722
 ,32,492.760753,296.83871,1.595652
 ,33,334.444444,271.163194,1.228105
 ,34,549.717391,425.105072,1.256918
 ,35,497.668367,388.119898,1.274886
 ,36,553.967033,354.589744,1.48319
2,1,408.479167,255.385417,1.576467
 ,2,373.5,248.64,1.499001
 ,3,324.18239,243.289308,1.314028
 ,4,594.366972,359.598624,1.623815
 ,5,1603.540636,472.213781,3.181204
 ,6,273.918367,236.632653,1.14894
 ,7,300.92,253.92,1.177186
 ,8,385.311741,284.080972,1.33203
 ,9,408.238866,329.210526,1.229963
 ,10,284.174825,231.297203,1.193626
 ,11,465.49711,317.962428,1.403225
 ,12,266.041026,220.4,1.189573
 ,13,340.382353,271.343137,1.23538
 ,14,705.674731,479.994624,1.506085
 ,15,350.41958,285.038462,1.202167
 ,16,349.387931,246.439655,1.392303
 ,17,229.897436,211.448718,1.086996
 ,18,247.586538,214.442308,1.152356
 ,19,253.105263,214.403509,1.170947
 ,20,703.36,419.596667,1.681144
 ,21,317.228873,279.545775,1.127033
 ,22,645.526221,482.399638,1.30968
 ,23,324.570149,249.047761,1.253897
 ,24,524.077465,356.665493,1.384209
 ,25,854.292553,327.180851,2.542325
 ,26,411.004505,318.288288,1.257246
 ,27,442.104712,253.874346,1.723572
 ,28,257.905594,224.56993,1.138576
 ,29,277.671053,236.539474,1.165759
 ,30,239.234375,224.328125,1.065338
 ,31,377.105634,306.130282,1.192394
 ,32,491.13172,297.352151,1.587513
 ,33,335.180556,271.170139,1.230028
 ,34,550.442029,425.713768,1.259477
 ,35,496.494898,387.969388,1.272107
 ,36,555.139194,355.641026,1.482271
3,1,433.666667,256.052083,1.667755
 ,2,398.18,248.26,1.599932
 ,3,341.075472,243.685535,1.377748
 ,4,643.908257,360.052752,1.748312
 ,5,1779.45583,471.94788,3.523579
 ,6,282.14966,235.591837,1.186522
