Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,535.448864,285.434659,1.879009
 ,2,432.916667,254.833333,1.699179
 ,3,432.811111,267.872222,1.616567
 ,4,491,278.428571,1.764666
 ,5,602.008837,285.684831,2.10846
 ,6,555.789954,285.821918,1.944154
 ,7,694.768966,354.694828,1.9781
 ,8,824.869565,317.838164,2.59529
 ,9,498.727273,253.174242,1.970111
 ,10,632.855335,340.768535,1.864401
 ,11,526.680608,318.918251,1.652496
 ,12,488.530303,282.04697,1.735043
 ,13,469,247.458333,1.894679
 ,14,486.976378,270.137795,1.803997
 ,15,625.214286,283.407738,2.200333
 ,16,486.329545,303.200758,1.606932
 ,17,459.112385,250.715596,1.831463
 ,18,424.303887,276.523852,1.536238
 ,19,759.750769,351.646154,2.161773
 ,20,732.92132,332.616751,2.201294
 ,21,501.418239,320.962264,1.563157
 ,22,756.461382,369.528455,2.062359
 ,23,521.646925,269.125285,1.937829
 ,24,453.515094,254.635849,1.781723
 ,25,391.471795,260.661538,1.501195
 ,26,491.090484,287.912637,1.708896
 ,27,677.379388,375.159683,1.803882
 ,28,422.954106,244.084541,1.731048
 ,29,420.711957,258.813406,1.62824
 ,30,608.484634,450.885343,1.35565
 ,31,647.612988,357.165787,1.820021
 ,32,395.869565,253.355072,1.562661
 ,33,417.991228,233.491228,1.790415
 ,34,423.210526,237.138158,1.78406
 ,35,669.610825,324.680412,2.07471
 ,36,500.97878,329.558355,1.53047
 ,37,652.32437,375.596639,1.737983
 ,38,552.300459,369.529817,1.502343
 ,39,525.585526,286.752193,1.837658
 ,40,654.181223,303.480349,2.160707
 ,41,850.24,343.04,2.487246
 ,42,710.154589,358.589372,1.972021
 ,43,627.398551,293.833333,2.134159
 ,44,792.19697,412.655303,1.930004
 ,45,573.824281,302.955272,1.895936
 ,46,657.292857,329.683333,1.990435
 ,47,493.80226,287.389831,1.718152
 ,48,537.445614,295.212281,1.817629
 ,49,442.752632,304.529825,1.454868
 ,50,440.867961,276.984466,1.589677
 ,51,583.531421,289.295082,2.021063
 ,52,461.149515,285.553398,1.613683
 ,53,440.41165,246.815534,1.783394
 ,54,421.913043,240.338164,1.753774
 ,55,591.320961,309.962882,1.911226
 ,56,548.644161,312.965328,1.754246
 ,57,486.254348,303.371739,1.604318
 ,58,430.003623,321.045894,1.340657
 ,59,370.092105,237.638158,1.55774
 ,60,512.736328,300.908203,1.704287
 ,61,607.384146,307.609756,1.965065
 ,62,710.910798,332.251174,2.146173
 ,63,389.312102,253.974522,1.533077
 ,64,384.010563,259.616197,1.479787
 ,65,560.51004,311.148594,1.789619
 ,66,483.458027,277.78056,1.727428
 ,67,508.745614,269.052632,1.888591
 ,68,411.071078,255.985294,1.605734
 ,69,476.767442,286.717054,1.661589
 ,70,428.694915,253.90678,1.686148
 ,71,357.880503,231.336478,1.548174
 ,72,478.898279,307.680751,1.561002
 ,73,476.325581,248.651163,1.915403
 ,74,450.698905,252.408759,1.786523
 ,75,473.03,291.026667,1.625365
 ,76,542.625758,307.415152,1.760334
