Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,219.586207,205.17931,1.070493
 ,2,216.628571,205.7,1.053365
 ,3,221.994681,205.670213,1.079645
 ,4,217.780488,204.27439,1.066353
 ,5,224.687273,207.007273,1.085734
 ,6,218.664634,205.689024,1.063365
 ,7,218.983051,205.661017,1.065051
 ,8,218.32852,206.436823,1.057904
 ,9,228.924419,207.156977,1.105407
 ,10,263.996429,227.535714,1.160588
 ,11,216.820988,204.919753,1.058395
 ,12,217.017094,206.008547,1.053704
 ,13,225.209677,206.096774,1.092949
 ,14,219.991667,205.716667,1.069614
 ,15,221.651163,206.837209,1.071892
2,1,220.315517,205.117241,1.074322
 ,2,217.328571,204.871429,1.061029
 ,3,221.728723,205.808511,1.077563
 ,4,218.530488,204.963415,1.066498
 ,5,225,206.538182,1.089674
 ,6,219.542683,205.420732,1.069006
 ,7,219.309322,205.271186,1.068646
 ,8,218.173285,206.259928,1.058039
 ,9,229.761628,207.819767,1.105835
 ,10,264.957143,226.732143,1.168879
 ,11,217.240741,204.876543,1.060555
 ,12,216.846154,206.358974,1.051091
 ,13,224.064516,206,1.087936
 ,14,219.391667,206.141667,1.064458
 ,15,222.139535,205.72093,1.079998
3,1,216.853448,205.413793,1.055939
 ,2,214.571429,204.8,1.047968
 ,3,217.845745,205.319149,1.061272
 ,4,214.890244,205.439024,1.046325
 ,5,220.629091,206.636364,1.068004
 ,6,216.079268,205.408537,1.052204
 ,7,215.902542,205.665254,1.050034
 ,8,215.617329,206.310469,1.045338
 ,9,224.75,207.540698,1.08326
 ,10,255.821429,227.757143,1.123698
 ,11,213.716049,204.567901,1.044973
 ,12,214.307692,205.57265,1.042681
 ,13,221.177419,206.693548,1.070291
 ,14,216.775,205.591667,1.054733
 ,15,218.511628,206.44186,1.058761
4,1,216.765517,205.07931,1.057287
 ,2,214.942857,204.971429,1.048897
 ,3,217.452128,205.351064,1.059141
 ,4,214.963415,205.506098,1.046337
 ,5,220.330909,206.370909,1.067898
 ,6,216.682927,205.621951,1.054037
 ,7,215.508475,205.330508,1.049806
 ,8,215.462094,206.888087,1.041691
 ,9,224.790698,207.319767,1.084549
 ,10,254.771429,226.182143,1.126769
 ,11,213.888889,204.722222,1.045041
 ,12,214.128205,206,1.039754
 ,13,220.967742,205.935484,1.073316
 ,14,217.008333,205.2,1.05775
 ,15,219.302326,206.372093,1.062893
5,1,216.789655,205.241379,1.056514
 ,2,215.3,206.1,1.044879
 ,3,217.702128,204.920213,1.062651
 ,4,214.97561,205.091463,1.048419
 ,5,220.549091,206.723636,1.067147
 ,6,217.280488,205.414634,1.058082
 ,7,215.745763,205.457627,1.050343
 ,8,215.086643,205.98917,1.044409
 ,9,225.52907,207.598837,1.08669
 ,10,254.935714,226.817857,1.124367
 ,11,214.074074,205.425926,1.042392
 ,12,214.051282,206.273504,1.037949
 ,13,222.193548,206.129032,1.078322
 ,14,216.383333,205.833333,1.051438
 ,15,219.930233,206.488372,1.065325
6,1,216.794828,205.441379,1.055514
 ,2,214.557143,205.457143,1.04448
 ,3,217.739362,205.595745,1.059332
 ,4,215.103659,205.097561,1.049088
 ,5,221.116364,207.032727,1.068268
 ,6,215.817073,205.835366,1.048763
 ,7,215.326271,205.707627,1.047024
 ,8,215.133574,206.231047,1.043481
 ,9,225.656977,207.436047,1.088094
 ,10,255.132143,226.760714,1.125536
 ,11,213.660494,204.722222,1.043907
 ,12,214.230769,205.632479,1.042086
 ,13,221.435484,205.596774,1.077346
 ,14,216.6,205.408333,1.054701
 ,15,219.302326,205.767442,1.065957
7,1,217.039655,205.263793,1.057596
 ,2,214.157143,205.585714,1.041961
 ,3,218.276596,206.026596,1.059701
 ,4,215.231707,204.914634,1.050599
 ,5,221.04,206.570909,1.070345
 ,6,215.823171,206.182927,1.047111
 ,7,215.559322,205.605932,1.048654
 ,8,215.176895,206.303249,1.043279
 ,9,224.813953,207.459302,1.083881
 ,10,254.389286,227.589286,1.118178
 ,11,213.969136,204.839506,1.04473
 ,12,214.418803,205.982906,1.041184
 ,13,221.596774,205.709677,1.077615
 ,14,216.325,205.841667,1.051193
 ,15,218.72093,207.069767,1.056522
8,1,216.589655,205.422414,1.054642
 ,2,214.085714,205.328571,1.042944
 ,3,217.765957,205.117021,1.061907
 ,4,214.597561,204.420732,1.049981
 ,5,220.981818,206.865455,1.068559
 ,6,215.347561,205.97561,1.045726
 ,7,215.372881,205.402542,1.048805
 ,8,215.444043,206.808664,1.041985
 ,9,225.052326,207.575581,1.084472
 ,10,255.107143,227.010714,1.12416
 ,11,213.549383,204.765432,1.043151
 ,12,214.931624,206.555556,1.040793
 ,13,221.967742,206.725806,1.074016
 ,14,216.425,205.5,1.053438
 ,15,218.837209,206.976744,1.057465
9,1,216.462069,205.181034,1.055271
 ,2,214.885714,205.714286,1.044863
 ,3,217.25,205.388298,1.058006
 ,4,214.853659,204.95122,1.048606
 ,5,220.825455,206.443636,1.069916
 ,6,216,205.5,1.051316
 ,7,216.275424,205.432203,1.052994
 ,8,215.198556,205.722022,1.046317
 ,9,224.703488,207.69186,1.082322
 ,10,254.521429,226.778571,1.12283
 ,11,213.839506,204.388889,1.046565
 ,12,214.418803,206.700855,1.037497
 ,13,221.096774,206.741935,1.069669
 ,14,216.758333,205.35,1.055804
 ,15,220.139535,206.232558,1.067591
