Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,342.619318,238.948864,1.394357
 ,2,697.678571,336.047619,2.075179
 ,3,249.65,211.922222,1.177989
 ,4,227.321429,208.392857,1.091071
 ,5,263.888071,214.686303,1.218365
 ,6,242.027397,209.863014,1.153191
 ,7,255.82931,220.039655,1.161196
 ,8,305.7343,221.775362,1.368894
 ,9,249.393939,210.772727,1.183476
 ,10,233.168174,208.766727,1.117114
 ,11,356.334601,237.159696,1.489299
 ,12,269.248485,213.912121,1.257792
 ,13,322.908333,224.925,1.431933
 ,14,249.551181,212.232283,1.175855
 ,15,259.511905,213.595238,1.213671
 ,16,363.397727,254.719697,1.421941
 ,17,257.350917,215.422018,1.191165
 ,18,224.032686,207.109541,1.081998
 ,19,245.886154,211.693846,1.159994
 ,20,220.662437,206.53934,1.068642
 ,21,217.783019,206.040881,1.0573
 ,22,219.599593,206.760163,1.062363
 ,23,350.072893,240.29385,1.421636
 ,24,263.177358,218.107547,1.196036
 ,25,238.753846,209.902564,1.137617
 ,26,349.669267,229.686427,1.491527
 ,27,260.365798,211.01812,1.233246
 ,28,226.864734,211.111111,1.07498
 ,29,254.543478,211.231884,1.204676
 ,30,417.583924,241.425532,1.676904
 ,31,253.119852,218.153643,1.158987
 ,32,241.695652,211.449275,1.143314
 ,33,489.833333,318.289474,1.541519
 ,34,459.25,270.690789,1.689999
 ,35,227.384021,207.91366,1.093894
 ,36,245.465517,212.267905,1.152662
 ,37,243.721008,216.648739,1.121983
 ,38,223.284404,206.433486,1.081903
 ,39,236.263158,209.559211,1.127464
 ,40,251.235808,211.954148,1.180035
 ,41,758.4825,398.0925,1.907439
 ,42,217.978261,205.449275,1.061218
 ,43,243.876812,211.391304,1.153556
 ,44,248.231061,212.965909,1.165025
 ,45,270.239617,215.674121,1.241793
 ,46,225.857143,207.754762,1.087112
 ,47,225.423729,207.158192,1.088509
 ,48,235.098246,209.14386,1.124328
 ,49,283.554386,223.484211,1.251522
 ,50,243.520388,213.040777,1.142389
 ,51,240.941257,211.129781,1.13887
 ,52,381.359223,236.475728,1.600481
 ,53,351.466019,248.986408,1.406303
 ,54,451.427536,256.502415,1.750099
 ,55,366.093886,246.222707,1.466017
 ,56,231.177007,208.644161,1.108219
 ,57,278.486957,230.095652,1.190677
 ,58,477.520531,276.027778,1.687833
 ,59,251.157895,213.914474,1.174015
 ,60,236.841797,210.158203,1.126986
 ,61,668.618902,283.387195,2.282346
 ,62,327.692488,235.084507,1.391721
 ,63,232.082803,209.286624,1.109102
 ,64,271.207746,215.802817,1.251411
 ,65,467.016064,274.447791,1.692194
 ,66,389.044183,244.559647,1.560836
 ,67,223.256579,205.859649,1.084724
 ,68,239.379902,208.509804,1.147975
 ,69,224.577519,205.848837,1.09124
 ,70,270.211864,217.90678,1.238585
 ,71,328.59434,242.927673,1.328168
 ,72,384.818466,255.971831,1.492784
 ,73,477.162791,284.674419,1.673366
 ,74,447.510949,298.80292,1.494819
 ,75,253.753333,212.8,1.186408
 ,76,224.624242,206.637879,1.087319
 ,77,222.867424,206.636364,1.078838
 ,78,222.706522,206.797101,1.077237
 ,79,341.02489,232.363104,1.417056
 ,80,222.273333,206.08,1.078898
 ,81,226.372611,208.334395,1.086733
 ,82,251.903846,209.788462,1.200988
 ,83,218.05914,205.043011,1.063759
 ,84,221.453012,205.619277,1.077357
 ,85,314.166667,220.842105,1.36564
 ,86,239.627941,209.116176,1.143842
 ,87,551.541516,278.00722,1.906078
 ,88,234.82377,210.004098,1.117103
 ,89,510.662252,297.07947,1.712443
 ,90,389.212534,256.128065,1.480094
 ,91,744.294715,407.457317,1.830514
 ,92,250.057915,214.700772,1.157682
 ,93,283.129964,231.252708,1.199544
 ,94,225.744186,206.647287,1.092745
 ,95,230.142308,207.519231,1.109272
 ,96,229.82716,208.555556,1.102359
 ,97,222.885362,206.162257,1.08137
 ,98,221.012438,205.880597,1.073837
 ,99,223.135863,206.553244,1.080565
 ,100,230.563725,207.303922,1.112151
 ,101,225.526667,206.616667,1.091792
 ,102,225.222973,206.905405,1.088714
 ,103,252.277344,215.074219,1.171455
 ,104,252.966667,215.7,1.17304
 ,105,252.612385,216.169725,1.162858
 ,106,230.884615,207.730769,1.111581
 ,107,360.720588,236.122549,1.507818
 ,108,370.32605,242.835294,1.517295
 ,109,292.167431,229.559633,1.240999
 ,110,290.281796,214.13217,1.337145
 ,111,261.27248,221.313351,1.167462
 ,112,278.175758,220.134848,1.258676
 ,113,239.166667,210.078947,1.136622
 ,114,258.552265,209.526132,1.226429
 ,115,258,214.411765,1.196511
 ,116,260.626667,215.943333,1.205249
 ,117,293.105263,220.789474,1.328216
 ,118,237.963277,207.638418,1.145923
 ,119,255.206061,214.224242,1.189881
 ,120,247.959091,214.679545,1.152571
 ,121,222.222222,206.717593,1.075238
 ,122,232.456989,209.478495,1.109596
 ,123,298.307018,231.175439,1.287994
 ,124,238.54251,207.935223,1.147352
 ,125,225.276316,206.486842,1.091282
 ,126,256.55625,216.6,1.178981
 ,127,229.435065,208.337662,1.101457
 ,128,326.416388,226.036789,1.428544
 ,129,237.605072,209.561594,1.133814
 ,130,522.952381,255.011905,2.050288
