Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,224.288503,205.848156,1.089797
 ,2,275.188172,222.080645,1.223526
 ,3,875.035897,344.579487,2.496231
 ,4,230.532609,207.115942,1.113323
 ,5,219.045775,204.841549,1.069571
 ,6,227.345614,208.787719,1.088823
 ,7,218.754412,206.470588,1.059769
 ,8,221.866667,206.533333,1.074502
 ,9,226.8,207.22,1.094846
 ,10,320.142157,255.102941,1.257272
 ,11,288.166667,218.416667,1.304714
 ,12,547.881579,293.385965,1.870402
 ,13,464.026316,245.861842,1.875575
2,1,224.555315,206.015184,1.090258
 ,2,274.919355,221.494624,1.225536
 ,3,874.733333,345.476923,2.486479
 ,4,231.166667,207.880435,1.112267
 ,5,218.96831,204.830986,1.06932
 ,6,227.529825,208.324561,1.092138
 ,7,218.958824,206.286765,1.061678
 ,8,222.36,207.413333,1.072399
 ,9,225.32,207.96,1.083705
 ,10,319.220588,255.102941,1.253662
 ,11,288.03869,218.77381,1.302169
 ,12,545.859649,294.618421,1.855283
 ,13,465.450658,245.75,1.88172
3,1,220.173536,206.370933,1.067064
 ,2,265.543011,222.301075,1.181335
 ,3,785.476923,343.897436,2.245954
 ,4,227.347826,207.26087,1.097179
 ,5,215.570423,205.183099,1.050878
 ,6,223.140351,208.85614,1.06844
 ,7,215.625,206.608824,1.043929
 ,8,218.546667,207.013333,1.056016
 ,9,221.04,207.16,1.067175
 ,10,304.686275,255.47549,1.194888
 ,11,276.199405,218.595238,1.250433
 ,12,502.214912,294.899123,1.705128
 ,13,430.720395,245.529605,1.744431
4,1,220.54013,205.806941,1.071863
 ,2,265.758065,221.456989,1.186396
 ,3,784.071795,341.54359,2.255103
 ,4,227.311594,207.25,1.097094
 ,5,215.774648,205.299296,1.051305
 ,6,223.164912,208.215789,1.071799
 ,7,215.767647,206.166176,1.046835
 ,8,218.306667,205.986667,1.060018
 ,9,221.7,208,1.065986
 ,10,304.426471,256.02451,1.191451
 ,11,276.3125,218.678571,1.251192
 ,12,503.407895,294.157895,1.71402
 ,13,430.595395,245.101974,1.746999
5,1,220.735358,206.212581,1.070674
 ,2,265.5,221.61828,1.184451
 ,3,779.389744,342.512821,2.237684
 ,4,227.144928,207.956522,1.092511
 ,5,216.147887,205.390845,1.052662
 ,6,223.478947,208.45614,1.072079
 ,7,216.042647,206.477941,1.04658
 ,8,218.16,206.333333,1.05758
 ,9,223.14,208.34,1.071318
 ,10,303.294118,254.745098,1.19232
 ,11,276.89881,218.625,1.254333
 ,12,501.899123,292.925439,1.716444
 ,13,430.243421,245.190789,1.744883
6,1,220.446855,206.065076,1.070033
 ,2,266.72043,221.494624,1.190786
 ,3,781.45641,343.123077,2.238638
 ,4,226.576087,207.384058,1.092864
 ,5,215.81338,205.278169,1.051581
 ,6,223.703509,208.480702,1.073
