Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,273.085227,218.892045,1.243776
 ,2,474.904762,314.452381,1.505457
 ,3,494.05,297.738889,1.650198
 ,4,245.535714,212,1.158391
 ,5,260.606775,214.911635,1.210099
 ,6,405.593607,264.538813,1.468425
 ,7,375.422414,247.281034,1.497949
 ,8,268.297101,214.76087,1.248909
 ,9,464.727273,247.613636,1.863747
 ,10,253.479204,213.061483,1.189904
 ,11,285.146388,243.068441,1.18124
 ,12,235.490909,210.245455,1.120036
 ,13,348.608333,269.35,1.286347
 ,14,536.314961,402.590551,1.334812
 ,15,255.428571,219.60119,1.163399
 ,16,241.181818,210.507576,1.144458
 ,17,257.768349,213.215596,1.20413
 ,18,271.280919,226.19258,1.182103
 ,19,231.486154,208.733846,1.109009
 ,20,217.630711,206.269036,1.055306
 ,21,218.097484,205.814465,1.059953
 ,22,235.53252,208.918699,1.124734
 ,23,432.223235,274.697039,1.563776
 ,24,244.698113,209.896226,1.163517
 ,25,291.271795,218.2,1.322156
 ,26,230.324493,207.765991,1.108512
 ,27,573.816535,298.019253,1.923753
 ,28,223.004831,206.81401,1.078527
 ,29,342.13587,224.568841,1.50672
 ,30,241.345154,212.171395,1.135485
 ,31,300.837381,235.738648,1.266046
 ,32,242.485507,212.065217,1.14345
 ,33,245.640351,216.95614,1.13121
 ,34,360.388158,241.348684,1.465446
 ,35,261.358247,216.701031,1.183404
 ,36,266.799735,225.515915,1.18154
 ,37,246.094118,212.141176,1.149515
 ,38,225.194954,206.417431,1.091223
 ,39,595.548246,289.973684,2.058243
 ,40,421.004367,277.886463,1.507295
 ,41,308.6775,226.615,1.351838
 ,42,230.458937,209.306763,1.101454
 ,43,238.554348,210.572464,1.132572
 ,44,355.810606,237.19697,1.468293
 ,45,226.271565,207.945687,1.088162
 ,46,218.954762,206.654762,1.059754
 ,47,380.259887,267.214689,1.402641
 ,48,398.891228,250.657895,1.556582
 ,49,269.489474,221.222807,1.190276
 ,50,324.512621,227.530097,1.397621
 ,51,304.535519,224.092896,1.3419
 ,52,254.023301,220.770874,1.15045
 ,53,229.728155,207.761165,1.105494
 ,54,251.309179,211.222222,1.18677
 ,55,226.670306,207.386463,1.093298
 ,56,272.978102,214.673358,1.26683
 ,57,289.845652,220.063043,1.310687
 ,58,291.602657,218.227053,1.330984
 ,59,237.592105,211.967105,1.120823
 ,60,293.628906,229.136719,1.277929
 ,61,255.454268,211.02439,1.209408
 ,62,231.504695,208.657277,1.109721
 ,63,301.66879,220.808917,1.359928
 ,64,247.496479,216.147887,1.145141
 ,65,299.483936,217.186747,1.374243
 ,66,349.874816,246.250368,1.420519
 ,67,335.859649,223.857456,1.489081
 ,68,357.85049,227.536765,1.492906
 ,69,226.589147,208.585271,1.086558
 ,70,549.902542,321.127119,1.715238
 ,71,513.283019,303.81761,1.692137
 ,72,348.475743,229.589984,1.473625
 ,73,261.418605,220.744186,1.184591
 ,74,256.191606,213.854015,1.192571
 ,75,253.753333,212.8,1.186408
 ,76,295.2,222.648485,1.299606
 ,77,225.132576,206.856061,1.088631
 ,78,445.851449,251.57971,1.736576
 ,79,307.549048,222.352855,1.342681
 ,80,224.083333,207.076667,1.082473
 ,81,235.343949,215.707006,1.090173
 ,82,231.269231,207.653846,1.114064
 ,83,219.188172,205.575269,1.0665
 ,84,225.346988,206.879518,1.089374
 ,85,220.460526,205.596491,1.072558
 ,86,286.383824,230.132353,1.2137
 ,87,403.577617,243.642599,1.560788
 ,88,542.354508,275.538934,1.878299
 ,89,227.86755,207.629139,1.097687
 ,90,792.844687,412.079019,1.930409
 ,91,236.804878,209.510163,1.130427
 ,92,234.940154,209.602317,1.119472
 ,93,265.480144,214.638989,1.236818
 ,94,276.868217,214.96124,1.279135
 ,95,294.1,276.873077,1.064059
 ,96,274.598765,227.62963,1.1959
 ,97,331.082892,242.989418,1.349729
 ,98,243.910448,210.042289,1.157404
 ,99,238.107711,208.805386,1.140511
 ,100,234.585784,210.639706,1.11374
 ,101,261.093333,211.816667,1.229436
 ,102,328.986486,227.466216,1.44044
 ,103,234.810547,209.689453,1.119784
 ,104,292,220.1,1.32428
 ,105,230.068807,207.62156,1.107857
 ,106,342.538462,250.086538,1.354867
 ,107,283.107843,220.004902,1.280757
 ,108,223.714286,206.268908,1.084589
 ,109,224.08945,206.188073,1.087097
 ,110,230.187032,207.9202,1.105429
 ,111,374.980926,225.923706,1.646614
 ,112,303.781818,216.874242,1.374043
 ,113,291.785088,213.377193,1.357878
 ,114,271.259582,224.186411,1.209617
 ,115,231.382353,209.926471,1.10234
 ,116,340.236667,223.646667,1.508767
 ,117,238.868421,208.789474,1.144228
 ,118,227.69774,206.425141,1.103194
 ,119,355.49697,239.707576,1.47255
 ,120,300.019318,231.284091,1.285375
 ,121,233.435185,207.916667,1.122895
 ,122,317.107527,222.650538,1.401091
 ,123,224.653509,206.258772,1.089475
 ,124,233.008097,210.17004,1.108379
 ,125,340.776316,247.835526,1.36839
 ,126,253.26875,222.2375,1.140287
 ,127,225.363636,206.422078,1.091938
 ,128,310.784281,220.901338,1.402264
 ,129,436.318841,253.315217,1.716931
 ,130,243.190476,213.702381,1.13829
 ,131,366.307317,240.473171,1.490914
 ,132,225.128049,206.378049,1.091063
 ,133,349.943452,236.4375,1.449083
 ,134,217.823171,204.955285,1.063069
 ,135,222.514493,206.561594,1.077349
 ,136,241.76,207.88,1.16234
 ,137,228.387097,209.064516,1.092572
 ,138,226.412821,206.769231,1.095023
 ,139,221.109848,205.761364,1.074879
 ,140,222.530303,206.689394,1.076867
 ,141,219.775806,206.262903,1.065805
 ,142,233.621469,215.632768,1.083596
 ,143,225.935185,207.407407,1.089133
 ,144,234.226721,210.307692,1.113194
 ,145,334.673228,236.433071,1.41532
 ,146,349.367647,295.191176,1.185793
 ,147,336.685315,257.933566,1.305135
 ,148,240.798354,211.790123,1.136858
 ,149,302.60339,243.413559,1.21036
 ,150,897.587224,471.203931,1.908089
 ,151,298.099432,231.446023,1.275354
 ,152,567.270833,559.375,1.019646
 ,153,364.420455,262.431818,1.390909
 ,154,226.652857,209.304286,1.08323
 ,155,224.285714,207.609244,1.080626
 ,156,323.469636,235.753036,1.35401
 ,157,224.285714,208.964286,1.073733
 ,158,258.580994,211.334773,1.222262
 ,159,247.914847,209.884279,1.181019
 ,160,251.860092,210.268349,1.197026
 ,161,259.380062,258.88162,1.004224
 ,162,359.960227,241.676136,1.449873
 ,163,291.461039,225.37013,1.290795
 ,164,737.896552,400.931034,1.849936
 ,165,343,234.606061,1.449139
 ,166,234.465587,208.137652,1.126761
 ,167,550.700809,305.407008,1.802541
 ,168,244.877953,212.129921,1.153275
 ,169,268.719298,213.991228,1.249848
 ,170,401.982533,231.484716,1.660049
 ,171,334.534553,225.930894,1.458218
 ,172,407.56446,239.963415,1.548859
 ,173,418.446237,248.516129,1.599331
 ,174,221.283582,207.114428,1.068702
 ,175,483.808171,310.487567,1.557523
 ,176,425.050781,247.320313,1.710275
 ,177,312.028522,218.536733,1.400485
 ,178,229.83945,207.119266,1.109878
 ,179,245.461165,208.925566,1.171713
 ,180,236.921875,210.25,1.127187
 ,181,335.572183,222.598592,1.488472
 ,182,343.754098,270.135246,1.254723
 ,183,232.004505,209.425676,1.108057
 ,184,265.264501,213.071926,1.229761
 ,185,254.837398,210.770325,1.209047
 ,186,315.691176,220.691176,1.431073
 ,187,233.150655,207.572052,1.122633
 ,188,230.565134,209.754789,1.099354
 ,189,222.254777,208.035032,1.06844
 ,190,217.738462,205.507692,1.05977
 ,191,227.958974,206.292308,1.105287
 ,192,274.615517,216.691379,1.257488
 ,193,223.295455,206.068182,1.083889
 ,194,381.660377,227.49434,1.611015
 ,195,237.283333,207.833333,1.142118
 ,196,289.902778,219.836806,1.317084
 ,197,254.155941,210.643564,1.204571
 ,198,243.071429,209.138655,1.162453
 ,199,234.170455,207.655303,1.127967
 ,200,407.392857,235.255952,1.601744
 ,201,236.320513,207.474359,1.13927
 ,202,297.419014,216.235915,1.369189
 ,203,232.109195,207.537356,1.118766
 ,204,222.625786,205.792453,1.082065
 ,205,289.642857,236.833333,1.208283
 ,206,253.195876,212.409794,1.191176
 ,207,225.434783,205.677019,1.096307
 ,208,243.957031,210.703125,1.157933
 ,209,229.57479,207.341176,1.107476
 ,210,226.496479,207.126761,1.093722
 ,211,226.322111,206.831665,1.094442
 ,212,248.849057,209.977987,1.184618
2,1,273.548295,218.698864,1.246856
 ,2,474.738095,315.845238,1.49976
 ,3,492.95,297.716667,1.64553
 ,4,246.214286,212.214286,1.160523
 ,5,260.537555,214.726068,1.210625
 ,6,405.3379,265.045662,1.464895
 ,7,374.448276,247.056897,1.49552
 ,8,269.707729,214.71256,1.255858
 ,9,463.507576,247.325758,1.860681
 ,10,253.781193,212.990958,1.191673
 ,11,285.211027,242.741445,1.182494
 ,12,236.674242,210.25,1.125612
 ,13,347.575,269.325,1.282351
 ,14,535.224409,403.354331,1.330384
 ,15,256.175595,219.720238,1.166224
 ,16,242.193182,210.753788,1.147779
 ,17,257.832569,213.233945,1.204407
 ,18,270.679329,226.040636,1.180434
 ,19,231.312308,208.809231,1.107767
 ,20,217.60533,206.291878,1.055105
 ,21,218.034591,206.078616,1.058249
 ,22,234.800813,208.949187,1.120981
 ,23,433.656036,274.628702,1.56984
 ,24,245.309434,209.983019,1.166061
 ,25,292.158974,218.712821,1.323495
 ,26,230.917317,207.652106,1.11189
 ,27,572.84145,298.062288,1.920631
 ,28,223.809179,206.618357,1.083476
 ,29,343.474638,224.297101,1.514728
 ,30,241.562648,212.217494,1.136222
 ,31,301.917635,236.406019,1.267182
 ,32,242.398551,212.521739,1.140689
 ,33,244.675439,216.605263,1.128806
 ,34,360.348684,242.328947,1.460182
 ,35,261.840206,216.734536,1.186081
 ,36,267.125995,225.645889,1.181885
 ,37,246.677311,212.57479,1.149616
 ,38,225.800459,207.066514,1.090725
 ,39,594.320175,289.881579,2.054673
 ,40,420.526201,278.141921,1.504496
 ,41,307.9025,226.355,1.350083
 ,42,230.490338,209.461353,1.100796
 ,43,237.960145,211.028986,1.127331
 ,44,356.761364,236.859848,1.475096
 ,45,226.415335,207.722045,1.090034
 ,46,218.766667,206.745238,1.058392
 ,47,377.514124,267.655367,1.390197
 ,48,399.94386,249.724561,1.566512
 ,49,269.564912,222.029825,1.18713
 ,50,324.953398,227.815534,1.398019
 ,51,304.625683,224.010929,1.343155
 ,52,253.974757,220.947573,1.149375
 ,53,229.838835,207.487379,1.107496
 ,54,251.263285,211.072464,1.187304
 ,55,226.917031,207.347162,1.094659
 ,56,273.525547,214.412409,1.27067
 ,57,289.623913,219.71087,1.311781
 ,58,291.943237,218.264493,1.33236
 ,59,237.519737,212.552632,1.117466
 ,60,293.892578,229.634766,1.276788
 ,61,253.79878,211.521341,1.198699
 ,62,232.093897,209.279343,1.109196
 ,63,302.624204,221.070064,1.36313
 ,64,246.609155,216.028169,1.141905
 ,65,299.319277,217.736948,1.369904
 ,66,349.428571,245.674521,1.421928
 ,67,336.333333,224.061404,1.4901
 ,68,357.735294,228,1.488511
 ,69,226.717054,208.600775,1.08715
 ,70,549.199153,322.152542,1.707996
 ,71,511.371069,303.622642,1.686964
 ,72,347.868545,229.669797,1.470246
 ,73,259.72093,220.372093,1.178917
 ,74,255.905109,214.333942,1.188442
 ,75,253.19,212.956667,1.182923
 ,76,295.725758,223.140909,1.299989
 ,77,225.818182,207.640152,1.087831
 ,78,443.865942,251.278986,1.729783
 ,79,307.843338,222.578331,1.343219
 ,80,223.813333,207.91,1.076749
 ,81,235.248408,216.468153,1.085733
 ,82,230.673077,207.788462,1.110371
 ,83,219.172043,205.553763,1.066507
 ,84,225.414458,207.103614,1.088567
 ,85,221.260965,205.866228,1.074902
