Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,235.375502,209.078313,1.125968
 ,2,219.77957,205.172043,1.071478
 ,3,396.23166,257.297297,1.464152
 ,4,274.927126,221.024291,1.234406
 ,5,494.630952,298.369048,1.660226
 ,6,223.871069,206.506289,1.084353
 ,7,221.164179,206.223881,1.072685
 ,8,226.415493,206.690141,1.095619
 ,9,298.5,227.236842,1.309221
 ,10,230.869565,207.73913,1.111245
 ,11,223.111111,205.722222,1.084746
 ,12,236.86783,208.461347,1.136169
2,1,235.106426,209.2249,1.123856
 ,2,219.11828,205.284946,1.067688
 ,3,396.247104,257.449807,1.463742
 ,4,274.469636,221.210526,1.23182
 ,5,492.845238,298.607143,1.653531
 ,6,224.009434,206.63522,1.084407
 ,7,221.298507,205.61194,1.076539
 ,8,227.169014,206.584507,1.0999
 ,9,300.105263,226.947368,1.318348
 ,10,231.869565,207.842995,1.115543
 ,11,224.462963,206.25,1.088504
 ,12,236.685786,208.598504,1.134468
3,1,230.158635,209.443775,1.09905
 ,2,216.827957,205.483871,1.055428
 ,3,370.22973,257.361004,1.376586
 ,4,264.939271,221.076923,1.190375
 ,5,455.404762,297.416667,1.533733
 ,6,221.103774,206.855346,1.069194
 ,7,217.238806,205.365672,1.058127
 ,8,222.591549,207.380282,1.073625
 ,9,286.184211,227.236842,1.255987
 ,10,227.241546,207.985507,1.092536
 ,11,221.092593,206.361111,1.071762
 ,12,231.573566,209.029925,1.107739
4,1,230.12249,209.548193,1.09834
 ,2,216.731183,205.021505,1.057394
 ,3,370.528958,256.897683,1.380876
 ,4,265.044534,221.323887,1.190013
 ,5,454.642857,297.452381,1.531537
 ,6,220.528302,206.091195,1.070339
 ,7,217.477612,205.791045,1.057053
 ,8,222.43662,206.119718,1.079474
 ,9,286.131579,227.947368,1.251658
 ,10,226.642512,207.562802,1.091897
 ,11,219.731481,205.435185,1.069937
 ,12,230.910224,208.630923,1.106638
5,1,230.214859,208.907631,1.102118
 ,2,216.693548,205.435484,1.055037
 ,3,370.557915,257.067568,1.379509
 ,4,265.558704,221.502024,1.191161
 ,5,452.309524,298.142857,1.520685
 ,6,220.078616,206.833333,1.064325
 ,7,218.171642,205.753731,1.06063
 ,8,222.93662,206.140845,1.081813
 ,9,286.657895,227.052632,1.259251
 ,10,227,207.891304,1.09188
 ,11,220.472222,205.333333,1.073958
 ,12,231.86783,209.119701,1.108614
6,1,230.238956,209.395582,1.099701
 ,2,216.575269,205.258065,1.055429
 ,3,366.476834,256.160232,1.370638
 ,4,264.88664,220.939271,1.190898
 ,5,452.952381,299.619048,1.514685
 ,6,220.647799,206.937107,1.066545
 ,7,217.552239,205.910448,1.056852
 ,8,222.676056,206.732394,1.077432
 ,9,288.289474,226.657895,1.268355
 ,10,226.608696,207.971014,1.08951
 ,11,220.416667,205.777778,1.071424
 ,12,231.895262,208.558603,1.111813
7,1,230.230924,209.170683,1.100851
 ,2,215.967742,205.026882,1.053672
 ,3,365.021236,256.295367,1.364697
 ,4,264.506073,221.012146,1.189061
 ,5,453.678571,299.619048,1.516655
 ,6,220.41195,206.632075,1.066979
 ,7,217.179104,205.940299,1.054853
 ,8,223.126761,206.697183,1.079821
 ,9,285.578947,227.631579,1.250986
 ,10,226.944444,207.833333,1.091976
 ,11,220.342593,206.166667,1.068987
 ,12,234.219451,208.591022,1.12274
8,1,229.781124,209.026104,1.099492
 ,2,216.510753,205.311828,1.054879
 ,3,364.812741,256.015444,1.364936
 ,4,265.206478,220.805668,1.193549
 ,5,453.702381,298.309524,1.522706
 ,6,220.440252,206.632075,1.067084
 ,7,217.19403,205.455224,1.057437
 ,8,222.514085,206.535211,1.077674
 ,9,284.947368,228.026316,1.246526
 ,10,226.881643,207.683575,1.092324
 ,11,220.574074,206.148148,1.070265
 ,12,231.294264,208.683292,1.108209
9,1,230.190763,208.879518,1.102206
 ,2,216.27957,205.048387,1.055018
 ,3,364.050193,255.891892,1.364227
 ,4,266.05668,221.093117,1.195446
 ,5,451.488095,298.666667,1.514787
 ,6,220.550314,206.666667,1.067504
 ,7,217.522388,206.455224,1.05384
 ,8,222.535211,207.091549,1.074847
 ,9,284.131579,225.210526,1.258599
 ,10,226.613527,207.719807,1.09086
 ,11,219.861111,205.925926,1.067843
 ,12,231.087282,208.456359,1.108413
10,1,229.821285,208.983936,1.099904
 ,2,216.268817,204.860215,1.056001
 ,3,363.393822,256.287645,1.359963
 ,4,265.546559,220.850202,1.194046
 ,5,454.392857,298.059524,1.526925
 ,6,220.566038,206.122642,1.070348
 ,7,217.716418,205.835821,1.057983
 ,8,222.028169,206.704225,1.07433
 ,9,284.210526,226.526316,1.250556
 ,10,227.376812,207.963768,1.093288
 ,11,220.12963,205.472222,1.071576
 ,12,231.294264,208.982544,1.106691
11,1,230.032129,209.232932,1.099487
 ,2,217.741935,205.473118,1.059955
 ,3,364.07722,256.401544,1.36131
 ,4,265.676113,220.878543,1.194494
 ,5,449.547619,298.678571,1.507982
 ,6,220.443396,206.669811,1.066977
 ,7,217.58209,205.746269,1.057731
 ,8,222.830986,206.542254,1.079204
 ,9,282.473684,228.236842,1.234632
 ,10,227.031401,208.101449,1.090889
 ,11,220.435185,206.574074,1.067369
 ,12,231.650873,208.688279,1.109912
12,1,229.801205,208.933735,1.099995
 ,2,216.897849,205.268817,1.056916
 ,3,363.079151,256.436293,1.359564
 ,4,265.753036,221.376518,1.19251
 ,5,452.47619,298.083333,1.520847
 ,6,220.889937,206.902516,1.067887
 ,7,217.208955,205.850746,1.055432
 ,8,222.288732,206.169014,1.078467
 ,9,283.631579,227.157895,1.245353
 ,10,226.350242,207.900966,1.088648
 ,11,219.814815,205.111111,1.071988
 ,12,231.104738,208.648379,1.107527
13,1,229.686747,208.945783,1.09943
 ,2,216.215054,205.290323,1.053469
 ,3,362.208494,256.07722,1.357995
 ,4,264.744939,220.708502,1.191328
 ,5,450.77381,298.761905,1.511594
 ,6,220.194969,206.915094,1.064491
 ,7,217.41791,206.223881,1.054531
 ,8,222.316901,206.239437,1.078265
 ,9,279.184211,225,1.237529
 ,10,226.997585,208.016908,1.09124
 ,11,220.407407,205.805556,1.071243
 ,12,230.441397,208.399002,1.105654
14,1,230.128514,208.939759,1.101624
 ,2,216.295699,204.903226,1.055948
 ,3,360.972973,256.177606,1.352785
 ,4,264.769231,221.396761,1.187502
 ,5,448.488095,297.261905,1.510921
 ,6,220.09434,206.833333,1.064391
 ,7,217.955224,206.037313,1.058184
 ,8,221.894366,206.084507,1.077018
 ,9,281.184211,226.078947,1.240356
 ,10,226.954106,207.823671,1.092038
 ,11,219.481481,205.842593,1.066555
 ,12,231.279302,208.468828,1.109318
15,1,229.807229,208.851406,1.10054
 ,2,215.83871,205.403226,1.051087
 ,3,360.88417,256.088803,1.352807
 ,4,264.352227,220.615385,1.190305
 ,5,448.011905,296.27381,1.515398
 ,6,219.842767,206.311321,1.065833
 ,7,216.61194,205.492537,1.054395
 ,8,223.035211,206.295775,1.081411
 ,9,277.921053,226.368421,1.22504
 ,10,226.618357,207.741546,1.090772
 ,11,218.907407,205.888889,1.063479
 ,12,231.144638,208.59601,1.107951
16,1,229.720884,209.11245,1.098697
 ,2,216.166667,205.575269,1.051828
 ,3,360.260618,255.868726,1.351481
 ,4,262.777328,221.303644,1.179343
 ,5,449.928571,297.97619,1.512638
 ,6,219.805031,206.54717,1.06447
 ,7,217.291045,206.007463,1.054977
 ,8,222.28169,206.232394,1.078157
 ,9,279.421053,225.289474,1.237814
 ,10,226.256039,207.439614,1.090587
 ,11,220.25,206.231481,1.068185
