Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,1534.802381,567.507143,2.783412
 ,2,994.590909,447.136364,2.228101
 ,3,615.841463,289.097561,2.131216
 ,4,623.484277,439.08805,1.422424
 ,5,764.532738,514.919643,1.489577
 ,6,750.25,369.025,2.031938
 ,7,875.345238,384.407738,2.283787
 ,8,1285.818182,386.909091,3.316134
 ,9,856.62069,311.344828,2.740365
 ,10,886.220339,314.909605,2.806504
 ,11,797.039063,449.427083,1.753074
 ,12,879.03562,459.576517,1.917747
 ,13,1748.451977,679.370056,2.60715
 ,14,2375.256311,874.493204,2.735242
 ,15,810.039267,486.185864,1.639841
 ,16,713.271739,402.557065,1.783059
 ,17,592.282201,306.257611,1.920438
 ,18,1167.173134,563.901493,2.047228
 ,19,1128.565217,483.217391,2.33027
 ,20,816.937984,365.007752,2.252763
 ,21,854.395133,430.904983,1.989791
 ,22,657.674757,350.517799,1.882983
 ,23,723.277523,369.038991,1.959798
 ,24,910.786697,438.66055,2.099576
 ,25,829.707052,410.976492,2.023088
 ,26,601.997585,434.763285,1.391679
 ,27,630.563725,294.166667,2.148326
 ,28,348.688312,262.422078,1.329308
 ,29,442.507143,264.421429,1.673499
 ,30,805.448747,340.207289,2.371351
 ,31,643.948718,325.851282,1.978865
 ,32,892.821429,396.478571,2.273112
 ,33,999.783265,511.441701,1.963311
 ,34,1083.403333,515.486667,2.146809
 ,35,1045.594356,627.112875,1.720842
 ,36,504.711019,321.288981,1.574946
 ,37,756.650888,394.248521,1.919771
 ,38,700.401515,390.136364,1.79712
 ,39,502.491597,295.731092,1.695221
 ,40,1463.598739,564.617647,2.596109
 ,41,1562.255952,609.443452,2.563285
 ,42,1312.869748,648.273109,2.050558
 ,43,958.55,440.963636,2.176054
 ,44,618.163202,369.028067,1.68555
 ,45,461.623563,259.583333,1.780399
 ,46,474.07377,273.897541,1.733182
 ,47,491.135747,310.60181,1.582156
 ,48,649.998542,439.696793,1.481261
 ,49,805.192,352.96,2.271034
 ,50,494.897638,275.866142,1.795756
 ,51,455.841837,250.117347,1.823052
 ,52,444.625,305.955357,1.45469
 ,53,757.556723,442.813025,1.738339
 ,54,880.832569,444.506881,1.979894
 ,55,847.599673,422.75817,2.004509
 ,56,812.683019,348.581132,2.312732
 ,57,587.892157,384.789216,1.526597
 ,58,549.186972,359.186972,1.543027
 ,59,679.185644,387.09901,1.744732
 ,60,506.404762,373.279762,1.355802
 ,61,1015.769481,506.555195,2.000545
 ,62,1491.635294,427.494118,3.460265
 ,63,767.103509,524.224561,1.465566
 ,64,685.546185,371.451807,1.842023
 ,65,507.235507,359.463768,1.423582
 ,66,473.193237,278.630435,1.705765
 ,67,534.87931,303.229885,1.761689
 ,68,412.408163,267.795918,1.540459
 ,69,638.635854,391.137955,1.642462
 ,70,391.335938,259.796875,1.504796
 ,71,522.552239,256.641791,2.03387
 ,72,702.694872,443.425641,1.588134
 ,73,411.656832,315.694099,1.311718
 ,74,679.794872,522.91453,1.2997
 ,75,541.161172,402.820513,1.338785
 ,76,595.476879,294.526012,2.018136
 ,77,732.840909,359.982323,2.043289
 ,78,714.096774,415.147849,1.732719
 ,79,621.020642,331.917431,1.873778
 ,80,995.195897,380.321026,2.623592
 ,81,790.65625,382.705078,2.067572
 ,82,1238.940141,561.362676,2.236455
 ,83,1577.476695,657.148305,2.407158
 ,84,653.825911,333.37247,1.970907
 ,85,933.288251,407.543716,2.283821
 ,86,611.298729,365.485169,1.674217
 ,87,595.718182,325.272727,1.833217
 ,88,617.624434,370.108597,1.669953
 ,89,610.899371,324.424528,1.889396
 ,90,552.407738,278.574405,1.983952
 ,91,600.300725,308.134058,1.94725
 ,92,517.650943,274.685535,1.885848
 ,93,599.344398,395.753112,1.520413
 ,94,565.408805,407.463836,1.38834
 ,95,590.353992,314.221639,1.880555
 ,96,2075.15894,528.536424,3.908579
 ,97,613.594203,304.963768,2.015163
 ,98,589.875887,353.477541,1.673825
 ,99,493.776567,305.427793,1.615558
 ,100,628.384259,355.722222,1.763154
 ,101,567.592233,364.533981,1.560488
 ,102,885.710084,631.30084,1.414365
 ,103,482.00495,320.579208,1.504235
 ,104,580.65367,337.277523,1.721857
 ,105,462.641026,304.148718,1.521708
 ,106,749.355556,410.540741,1.822327
 ,107,500.883117,317.688312,1.573894
 ,108,441.827273,337.863636,1.308922
 ,109,432.171569,318.563725,1.35743
 ,110,631.957983,338.44958,1.877604
 ,111,406.116197,293.007042,1.386775
 ,112,499.253623,349.434783,1.430004
 ,113,529.387681,340.115942,1.550726
 ,114,595.084699,365.596995,1.628697
 ,115,506.898305,309.050847,1.640695
 ,116,527.052083,337.333333,1.561899
 ,117,915.251272,466.7294,1.974315
 ,118,483.701531,264.232143,1.831773
 ,119,554.769231,320.878205,1.72739
 ,120,728.626344,328.424731,2.223534
 ,121,726.847656,398.322266,1.830519
 ,122,542.397059,356.968954,1.521642
 ,123,694.902778,323.413194,2.149218
 ,124,536.819149,355.973404,1.512307
 ,125,508.072072,305.414414,1.663825
 ,126,596.165939,366.606987,1.627089
 ,127,695.523585,378.97327,1.837533
 ,128,703.333871,367.245161,1.910934
 ,129,720.52381,368.461538,1.958511
 ,130,697.802752,456.694954,1.527045
 ,131,666.488189,318.170604,2.096816
 ,132,930.853659,397.526829,2.344655
 ,133,552.364055,305.698157,1.807769
 ,134,627.667826,426.695652,1.483823
 ,135,420.523333,318.82,1.31918
 ,136,625.97479,400.027311,1.567552
 ,137,464.263415,331.982927,1.396324
 ,138,1061.863281,499.25,2.124094
 ,139,436.03937,283.03937,1.541358
 ,140,510.343195,378.091716,1.350592
 ,141,503.864943,348.313218,1.449596
 ,142,388.687003,307.377984,1.263868
 ,143,422.11413,346.451087,1.211269
 ,144,406.434959,279.081301,1.457374
 ,145,330.628788,256.590909,1.288636
 ,146,387.419463,313.053691,1.237823
 ,147,587.823204,471.802486,1.248254
 ,148,491.539384,372.205479,1.325507
 ,149,461.653179,302.271676,1.527977
 ,150,421.657233,324.622642,1.300067
 ,151,534.768222,424.381924,1.26309
 ,152,478.235294,355.705882,1.350771
 ,153,509.05641,367.282051,1.389837
 ,154,471.14,349.92,1.342927
 ,155,363.1375,297.35625,1.221514
 ,156,698.243455,504.445026,1.383922
 ,157,531.923759,367.310284,1.441536
 ,158,677.774194,484.88172,1.388399
 ,159,479.578616,344.320755,1.392001
 ,160,950.16369,616.092262,1.618386
 ,161,420.45641,343.282051,1.224449
 ,162,454.888889,254,1.790518
 ,163,312.2,252.305882,1.238134
 ,164,509.324257,381.794554,1.335324
 ,165,621.901961,551.460784,1.129008
 ,166,429.039855,302.141304,1.421568
 ,167,575.213636,433.122727,1.327426
 ,168,517.46875,424.375,1.221698
 ,169,430.707483,352.122449,1.22293
 ,170,527.837037,428.044444,1.233346
 ,171,638.235897,522.061538,1.219396
 ,172,636.21,631.66,1.012887
 ,173,576.266169,511.975124,1.134054
 ,174,622.802198,566.93956,1.099418
 ,175,462.957746,357.246479,1.29816
 ,176,461.112,370.976,1.241357
 ,177,495.230769,453.876923,1.093223
 ,178,627.942797,642.122881,0.981069
 ,179,558.751412,636.737288,0.881215
 ,180,747.562914,696.774834,1.073587
 ,181,533.655941,509.779703,1.048209
 ,182,359.373134,295.970149,1.214985
 ,183,455.116352,384.58805,1.185135
 ,184,467.908451,380.126761,1.232696
2,1,1532.707143,564.785714,2.789744
 ,2,992.651515,445.769697,2.230178
 ,3,614.611789,287.837398,2.136701
 ,4,622.336478,438.125786,1.423453
 ,5,764.306548,512.8125,1.495414
 ,6,744.5,369.3125,2.014858
 ,7,872.255952,385.10119,2.272599
 ,8,1280.30303,385.484848,3.313596
 ,9,855.465517,308.517241,2.760872
 ,10,880.451977,313.073446,2.80453
 ,11,795.690104,448.875,1.752653
 ,12,876.601583,459.422164,1.912177
 ,13,1741.669492,676.454802,2.60857
 ,14,2372.314563,873.658252,2.734632
 ,15,806.58377,484.253927,1.640401
 ,16,715.298913,401.923913,1.790777
 ,17,591.334895,306.259953,1.917403
 ,18,1161.728358,561.4,2.046714
 ,19,1121.108696,482.507246,2.318262
 ,20,812.310078,364.476744,2.243061
 ,21,849.894554,431.716107,1.975832
 ,22,656.29288,349.728155,1.883375
 ,23,721.857798,370.392202,1.948454
 ,24,910.486239,438.883028,2.097647
 ,25,826.296564,410.770344,2.015536
 ,26,601.550725,434.193237,1.391999
 ,27,628.362745,292.382353,2.154764
 ,28,351.954545,262.837662,1.33926
 ,29,442.930952,264.683333,1.672967
 ,30,804.266515,340.166287,2.367616
 ,31,645.569231,327.553846,1.97299
 ,32,888.978571,395.545238,2.268618
 ,33,997.563786,509.861454,1.964609
 ,34,1078.583333,516.106667,2.128461
 ,35,1042.917108,627.271605,1.716373
 ,36,503.72973,320.804574,1.574356
 ,37,754.078895,396.00789,1.904288
 ,38,697.704545,391.962121,1.781594
 ,39,502.121849,295.785714,1.692894
 ,40,1456.728992,564.231092,2.58597
 ,41,1562.327381,608.931548,2.565245
 ,42,1305.462185,646.521008,2.04481
