Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,214.074166,205.019778,1.044418
 ,2,213.499077,204.451107,1.04451
 ,3,222.253906,207.574219,1.070988
 ,4,220.84322,206.199153,1.071373
 ,5,220.886105,206.767654,1.068539
 ,6,223.673333,206.776667,1.082013
 ,7,222.357143,207.464286,1.072003
 ,8,223.631579,206.710526,1.081944
 ,9,223.704762,206.980952,1.081112
 ,10,222.530612,207.77551,1.07121
 ,11,218.5,205.734375,1.062409
 ,12,226.521127,206.873239,1.095365
2,1,213.880099,205.168109,1.042707
 ,2,213.71679,204.539668,1.04512
 ,3,221.501953,208.166016,1.064392
 ,4,221.241525,206.271186,1.072867
 ,5,221.129841,206.681093,1.070224
 ,6,224.033333,206.67,1.084364
 ,7,223.339286,207.803571,1.075056
 ,8,222.026316,208,1.067742
 ,9,222.314286,206.495238,1.076876
 ,10,221.316327,206.561224,1.071646
 ,11,218.359375,205.8125,1.061246
 ,12,226.507042,207.246479,1.093168
3,1,211.861557,205.080346,1.033314
 ,2,211.363007,204.405904,1.034281
 ,3,218.431641,208.132813,1.049765
 ,4,216.949153,206.533898,1.050701
 ,5,217.61959,206.888383,1.052113
 ,6,220.24,207.39,1.062223
 ,7,218.642857,208.232143,1.050254
 ,8,219.078947,207.052632,1.058361
 ,9,218.8,207.228571,1.056197
 ,10,218.5,207.663265,1.052481
 ,11,215.828125,206.390625,1.045951
 ,12,222.056338,207.93662,1.068092
4,1,211.976514,204.903585,1.034748
 ,2,211.303506,204.363469,1.034212
 ,3,218.664063,207.804688,1.052557
 ,4,216.686441,206.233051,1.050959
 ,5,217.578588,206.993166,1.051409
 ,6,219.91,206.416667,1.065665
 ,7,218.321429,208.178571,1.04903
 ,8,219.605263,207.868421,1.056935
 ,9,218.133333,207.542857,1.051302
 ,10,218.132653,207.142857,1.053401
 ,11,216.234375,205.859375,1.050574
 ,12,222.521127,207.788732,1.071208
5,1,211.838072,205.016069,1.033532
 ,2,211.162362,204.390221,1.033391
 ,3,218.304688,208.351563,1.048076
 ,4,217.368644,206.483051,1.053065
 ,5,217.578588,206.788155,1.052465
 ,6,220.273333,206.823333,1.065315
 ,7,219.214286,207.625,1.056042
 ,8,219.447368,207.105263,1.060028
 ,9,219.52381,207.72381,1.057209
 ,10,217.908163,207.857143,1.048605
 ,11,215.8125,206.1875,1.046893
 ,12,223.366197,207.619718,1.076233
6,1,211.990111,205.234858,1.033178
 ,2,211.306734,204.303506,1.034543
 ,3,218.488281,208.164063,1.04986
 ,4,217.525424,206.360169,1.054384
 ,5,217.280182,206.615034,1.051872
 ,6,220.61,206.963333,1.066174
 ,7,218.25,207.928571,1.049832
 ,8,219.921053,207.763158,1.058827
 ,9,218.580952,206.885714,1.056862
 ,10,218.183673,207.132653,1.053707
 ,11,215.671875,206.46875,1.044837
 ,12,223.126761,207.267606,1.076749
7,1,212.054388,204.954265,1.03489
 ,2,211.214945,204.635609,1.032397
 ,3,218.34375,208.056641,1.049707
 ,4,217.165254,206.737288,1.050688
 ,5,217.95672,206.633257,1.055075
 ,6,219.936667,207.146667,1.061991
 ,7,218.892857,207.125,1.057213
 ,8,219.789474,206.684211,1.063563
 ,9,218.266667,207.87619,1.050199
 ,10,218.367347,207.295918,1.053714
 ,11,214.359375,205.6875,1.042395
 ,12,222.683099,207.084507,1.075604
8,1,211.845488,205.02225,1.033498
 ,2,211.248616,204.273524,1.034392
 ,3,218.212891,208.244141,1.048169
 ,4,216.504237,206.881356,1.046815
 ,5,217.642369,206.731207,1.053075
 ,6,220.12,206.946667,1.063926
 ,7,218.214286,208.553571,1.046707
 ,8,219.052632,207.710526,1.054967
 ,9,219.257143,206.695238,1.061066
 ,10,217.918367,207.102041,1.052517
 ,11,217.421875,207.21875,1.049466
 ,12,222.774648,207.669014,1.073058
9,1,211.772559,204.891224,1.033821
 ,2,211.087638,204.312269,1.03342
 ,3,218.240234,207.824219,1.050419
 ,4,217.40678,206.474576,1.053252
 ,5,217.865604,206.940774,1.053055
 ,6,220.14,206.97,1.063937
 ,7,218.589286,207.642857,1.052926
 ,8,218.236842,207.605263,1.051533
 ,9,218.466667,206.285714,1.059327
 ,10,218.234694,206.94898,1.054881
 ,11,215.890625,205.53125,1.05066
 ,12,224.105634,207.387324,1.080889
10,1,212.133498,205.18047,1.034127
 ,2,211.295203,204.492159,1.033507
 ,3,218.779297,208.027344,1.051965
 ,4,217.487288,206.262712,1.054762
 ,5,217.414579,206.851936,1.05138
 ,6,220.533333,207.12,1.065051
 ,7,218.053571,207.678571,1.050273
 ,8,219.710526,207.868421,1.057296
 ,9,217.971429,207.161905,1.052484
 ,10,217.346939,207.72449,1.046682
 ,11,215.90625,206.453125,1.046071
 ,12,221.964789,208.056338,1.067192
11,1,212.095179,205.234858,1.033667
 ,2,211.054428,204.215867,1.033743
 ,3,218.351563,208.341797,1.048348
 ,4,217.080508,206.283898,1.052625
 ,5,217.845103,206.774487,1.05381
 ,6,220.303333,206.603333,1.066589
 ,7,218.482143,207.928571,1.051066
 ,8,218.210526,207.815789,1.050245
 ,9,218.561905,207.028571,1.055986
 ,10,217.989796,207.683673,1.049917
 ,11,215.078125,206.40625,1.042391
 ,12,223.007042,207.788732,1.073561
12,1,211.463535,205.327565,1.03012
 ,2,211.071494,204.59179,1.031945
 ,3,218.261719,207.939453,1.049931
 ,4,217.076271,206.584746,1.051093
 ,5,217.505695,206.599089,1.053084
 ,6,219.286667,206.84,1.060449
 ,7,218.553571,207.285714,1.054671
 ,8,218.842105,207.078947,1.056998
 ,9,218.371429,207.314286,1.053711
 ,10,217.530612,206.846939,1.051884
 ,11,215.96875,206.03125,1.048531
 ,12,222.922535,207.34507,1.075427
13,1,211.716934,205.124845,1.032392
 ,2,210.87869,204.179889,1.033063
 ,3,218.296875,207.923828,1.050175
 ,4,216.927966,206.699153,1.049794
 ,5,217.77221,206.599089,1.054342
 ,6,219.506667,206.616667,1.062704
 ,7,217.642857,207.017857,1.051637
 ,8,220.315789,206.605263,1.066683
 ,9,218.47619,207.419048,1.053731
 ,10,218.061224,207.306122,1.052128
 ,11,215.6875,206.296875,1.045878
 ,12,222.415493,207.922535,1.069981
14,1,211.741656,204.981459,1.033224
 ,2,211.0881,204.140683,1.034284
 ,3,217.789063,207.958984,1.047555
 ,4,216.966102,206.868644,1.049065
 ,5,217.874715,206.592255,1.054922
 ,6,219.5,207.103333,1.060132
 ,7,218.196429,207.767857,1.050457
