Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,365.074783,266.297391,1.361933
 ,2,700.401515,390.136364,1.79712
 ,3,461.112,370.976,1.241357
 ,4,502.491597,295.731092,1.695221
 ,5,511.846639,345.32563,1.3734
 ,6,633.633803,474.478873,1.337028
 ,7,605.707101,381.121302,1.610196
 ,8,385.807947,385.675497,1.007882
 ,9,505.302439,274.021951,1.761313
 ,10,528.2643,313.52071,1.631142
 ,11,305.598592,261.985915,1.158535
 ,12,687.24424,345.486175,1.966357
 ,13,514.445714,480.31,1.091281
 ,14,859.214286,484.33631,1.799653
 ,15,533.655941,509.779703,1.048209
 ,16,470.648352,457.898352,1.024933
 ,17,387.23,255.5,1.444621
 ,18,576.266169,511.975124,1.134054
 ,19,341.507463,279.074627,1.224533
 ,20,1312.869748,648.273109,2.050558
 ,21,746.087719,448.184211,1.704009
 ,22,406.434959,279.081301,1.457374
 ,23,488.627297,274.908136,1.723276
 ,24,913.094356,509.39418,1.91101
 ,25,1562.255952,609.443452,2.563285
 ,26,759.658436,399.083676,1.82509
 ,27,958.55,440.963636,2.176054
 ,28,574.944954,381.387615,1.463929
 ,29,623.415663,356.176707,1.736775
 ,30,858.392857,373.392857,2.2688
 ,31,1192.369231,424.471795,2.719715
 ,32,504.711019,321.288981,1.574946
 ,33,459.938406,314.971014,1.454321
 ,34,663.254839,347.601613,1.898289
 ,35,375.053691,271.291946,1.385699
 ,36,503.864943,348.313218,1.449596
 ,37,358.354111,287.026525,1.241739
 ,38,312.01087,290.048913,1.07248
 ,39,327.307692,254.723077,1.269615
 ,40,349.36,241.48,1.400966
 ,41,516.430818,312.639937,1.598364
 ,42,548.738701,614.144068,0.901724
 ,43,497.412682,340.649688,1.449319
 ,44,351.482353,232.082353,1.474762
 ,45,546.746725,353.703057,1.541955
 ,46,578.75,335.493506,1.615325
 ,47,473.037356,281.100575,1.668579
 ,48,420.432367,297.408213,1.437975
 ,49,666.25641,373.92674,1.782657
 ,50,875.345238,384.407738,2.283787
 ,51,387.613095,310.735119,1.233526
 ,52,638.77221,297.813212,2.108137
 ,53,390.176871,257.659864,1.510702
 ,54,638.635854,391.137955,1.642462
 ,55,485.310345,248.189655,1.940818
 ,56,424.612069,259.028736,1.634983
 ,57,285.469697,235.363636,1.209177
 ,58,581.606061,267.272727,2.165272
 ,59,420.340476,252.728571,1.65246
 ,60,534.768222,424.381924,1.26309
 ,61,592.276836,272.666667,2.132144
 ,62,346.716797,260.988281,1.320688
 ,63,475.294118,327.988562,1.44432
 ,64,404.654255,290.611702,1.379021
 ,65,484.205314,356.188406,1.333484
 ,66,419.471311,253.864754,1.651803
 ,67,560.515625,341.849609,1.597191
 ,68,329.96452,278.850197,1.16811
 ,69,451.877451,277.137255,1.610987
 ,70,531.400901,317.747748,1.672692
 ,71,562.760417,298.795139,1.874485
 ,72,454.584416,393.701299,1.162585
 ,73,554.997312,307.489247,1.790526
 ,74,764.532738,514.919643,1.489577
 ,75,417.085973,298.276018,1.393315
 ,76,522.552239,256.641791,2.03387
 ,77,275.843537,242.469388,1.13593
 ,78,490.991556,314.513872,1.565779
 ,79,585.979592,395.956268,1.482042
 ,80,624.910256,413.211538,1.500476
 ,81,299.397059,254.676471,1.171436
 ,82,415.118151,322.890411,1.282248
 ,83,755.466546,393.009042,1.909255
 ,84,609.905941,355.153465,1.691528
 ,85,505.274074,411.377778,1.228318
 ,86,299.204403,250.786164,1.184746
 ,87,623.484277,439.08805,1.422424
 ,88,488.380503,281.163522,1.729528
 ,89,479.054487,295.974359,1.603252
 ,90,375.074405,308.416667,1.216539
 ,91,467.65,400.225,1.173366
 ,92,386.855491,293.508671,1.319409
 ,93,460.127551,280.97449,1.643583
 ,94,423.551181,249.996063,1.685912
 ,95,409.033163,248.331633,1.637466
 ,96,575.998619,461.587017,1.251209
 ,97,807.505595,434.78942,1.839522
 ,98,723.277523,369.038991,1.959798
 ,99,657.674757,350.517799,1.882983
 ,100,316.80625,257.38125,1.232528
 ,101,475.459746,314.413136,1.514843
 ,102,445.927083,304.614583,1.455138
 ,103,854.395133,430.904983,1.989791
 ,104,896.643411,349.224806,2.527693
 ,105,552.606771,372.328125,1.494722
 ,106,333.649573,230.162393,1.440276
 ,107,644.116972,341.307339,1.803468
 ,108,454.333333,352.67033,1.278659
 ,109,368.554878,241.79065,1.49097
 ,110,520.318306,327.814208,1.564358
 ,111,556.269608,381.666667,1.45277
 ,112,638.235897,522.061538,1.219396
 ,113,600.300725,308.134058,1.94725
 ,114,367.03,288.476667,1.267279
 ,115,435.682927,294.653659,1.479563
 ,116,365.035897,305.010256,1.189243
 ,117,301.859375,253.203125,1.190841
 ,118,346.556723,284.065126,1.200711
 ,119,441.456522,288.822464,1.5305
 ,120,431.427536,283.927536,1.500894
 ,121,386.525,309.13,1.24324
 ,122,257.496855,217.044025,1.181958
 ,123,505.020231,278.419075,1.793211
 ,124,479.578616,344.320755,1.392001
 ,125,994.590909,447.136364,2.228101
 ,126,879.03562,459.576517,1.917747
 ,127,685.269634,487.740838,1.412651
 ,128,362.351449,269.456522,1.328801
 ,129,493.75,337.031513,1.417521
 ,130,1748.451977,679.370056,2.60715
 ,131,684.626147,367.055046,1.821291
 ,132,450.886878,274.303167,1.621743
 ,133,1128.565217,483.217391,2.33027
 ,134,627.942797,642.122881,0.981069
 ,135,569.285354,320.308081,1.717515
 ,136,429.785714,289.24026,1.48002
 ,137,392.506289,307.559748,1.285892
 ,138,480.422222,324.103704,1.469287
 ,139,710.922388,455.328358,1.502418
 ,140,847.599673,422.75817,2.004509
 ,141,395.295455,315.731818,1.252413
 ,142,424.387255,319.514706,1.328666
 ,143,500.932796,351.642473,1.375042
 ,144,370.74359,346.605128,1.070286
 ,145,343.720657,264.507042,1.289152
 ,146,489.339286,289.422619,1.705777
 ,147,432.568807,277.555046,1.521267
 ,148,283.870588,235.141176,1.206801
 ,149,463.82904,275.330211,1.635039
 ,150,482.281818,288.9,1.644869
 ,151,582.344538,425.533613,1.388011
 ,152,446.826772,288.669291,1.542986
 ,153,1534.802381,567.507143,2.783412
 ,154,803.478974,349.024615,2.245874
 ,155,585.616848,336.744565,1.729369
 ,156,349.630189,243.709434,1.389248
 ,157,920.232422,456.154297,1.977038
 ,158,575.213636,433.122727,1.327426
