Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,906.272,478.592,1.902275
 ,2,423.333333,257.266667,1.644503
 ,3,343.953125,242.703125,1.415442
 ,4,382.764706,241.220588,1.581954
 ,5,369.464286,230.142857,1.60248
 ,6,431.973684,251.131579,1.715332
 ,7,498.6,261.966667,1.892728
 ,8,460.233333,271.125,1.695522
 ,9,477.010204,323.459184,1.476422
 ,10,509.09375,283.458333,1.798878
 ,11,505.931973,316.571429,1.590815
 ,12,557.029412,301.852941,1.842165
 ,13,497.793103,340.706897,1.457631
 ,14,618.987179,367.179487,1.676181
 ,15,718.474359,347.230769,2.070629
 ,16,378.692982,238.342105,1.590069
 ,17,392.358974,249.576923,1.575357
 ,18,518.97619,308.642857,1.677463
 ,19,345.116279,261.72093,1.316702
 ,20,412.969697,325,1.27349
 ,21,396.78,269.12,1.475131
 ,22,356.95,256.666667,1.3931
2,1,908.672,484.488,1.883734
 ,2,437.6,258.433333,1.693154
 ,3,347.90625,243.96875,1.424003
 ,4,388.529412,243.617647,1.590446
 ,5,374.357143,232.142857,1.610982
 ,6,442.710526,253.342105,1.743059
 ,7,505.3,265.466667,1.893349
 ,8,469.675,270.625,1.734103
 ,9,488.102041,325.377551,1.502026
 ,10,521.072917,286.010417,1.822972
 ,11,519.07483,319.408163,1.618471
 ,12,567.676471,303.558824,1.867897
 ,13,507.241379,346.965517,1.460384
 ,14,634.205128,373.576923,1.691851
 ,15,721.666667,354.423077,2.039455
 ,16,380.026316,240.526316,1.581882
 ,17,397.307692,250.141026,1.590765
 ,18,530.428571,309.52381,1.712861
 ,19,357.302326,267.44186,1.334699
 ,20,419.151515,325.181818,1.29105
 ,21,395.16,270.18,1.464023
 ,22,359.75,256.466667,1.404653
3,1,913.152,487.024,1.883358
 ,2,454.366667,257.7,1.760492
 ,3,353.875,247.5,1.428754
 ,4,399.823529,244.426471,1.63196
 ,5,389.321429,233.142857,1.667238
 ,6,459.421053,254.078947,1.805336
 ,7,527.933333,267.3,1.965829
 ,8,474.033333,270.975,1.747996
 ,9,489.234694,322.326531,1.520615
 ,10,524.989583,284.364583,1.850066
 ,11,528.258503,326.102041,1.613028
 ,12,574.676471,305.676471,1.879638
 ,13,518.155172,349.836207,1.478998
 ,14,652.5,375.820513,1.730663
 ,15,731.307692,352.628205,2.07612
 ,16,384.649123,239.561404,1.607416
 ,17,402.012821,249.512821,1.613212
 ,18,547.619048,320.333333,1.708244
 ,19,369.209302,271.325581,1.360256
 ,20,430.727273,328,1.316271
 ,21,400.02,270.54,1.479878
 ,22,360.083333,259.15,1.391667
4,1,917.608,489.784,1.8812
