Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,224.283465,206.060367,1.089462
 ,2,232.607843,207.877451,1.12019
 ,3,232.854839,209.747312,1.111401
 ,4,233.191667,207.75,1.123416
 ,5,232.723684,206.381579,1.128322
 ,6,221.816327,205.061224,1.082945
 ,7,221.106061,205.356061,1.077712
 ,8,225.147059,207.117647,1.087946
 ,9,233.109948,209.801047,1.112091
 ,10,222.424658,205.431507,1.083842
 ,11,230.006803,207.204082,1.11111
2,1,224.060367,206.15748,1.087978
 ,2,233.29902,207.735294,1.124099
 ,3,234.602151,209.586022,1.120469
 ,4,233.258333,207.466667,1.12543
 ,5,231.131579,206.671053,1.119448
 ,6,222.503401,206.77551,1.077161
 ,7,222.257576,204.530303,1.087812
 ,8,225,207.926471,1.083003
 ,9,233.089005,210.649215,1.107579
 ,10,222.513699,206.910959,1.076055
 ,11,229.748299,208.22449,1.104812
3,1,224.144357,206.062992,1.088798
 ,2,233.02451,206.970588,1.12719
 ,3,233.908602,209.94086,1.115436
 ,4,231.775,206.95,1.120862
 ,5,233.118421,207.355263,1.125604
 ,6,223.891156,205.85034,1.088676
 ,7,222.159091,205.060606,1.084672
 ,8,226.661765,204.235294,1.110774
 ,9,232.937173,210.21466,1.109094
 ,10,222.547945,205.726027,1.082963
 ,11,231.07483,207.857143,1.11282
4,1,223.713911,206.120735,1.086493
 ,2,231.995098,208.333333,1.114609
 ,3,234.306452,209.424731,1.120183
 ,4,232.966667,207.125,1.125679
 ,5,232.736842,209.578947,1.111427
 ,6,224.585034,205.782313,1.092299
 ,7,225.204545,206.280303,1.092648
 ,8,221.838235,205.176471,1.082377
 ,9,233.591623,209.659686,1.114984
 ,10,223.410959,206.541096,1.082533
 ,11,230.585034,207.77551,1.111168
5,1,224.251969,206.010499,1.089523
 ,2,233.053922,208.710784,1.117883
 ,3,235.166667,209.639785,1.122927
 ,4,232.866667,208.483333,1.118043
 ,5,231.842105,209.5,1.107658
 ,6,223.013605,204.823129,1.089856
 ,7,223,205.416667,1.086672
 ,8,223.073529,203.102941,1.09966
 ,9,232.811518,210.204188,1.108452
 ,10,224.260274,205.438356,1.092586
 ,11,229.333333,208.027211,1.103393
6,1,223.968504,207.312336,1.081394
 ,2,232.789216,208.642157,1.11721
 ,3,234.913978,209.370968,1.123249
 ,4,233.183333,207.433333,1.125342
 ,5,233.381579,209.026316,1.11786
 ,6,222.823129,206.353741,1.080869
 ,7,222.128788,205.280303,1.083251
 ,8,224.558824,204.705882,1.097676
 ,9,233.387435,209.157068,1.117039
 ,10,222.650685,205.931507,1.082314
 ,11,230.14966,207.904762,1.108195
7,1,224.808399,206.414698,1.090253
 ,2,231.627451,206.485294,1.123026
 ,3,232.403226,210.016129,1.107667
 ,4,233.116667,206.5,1.130181
 ,5,233.881579,206.842105,1.131496
 ,6,221.278912,205.979592,1.075137
 ,7,222.454545,204.348485,1.089728
 ,8,224.220588,205.485294,1.092235
 ,9,232.596859,209.272251,1.11227
 ,10,223.294521,205.636986,1.086797
 ,11,228.734694,207.605442,1.102773
8,1,224.170604,205.175853,1.093771
 ,2,232.720588,208.720588,1.11612
 ,3,232.930108,208.806452,1.116651
 ,4,231.7,208.2,1.113978
 ,5,231.263158,208.184211,1.111728
 ,6,222.034014,205.333333,1.082316
 ,7,221.69697,205.333333,1.080861
 ,8,225.338235,204.602941,1.102177
 ,9,233.267016,210.26178,1.110311
 ,10,223.184932,204.835616,1.090541
 ,11,229.727891,207.47619,1.108237
9,1,223.440945,206.425197,1.08359
 ,2,230.5,208.122549,1.108638
 ,3,234.462366,208.827957,1.123669
 ,4,232.525,207.091667,1.123854
 ,5,230.986842,207.276316,1.115198
 ,6,222.639456,206.265306,1.080186
 ,7,223.19697,205.181818,1.08877
 ,8,223.544118,206.441176,1.083717
 ,9,233.005236,209.235602,1.114629
 ,10,222.719178,205.712329,1.083667
 ,11,228.959184,208.585034,1.098778
10,1,223.165354,206.372703,1.082314
 ,2,231.338235,209.215686,1.10674
 ,3,234.198925,209.215054,1.120474
 ,4,233.125,207.808333,1.122722
 ,5,231.828947,207.131579,1.120277
 ,6,222.061224,205.673469,1.08046
 ,7,222.219697,204.825758,1.08618
 ,8,222.647059,204.808824,1.088197
 ,9,232.429319,209.518325,1.110298
 ,10,222.643836,204.835616,1.087951
 ,11,229.006803,206.931973,1.107694
11,1,223.275591,205.84252,1.085661
 ,2,233.176471,209.127451,1.11612
 ,3,232.193548,208.301075,1.115812
 ,4,232.391667,207.133333,1.123157
 ,5,232.25,206.815789,1.124034
 ,6,222.517007,204.394558,1.090125
 ,7,221.55303,205.015152,1.081521
 ,8,223.426471,206.102941,1.085172
 ,9,232.60733,209.183246,1.113209
 ,10,222.89726,205.760274,1.084296
 ,11,228.129252,207.918367,1.098008
12,1,223.569554,207.005249,1.080979
 ,2,232.166667,208.593137,1.114279
 ,3,234.5,208.768817,1.124443
 ,4,231.108333,206.85,1.118469
