Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,787.3125,349.65625,2.249089
 ,2,807.026836,378.213277,2.144234
 ,3,950.498861,365.558087,2.612992
 ,4,927.604839,441.274194,2.158672
 ,5,577.794643,307.053571,1.884732
 ,6,1005.229111,446.97035,2.279962
 ,7,778.889344,398.155738,1.957574
 ,8,641.160428,371.644385,1.71621
 ,9,984.074413,672.504569,1.485037
 ,10,1226.685446,546.998435,2.315399
 ,11,953.877311,445.845378,2.159844
 ,12,1459.397727,621.372159,2.364949
 ,13,740.138191,366.157454,2.022747
 ,14,795.071429,442.033958,1.845225
 ,15,1082.118447,569.650485,1.98067
 ,16,807.724691,441.911111,1.836093
 ,17,753.356164,364.260274,2.078246
 ,18,496.03876,286.434109,1.734749
 ,19,629.278846,294.692308,2.143974
 ,20,436.349462,243.844086,1.792479
 ,21,755.534161,308.78882,2.44672
 ,22,602.692661,307.068807,1.971926
 ,23,587.184158,345.937624,1.706199
 ,24,757.164921,309.290576,2.437252
 ,25,509.630769,344.805128,1.480508
 ,26,865.920904,497.559322,1.755923
 ,27,661.231707,452.815331,1.457553
 ,28,703.618529,361.705722,1.940958
 ,29,496.080972,313.923077,1.582672
 ,30,396.300885,262.084071,1.510031
 ,31,463.225806,251.602151,1.843638
 ,32,496.595238,263.892857,1.879643
 ,33,439.844444,251.451852,1.751877
 ,34,364.339506,240.932099,1.512841
 ,35,314.357143,230.542017,1.363672
 ,36,913.014493,801.269928,1.156524
 ,37,467.623037,316.890052,1.476634
 ,38,548.738994,270.04717,2.031374
 ,39,494.207447,304.351064,1.614079
 ,40,493.046053,306.118421,1.611245
 ,41,416.434505,277.373802,1.500709
 ,42,400.112821,284.905128,1.404186
 ,43,948.470141,586.178067,1.660098
2,1,783.583333,349.447917,2.239526
 ,2,806.836158,379.504237,2.13746
 ,3,948.268793,365.512528,2.608029
 ,4,922.844086,442.524194,2.143065
 ,5,575.410714,307.011905,1.877123
 ,6,1004.606469,446.886792,2.27746
 ,7,778.92623,396.282787,1.967554
 ,8,641.836898,373.147059,1.711169
 ,9,983.210183,672.93799,1.482252
 ,10,1225.125196,546.471049,2.311497
 ,11,953.961345,446.368067,2.157302
 ,12,1444.517045,621.826705,2.340296
 ,13,737.91206,367.077889,2.011733
 ,14,794.086651,440.839578,1.848531
 ,15,1079.023301,568.091262,1.977793
 ,16,805.430864,442.625926,1.828198
 ,17,756.791096,363.592466,2.091739
 ,18,496.01938,286.848837,1.731664
 ,19,627,294.134615,2.141075
 ,20,434.908602,244,1.785024
 ,21,756.546584,308.614907,2.452097
 ,22,603.603211,304.837156,1.988978
 ,23,586.872277,345.829703,1.706233
 ,24,756.698953,308.15445,2.443801
 ,25,509.246154,343.34359,1.485973
 ,26,863.706215,498.138418,1.748694
 ,27,660.921603,453.055749,1.456429
 ,28,703.245232,359.46594,1.951852
 ,29,495.619433,315.417004,1.572975
 ,30,399.154867,262.150442,1.520359
 ,31,462.451613,249.989247,1.852725
 ,32,497.404762,262.904762,1.889558
 ,33,440.644444,249.940741,1.765086
 ,34,363.154321,241.049383,1.50742
 ,35,315.567227,230.44958,1.369585
 ,36,910.862319,801.693841,1.151953
 ,37,467.408377,316.397906,1.478575
 ,38,547.493711,269.572327,2.030659
 ,39,490.569149,304.856383,1.598913
 ,40,492.638158,308.026316,1.59944
 ,41,416.891374,276.776358,1.505884
 ,42,401.458974,283.797436,1.414379
 ,43,947.514658,586.794788,1.658428
3,1,780.166667,348.291667,2.237471
 ,2,807.200565,379.230226,2.139248
 ,3,946.056948,365.503417,2.600252
 ,4,922.422043,442.298387,2.141651
 ,5,574.333333,307.770833,1.869787
