Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,224.842105,210.214912,1.069969
 ,2,225.951149,210.321839,1.074716
 ,3,238.66,216.34,1.103615
 ,4,232.314079,213.025271,1.090962
 ,5,238.951389,214.333333,1.115289
 ,6,230.516667,212.273333,1.08636
 ,7,229.117241,211.234483,1.08508
 ,8,235.555556,213.714286,1.102642
 ,9,230.85,213.908333,1.079677
 ,10,237.375,213.3,1.113313
 ,11,242.867052,214.520231,1.132172
 ,12,231.833333,213.396825,1.086781
 ,13,227.527027,211.581081,1.075736
 ,14,224.465517,209.258621,1.07304
2,1,224.381579,209.833333,1.069742
 ,2,226.767241,210.100575,1.079725
 ,3,238.48,215.98,1.104721
 ,4,232.252708,212.909747,1.091307
 ,5,238.923611,214.777778,1.1129
 ,6,231.01,212.023333,1.089881
 ,7,230.558621,211.544828,1.090369
 ,8,235.349206,213.02381,1.105132
 ,9,231.225,213.25,1.084673
 ,10,237.825,213.391667,1.114904
 ,11,243.468208,213.849711,1.13831
 ,12,232.626984,213.52381,1.089939
 ,13,227.986486,212.797297,1.071718
 ,14,227.293103,210.017241,1.082655
3,1,225.614035,209.230263,1.078628
 ,2,228.408046,210.982759,1.083005
 ,3,239.28,215.6,1.110318
 ,4,233.848375,213.400722,1.096286
 ,5,240.944444,213.534722,1.128887
 ,6,232.4,212.05,1.096432
 ,7,232.165517,211.903448,1.096007
 ,8,237.944444,213.571429,1.114496
 ,9,232.433333,213.275,1.09037
 ,10,239.516667,213.383333,1.122927
 ,11,243.578035,213.728324,1.139647
 ,12,233.698413,213.134921,1.096938
 ,13,230.22973,214.121622,1.075577
 ,14,226.034483,209.482759,1.079497
4,1,225.585526,209.651316,1.076357
 ,2,227.571839,210.586207,1.081053
 ,3,241.3,214.84,1.123558
 ,4,234.31769,213.545126,1.097716
 ,5,241.486111,214.888889,1.124315
 ,6,232.243333,212.166667,1.094993
 ,7,231.496552,212.434483,1.090201
 ,8,237.214286,213.68254,1.110576
 ,9,232.541667,213.341667,1.09035
 ,10,239.875,213.741667,1.122745
 ,11,243.676301,214.138728,1.137706
 ,12,233.650794,213.420635,1.095327
 ,13,228.175676,212.013514,1.076449
 ,14,227.62069,209.327586,1.087824
5,1,225.278509,209.611842,1.075179
 ,2,228.609195,210.45977,1.086693
 ,3,240.36,216.86,1.108867
 ,4,234.267148,213.209386,1.099222
 ,5,240.166667,214.076389,1.122392
 ,6,232.116667,212.436667,1.093035
 ,7,231.42069,212,1.092106
 ,8,236.960317,213.833333,1.108654
 ,9,232.058333,213.433333,1.087657
 ,10,239.2,213.55,1.120508
 ,11,244.011561,213.676301,1.14179
 ,12,233.666667,213.357143,1.095603
 ,13,230.162162,213.364865,1.0791
 ,14,228.534483,210,1.08879
6,1,225.70614,209.653509,1.07695
 ,2,227.844828,210.252874,1.084135
 ,3,239.38,214.06,1.118489
 ,4,234.245487,213.238267,1.098953
 ,5,241.201389,214.222222,1.126293
 ,6,232.15,211.98,1.095513
 ,7,231.731034,212.282759,1.091971
 ,8,237.134921,213.738095,1.109852
 ,9,232.791667,212.4,1.096567
 ,10,238.733333,213.075,1.120808
 ,11,244.387283,213.907514,1.142536
