Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,1274.312997,727.441645,1.774631
 ,2,1486.671569,781.54902,1.919029
 ,3,1057.315126,662.231092,1.60201
 ,4,1475.401786,784.074405,1.894976
 ,5,990.204225,652.556338,1.529344
 ,6,1095.555556,498.333333,2.202221
 ,7,1387.461187,712.242009,1.956275
 ,8,668.562802,370.541063,1.797454
 ,9,625.875,326.772727,1.904916
 ,10,714.405797,457.235507,1.567104
 ,11,1219.918552,531.348416,2.299576
 ,12,754.440476,497.964286,1.514881
 ,13,1582.251938,845.205426,1.883837
 ,14,1041.306818,507.643939,2.053433
 ,15,1476.813636,760.377273,1.946274
 ,16,1039.401961,757.308824,1.383341
 ,17,990.474576,671.669492,1.478808
 ,18,974.305195,557.935065,1.745937
 ,19,1073.11039,560.811688,1.916041
 ,20,1191.377451,695.245098,1.722299
 ,21,1113.977011,688.724138,1.641268
 ,22,810.479915,670.858351,1.21029
 ,23,2022.392045,944.022727,2.237296
 ,24,1245.842105,505.327935,2.469413
 ,25,1124.818182,531.878788,2.119697
 ,26,1318.818182,614.67803,1.935326
 ,27,1342.702381,944.511905,1.432599
 ,28,1194.282051,477.169231,2.508944
 ,29,1134.611842,456.875,2.509538
 ,30,1053.810924,615.605042,1.715329
 ,31,2035.948718,501.628205,4.025443
 ,32,1197.74359,645.630769,1.875498
 ,33,1006.815618,606.86551,1.669967
 ,34,1889.196429,715.130952,2.647801
 ,35,1326.03125,601.083333,2.205014
 ,36,1121.829522,396.964657,2.714551
 ,37,792.264631,489.063613,1.624586
 ,38,929.15894,581.649007,1.603421
 ,39,744.297619,410.380952,1.814995
 ,40,1167.792614,811.417614,1.449453
 ,41,1159.786624,679.452229,1.797369
 ,42,571,389.009259,1.474837
 ,43,1451.43838,971.43838,1.533939
 ,44,1365.215909,669.227273,2.011362
 ,45,972.887097,567.580645,1.728112
 ,46,771.2875,493.88125,1.57901
 ,47,854.511811,414.51706,2.061071
 ,48,905.661538,455.230769,2.023869
 ,49,697.221154,316.769231,2.215443
 ,50,606.75,399.694444,1.522155
 ,51,841.282609,521.561594,1.613733
 ,52,1206,594.78821,2.07848
 ,53,1077.836957,650.84058,1.688818
 ,54,1688.512195,548.27439,3.076202
 ,55,638.054622,452.756303,1.409567
 ,56,488.367347,301.357143,1.623734
 ,57,586.7,396.193333,1.476992
 ,58,444.710256,278.228205,1.601868
 ,59,585.388664,409.404858,1.436407
 ,60,741.933054,418.569038,1.77084
 ,61,684.790984,382.692623,1.787949
 ,62,1195.878049,472.176829,2.507238
 ,63,915.10625,354.196875,2.525583
 ,64,748.795031,387.273292,1.935995
 ,65,897.511905,465.559524,1.931295
 ,66,880.453947,484.75,1.820898
 ,67,933.693642,613.028902,1.525875
 ,68,1269.456,673.552,1.883725
 ,69,666.381579,471.565789,1.414674
 ,70,697.931677,699.695652,1.003553
 ,71,1024.105263,672.078947,1.527503
 ,72,591.365591,389.860215,1.521571
 ,73,595.022727,389.651515,1.52192
 ,74,495.985294,298.823529,1.659511
 ,75,858.425926,481.564815,1.782166
 ,76,741.4,585.696,1.270251
 ,77,1445.644737,600.061404,2.399231
 ,78,1239.574359,569.102564,2.20318
 ,79,1219.891213,697.276151,1.754812
 ,80,926.085106,580.042553,1.597122
 ,81,1614.657534,812.212329,2.003187
 ,82,848.490196,481.710784,1.766992
 ,83,1008.665966,473.508403,2.132368
 ,84,610.633484,338.226244,1.759012
 ,85,752.178218,671.811881,1.133277
 ,86,733.702381,474.916667,1.567249
 ,87,806.871795,457.579487,1.76338
 ,88,1334.561728,588.54321,2.347862
 ,89,1021.564815,367.314815,2.785949
 ,90,1142.445313,736.953125,1.565278
 ,91,357.209016,283.594262,1.261308
 ,92,477.134615,270.615385,1.768891
2,1,1273.77321,726.844828,1.774708
 ,2,1482.480392,784.823529,1.905306
 ,3,1051.743697,661.714286,1.594151
 ,4,1468.389881,782.217262,1.88793
 ,5,982.633803,647.774648,1.531074
 ,6,1097.046296,499.851852,2.199986
 ,7,1384.762557,713.415525,1.949158
 ,8,665.140097,372.091787,1.781283
 ,9,622.511364,327.329545,1.894923
 ,10,710.293478,460.376812,1.546821
 ,11,1219.59276,531.579186,2.298215
 ,12,753.964286,494.595238,1.524155
 ,13,1587.368217,844.379845,1.892435
 ,14,1038.636364,511.030303,2.03438
 ,15,1473.095455,759.540909,1.942161
 ,16,1038.289216,755.132353,1.385899
 ,17,993.915254,673.474576,1.479958
 ,18,969.38961,562.5,1.724281
 ,19,1074.305195,557.11039,1.931353
 ,20,1222.5,698.446078,1.759366
 ,21,1107.206897,689.517241,1.628678
 ,22,809.5074,669.249471,1.211228
 ,23,2012.795455,944.178977,2.224613
 ,24,1244.238866,504.813765,2.468984
 ,25,1121.958333,530.045455,2.121556
 ,26,1313.219697,614.109848,1.9261
 ,27,1343.642857,944.627976,1.432945
 ,28,1192.041026,476.241026,2.510059
 ,29,1131.539474,457.677632,2.501935
 ,30,1053.226891,620.222689,1.701906
 ,31,2033.230769,500.692308,4.029478
 ,32,1196.348718,645.158974,1.872586
 ,33,1005.203905,607.624729,1.665457
 ,34,1889.60119,719.02381,2.631911
 ,35,1332.125,598.65625,2.226614
 ,36,1121.846154,396.669439,2.715427
 ,37,791.030534,488.208651,1.624624
 ,38,926.423841,580.774834,1.60007
 ,39,742.761905,412.166667,1.803034
 ,40,1166.485795,813.727273,1.443379
 ,41,1151.156051,680.636943,1.778813
 ,42,572.814815,390.111111,1.47383
 ,43,1451.663732,972.054577,1.532705
 ,44,1367.602273,669.1875,2.014297
 ,45,968.193548,565.16129,1.727603
 ,46,767.3375,493.51875,1.572817
 ,47,851.167979,415.472441,2.047465
 ,48,905.041026,453.25641,2.030881
 ,49,699.451923,315.076923,2.234474
 ,50,606.601852,399.990741,1.522174
 ,51,830.384058,521.199275,1.595946
 ,52,1200.613537,594.122271,2.073189
 ,53,1074.07971,649.32971,1.687128
 ,54,1678.597561,549.317073,3.051204
 ,55,632.836134,452.621849,1.398754
 ,56,500.112245,301.704082,1.660394
 ,57,588.053333,397.756667,1.474692
 ,58,444.753846,278.479487,1.600708
 ,59,580.991903,407.522267,1.432527
 ,60,735.167364,421.213389,1.744485
 ,61,683.647541,381.122951,1.791885
 ,62,1190.012195,473.371951,2.488255
 ,63,913.221875,354.21875,2.51929
 ,64,749.031056,389.968944,1.924711
 ,65,899.22619,463.428571,1.947042
 ,66,878.776316,480.894737,1.831984
 ,67,943.716763,610.843931,1.546975
 ,68,1267.864,671.92,1.886945
 ,69,655.684211,468.592105,1.40067
 ,70,695.31677,699.310559,0.99966
 ,71,1029.105263,674.5,1.529252
 ,72,588.790323,388.682796,1.520702
 ,73,599.5,389.909091,1.533226
 ,74,496.573529,299.823529,1.655569
 ,75,854.009259,478.768519,1.783496
 ,76,736.088,587.224,1.255705
 ,77,1446.868421,599.925439,2.400772
 ,78,1244.846154,567.717949,2.221456
 ,79,1221.778243,696.748954,1.758254
 ,80,923.196809,577.388298,1.599356
 ,81,1612.623288,812.020548,2.000458
 ,82,850.279412,482.730392,1.766571
 ,83,1009.957983,474.628151,2.129503
 ,84,610.579186,339.438914,1.75248
 ,85,749.019802,672.712871,1.12521
 ,86,733.607143,474.345238,1.569464
 ,87,805.584615,459.738462,1.751474
 ,88,1324.864198,586.851852,2.338504
 ,89,1024.787037,369.138889,2.78119
 ,90,1140.507813,734.679688,1.567511
 ,91,356.754098,282.729508,1.263627
 ,92,479.403846,272.394231,1.765048
3,1,1266.587533,724.931034,1.768742
 ,2,1480.112745,781.529412,1.910718
 ,3,1014.369748,663.428571,1.533105
 ,4,1466.366071,785.08631,1.880723
 ,5,984.338028,646.06338,1.538184
 ,6,1098.990741,499.083333,2.206651
 ,7,1383.146119,713.762557,1.946314
 ,8,666.036232,370.594203,1.790692
 ,9,618.022727,324.681818,1.894809
 ,10,710.188406,459.532609,1.549652
 ,11,1216.714932,529.153846,2.302659
 ,12,748.642857,496.345238,1.507031
 ,13,1577.174419,843.643411,1.882426
 ,14,1038.814394,508.727273,2.043607
 ,15,1469.768182,756.481818,1.94516
 ,16,1031.980392,755.127451,1.376068
 ,17,991.101695,673.008475,1.476402
 ,18,970.311688,560.480519,1.730132
 ,19,1065.071429,555.688312,1.917575
 ,20,1227.27451,695.47549,1.773579
 ,21,1107.609195,691.413793,1.625925
 ,22,807.585624,671.095137,1.205938
 ,23,2011.261364,939.744318,2.235066
 ,24,1242.639676,502.955466,2.474851
 ,25,1116.125,525.181818,2.130136
 ,26,1307.424242,609.943182,1.931933
 ,27,1339.446429,942.270833,1.432361
 ,28,1188.092308,478.682051,2.487851
 ,29,1132.703947,456.236842,2.513296
 ,30,1052.054622,619.642857,1.700709
 ,31,2037.423077,497.269231,4.064138
 ,32,1194.620513,647.574359,1.86143
 ,33,1004.507592,605.275488,1.669596
 ,34,1891.642857,714.678571,2.650524
 ,35,1324.0625,597.552083,2.21667
 ,36,1123.407484,396.686071,2.720292
 ,37,791.941476,489.292621,1.622981
 ,38,925.715232,580.02649,1.600623
 ,39,740.571429,410.916667,1.804691
 ,40,1168.161932,811.778409,1.447575
 ,41,1150.627389,680.748408,1.775687
 ,42,568.212963,388.944444,1.467924
 ,43,1449.427817,971.09507,1.532494
 ,44,1362.102273,669.352273,2.007506
 ,45,964.145161,569.258065,1.706409
 ,46,766.66875,494.98125,1.568431
 ,47,850.107612,413.023622,2.058092
 ,48,906.902564,453.928205,2.03464
 ,49,700.317308,313.980769,2.247573
 ,50,607.074074,399.240741,1.525206
 ,51,841.742754,521.934783,1.618108
 ,52,1200.255459,592.954148,2.075309
 ,53,1074.336957,650.130435,1.685784
 ,54,1667.445122,546.981707,3.042439
 ,55,634.987395,450.407563,1.410798
 ,56,497.061224,302.989796,1.642511
 ,57,585.76,397.75,1.469149
 ,58,445.671795,277.782051,1.607179
 ,59,585.663968,410.117409,1.434807
 ,60,731.790795,418.527197,1.746721
 ,61,684.860656,380.905738,1.796116
 ,62,1187.817073,472.542683,2.486954
 ,63,909.925,353.678125,2.51547
 ,64,750.925466,388.229814,1.936193
 ,65,893.678571,461.166667,1.942877
 ,66,874.052632,483.789474,1.812346
 ,67,943.50289,614.716763,1.537968
 ,68,1262.28,674.424,1.872384
 ,69,654,469.434211,1.394621
 ,70,698.124224,697.78882,1.006768
 ,71,1016.894737,677.605263,1.503401
 ,72,589.88172,386.784946,1.53046
 ,73,594.833333,392.204545,1.511652
 ,74,497.191176,298.867647,1.662722
 ,75,854.416667,479.888889,1.780552
 ,76,742.32,587.408,1.266825
 ,77,1444.29386,600.951754,2.393738
 ,78,1231.158974,568.205128,2.193931
 ,79,1217.979079,697.175732,1.751994
 ,80,922.542553,577.925532,1.59669
 ,81,1611.623288,813.184932,1.996671
 ,82,845.196078,482.769608,1.756272
 ,83,1006.82563,472.842437,2.13125
 ,84,613.506787,338.624434,1.765598
 ,85,748.534653,673.737624,1.12298
 ,86,733,475.52381,1.566037
 ,87,804.564103,459.210256,1.751164
 ,88,1327.907407,590.302469,2.329009
 ,89,1018.351852,367.675926,2.773166
 ,90,1098.234375,739.945313,1.501375
 ,91,356.405738,281.438525,1.267966
 ,92,478.673077,270.153846,1.777027
4,1,1266.05305,725.612732,1.767561
 ,2,1483.387255,784.656863,1.908616
 ,3,1040.12605,661.319328,1.577406
 ,4,1469.645833,784.017857,1.887132
 ,5,985.880282,648.161972,1.533771
 ,6,1092.888889,498.194444,2.197196
 ,7,1369.826484,709.83105,1.938525
