Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,237.918713,213.411516,1.115319
 ,2,238.82866,215.084112,1.111238
 ,3,241.135135,214.108108,1.126794
 ,4,238.59011,213.183516,1.119881
 ,5,229.313816,210.590132,1.089546
 ,6,229.729553,210.622683,1.091298
 ,7,245.875415,213.981728,1.149446
 ,8,230.278169,212.200704,1.085869
 ,9,230.984351,212.564945,1.087358
 ,10,243.447183,215.802817,1.128851
 ,11,228.408571,211.788571,1.079096
 ,12,233.037288,212.942373,1.094951
 ,13,234.091398,212.758065,1.10115
 ,14,237.790123,214.04321,1.111605
2,1,238.487722,213.2337,1.118894
 ,2,238.4081,215.691589,1.106021
 ,3,241.412162,215.337838,1.121985
 ,4,239.385714,212.771429,1.125768
 ,5,229.484211,210.310526,1.091784
 ,6,230.352236,210.781897,1.093488
 ,7,245.765781,214.149502,1.148106
 ,8,231.038732,213.429577,1.083154
 ,9,231.483568,212.226917,1.091354
 ,10,244.260563,216.732394,1.127754
 ,11,229.268571,210.711429,1.088732
 ,12,233.071186,212.477966,1.097576
 ,13,234.817204,212.510753,1.105692
 ,14,237.006173,213.04321,1.113086
3,1,238.276884,213.151566,1.118246
 ,2,239.495327,214.719626,1.116068
 ,3,241.540541,214.810811,1.124988
 ,4,238.640659,213.543956,1.118236
 ,5,229.658553,210.542105,1.091421
 ,6,229.977099,210.784079,1.091655
 ,7,245.337209,213.870432,1.147528
 ,8,230.158451,213,1.081197
 ,9,230.574335,212.438185,1.086006
 ,10,243.257042,216.690141,1.123342
 ,11,229.337143,210.322857,1.090984
 ,12,232.077966,213.162712,1.089267
 ,13,234.268817,212.897849,1.101031
 ,14,236.783951,213.932099,1.107401
4,1,238.404742,213.210838,1.118611
 ,2,239.180685,214.314642,1.116635
 ,3,241.337838,214.02027,1.12832
 ,4,238.373626,213.12967,1.119082
 ,5,229.178947,210.323684,1.090348
 ,6,230.366412,211.097056,1.091953
 ,7,245.347176,214.36711,1.144914
 ,8,231.183099,211.862676,1.091837
 ,9,231.1518,212.533646,1.088275
 ,10,243.440141,216.760563,1.123817
 ,11,229.637143,211.162857,1.088043
 ,12,232.623729,213.220339,1.091647
 ,13,235.05914,212.473118,1.107076
 ,14,237.277778,213.141975,1.113935
5,1,238.499577,213.506351,1.1175
 ,2,239.121495,214.82243,1.11367
 ,3,240.817568,215.391892,1.118603
 ,4,238.515385,213.016484,1.120424
 ,5,229.422368,210.674342,1.089568
 ,6,230.400218,210.543075,1.094939
 ,7,245.137874,213.858804,1.146691
 ,8,231.31338,212.478873,1.089407
 ,9,231.43349,212.463224,1.089891
 ,10,243.679577,216.15493,1.128157
 ,11,228.668571,210.948571,1.084747
 ,12,231.942373,212.528814,1.091963
 ,13,234.263441,212.892473,1.101085
 ,14,237.450617,213.141975,1.114512
6,1,238.182896,213.212532,1.117531
 ,2,238.919003,215.274143,1.110593
 ,3,241.398649,213.52027,1.131274
 ,4,238.285714,212.984615,1.119457
 ,5,229.270395,210.533553,1.089672
 ,6,230.079607,211.414395,1.088888
 ,7,245.656146,213.77907,1.149474
 ,8,230.53169,212.767606,1.083976
 ,9,232.250391,212.255086,1.094856
 ,10,243.753521,217.105634,1.123452
 ,11,229.517143,210.888571,1.089029
 ,12,232.037288,213.322034,1.088266
 ,13,234.768817,213.209677,1.101942
 ,14,236.351852,212.524691,1.112687
7,1,238.254869,213.247248,1.117642
 ,2,238.71028,216.049844,1.105663
 ,3,240.804054,214.22973,1.124603
 ,4,238.112088,212.948352,1.118868
 ,5,229.320395,210.457895,1.090254
 ,6,230.037077,210.561614,1.093179
 ,7,245.551495,214.215947,1.146681
 ,8,230.633803,212.897887,1.083927
 ,9,230.743349,212.525822,1.086317
 ,10,243.799296,216.827465,1.124992
 ,11,229.182857,210.86,1.087522
 ,12,232.515254,212.237288,1.096221
 ,13,233.688172,211.967742,1.103159
 ,14,237.67284,212.95679,1.116715
8,1,238.740898,213.469094,1.118847
 ,2,237.82866,215.395639,1.10488
 ,3,240.858108,214.837838,1.121622
 ,4,238.18022,212.837363,1.119807
 ,5,229.872368,210.206579,1.094167
 ,6,229.675027,210.668484,1.090924
 ,7,245.149502,213.554817,1.148375
 ,8,231.496479,212.362676,1.090779
 ,9,231.211268,212.039124,1.091099
 ,10,243.869718,216.510563,1.127081
 ,11,229.448571,210.265714,1.091857
 ,12,232.291525,213.169492,1.090306
 ,13,234.510753,213.053763,1.101377
 ,14,236.901235,213.462963,1.110255
9,1,238.385267,213.333616,1.117871
 ,2,238.987539,215.311526,1.110699
 ,3,241.952703,213.783784,1.132208
 ,4,238.73956,213.22967,1.120288
 ,5,229.691447,210.538158,1.091668
 ,6,229.938931,210.794984,1.091505
 ,7,244.9701,214.200997,1.144102
 ,8,230.316901,212.341549,1.085238
 ,9,231.065728,212.496088,1.088069
 ,10,244.200704,216.369718,1.129334
 ,11,228.417143,210.782857,1.08421
 ,12,232.108475,212.023729,1.095332
 ,13,234.311828,212.607527,1.102758
 ,14,236.592593,213.055556,1.111162
10,1,238.402202,212.907705,1.120158
 ,2,239.077882,215.140187,1.111977
 ,3,242.5,213.878378,1.134379
 ,4,238.29011,213.17033,1.118522
 ,5,229.307895,210.271053,1.091207
 ,6,230.051254,210.863686,1.091664
 ,7,245.019934,214.320598,1.143772
 ,8,230.588028,212.517606,1.08567
 ,9,230.956182,212.341158,1.088291
 ,10,242.556338,215.823944,1.12458
 ,11,230.297143,210.32,1.095531
 ,12,232.661017,213.281356,1.091452
 ,13,234.349462,212.456989,1.103816
 ,14,236.654321,212.469136,1.114592
11,1,237.797629,213.314987,1.115181
 ,2,238.554517,215.242991,1.109077
 ,3,240.101351,213.567568,1.124815
 ,4,238.401099,212.99011,1.119891
 ,5,229.632237,210.048026,1.093875
 ,6,230.029444,210.241003,1.094754
 ,7,245.167774,214.234219,1.144787
 ,8,231.725352,212.549296,1.090877
 ,9,230.805947,212.820031,1.085143
 ,10,242.721831,216.971831,1.119293
 ,11,229.405714,211.565714,1.084831
 ,12,232.081356,212.562712,1.092322
 ,13,234.758065,213.456989,1.100286
 ,14,237.185185,213.598765,1.111037
12,1,238.353091,213.138865,1.118735
 ,2,238.890966,215.560748,1.108885
 ,3,239.614865,214.385135,1.118077
 ,4,238.137363,213.392308,1.116613
 ,5,229.897368,210.528289,1.092632
 ,6,230.015267,210.619411,1.092708
 ,7,244.569767,214.146179,1.142409
 ,8,230.591549,212.330986,1.086812
 ,9,231.327074,212.56025,1.088885
 ,10,243.235915,215.816901,1.127935
 ,11,228.905714,211.088571,1.085021
 ,12,232.172881,211.911864,1.096222
 ,13,233.930108,212.134409,1.103638
 ,14,236.074074,212.858025,1.109517
13,1,237.862828,213.73497,1.113355
 ,2,239.224299,214.900312,1.113988
 ,3,239.263514,213.621622,1.120559
 ,4,238.161538,212.748352,1.120098
 ,5,229.239474,210.338158,1.090475
 ,6,229.189749,210.688113,1.088401
 ,7,244.612957,214.167774,1.142714
 ,8,230.288732,212.109155,1.086374
 ,9,230.917058,212.640063,1.08653
 ,10,242.943662,216.116197,1.124763
 ,11,228.877143,210.72,1.08684
 ,12,231.915254,212.80678,1.090429
 ,13,233.225806,212.973118,1.09577
 ,14,236.888889,213.018519,1.112682
14,1,237.911092,213.15834,1.116539
 ,2,237.925234,214.900312,1.107888
 ,3,240.074324,214.108108,1.121765
 ,4,238.802198,212.651648,1.123632
 ,5,228.951974,209.940132,1.091197
 ,6,229.575791,210.507088,1.091278
 ,7,245.45515,213.318937,1.151035
 ,8,230.306338,212.207746,1.085858
 ,9,231.289515,212.153365,1.090854
 ,10,243.426056,216.316901,1.126022
 ,11,228.951429,210.937143,1.085978
 ,12,232.237288,212.986441,1.091111
 ,13,234.263441,212.913978,1.101133
 ,14,237.623457,212.876543,1.117025
15,1,238.137172,212.806097,1.119476
 ,2,238.517134,214.732087,1.111554
 ,3,239.959459,214.405405,1.119774
 ,4,237.810989,213.201099,1.116058
 ,5,229.052632,210.299342,1.089782
 ,6,230.166848,209.968375,1.096849
 ,7,243.875415,213.433555,1.14306
 ,8,231.070423,212.380282,1.088678
 ,9,230.70266,212.671362,1.085423
 ,10,243.084507,216.609155,1.12294
 ,11,229.011429,210.168571,1.090203
 ,12,231.542373,212.515254,1.090025
 ,13,233.908602,211.741935,1.105388
 ,14,236.950617,213.271605,1.111817
16,1,237.541914,213.185436,1.114716
 ,2,238.261682,215.707165,1.10532
 ,3,240.662162,215.128378,1.11931
 ,4,238.136264,213,1.118692
 ,5,229.330263,210.297368,1.091139
 ,6,229.974918,210.882225,1.091239
 ,7,244.918605,213.873754,1.145603
 ,8,229.989437,212.517606,1.082821
 ,9,230.793427,212.355243,1.087474
 ,10,241.771127,216.957746,1.114984
 ,11,228.888571,211.04,1.085115
 ,12,231.864407,212.288136,1.092749
 ,13,233.913978,212.908602,1.099434
 ,14,236.358025,212.049383,1.115479
17,1,238.249788,213.327688,1.117285
 ,2,238.576324,215.890966,1.105744
 ,3,240.060811,214.662162,1.118793
 ,4,238.01978,213.226374,1.116918
 ,5,229.228289,210.393421,1.090193
 ,6,230.305344,210.496183,1.094736
 ,7,244.828904,213.893688,1.145133
 ,8,231.535211,212.31338,1.091246
 ,9,231.683881,212.56338,1.090548
 ,10,243.679577,216.207746,1.127705
 ,11,228.862857,210.922857,1.085642
 ,12,232.976271,213.128814,1.093808
 ,13,233.790323,212.301075,1.101928
 ,14,236.808642,213.012346,1.112404
18,1,238.878069,213.07282,1.121524
 ,2,239.626168,215.336449,1.113584
 ,3,242.425676,215,1.128172
 ,4,239.265934,213.121978,1.123355
 ,5,230.415132,210.336842,1.096102
 ,6,231.720829,210.653217,1.100689
 ,7,245.395349,214.07309,1.146798
 ,8,232.419014,212.369718,1.094974
 ,9,232.308294,212.647887,1.093188
 ,10,243.894366,216.690141,1.126143
 ,11,229.754286,210.571429,1.09173
 ,12,233.833898,212.722034,1.099846
 ,13,235.037634,213.209677,1.103129
 ,14,237.814815,212.993827,1.11725
19,1,239.436071,212.909399,1.124978
 ,2,240.420561,215.224299,1.117849
 ,3,241.689189,214.358108,1.127998
 ,4,239.036264,212.834066,1.123759
 ,5,230.691447,210.174342,1.098247
 ,6,232.141767,211.124318,1.100202
 ,7,245.782392,214.348837,1.147029
 ,8,232.25,212.112676,1.095658
 ,9,233.073552,212.29108,1.098599
 ,10,245.073944,216.426056,1.133039
 ,11,230.251429,210.605714,1.094014
 ,12,232.732203,212.061017,1.098145
 ,13,234.709677,212.709677,1.104322
 ,14,239.104938,213.45679,1.1211
20,1,239.869602,213.463167,1.124124
 ,2,239.062305,214.669782,1.114498
 ,3,241.790541,213.47973,1.133155
 ,4,239.628571,213.310989,1.124049
 ,5,230.675658,210.402632,1.096986
 ,6,230.800436,210.580153,1.096599
 ,7,245.481728,213.785714,1.148709
 ,8,232.46831,212.193662,1.096288
 ,9,232.150235,212.314554,1.094053
 ,10,244.764085,216.253521,1.132663
 ,11,229.545714,210.351429,1.091977
 ,12,233.220339,212.786441,1.096589
 ,13,234.77957,213.032258,1.102729
 ,14,238.209877,212.728395,1.120427
21,1,239.346317,213.270957,1.122792
 ,2,239.124611,215.370717,1.11099
 ,3,241.25,214.412162,1.125816
 ,4,239.321978,212.872527,1.124984
 ,5,230.244079,210.261184,1.095674
 ,6,230.592148,210.103599,1.098102
 ,7,245.737542,213.563123,1.151125
 ,8,231.577465,212.693662,1.089459
 ,9,232.014085,211.910798,1.095494
 ,10,243.774648,215.778169,1.130543
 ,11,230.014286,210.528571,1.093304
 ,12,232.911864,212.715254,1.095432
 ,13,235.596774,211.72043,1.113524
 ,14,236.623457,212.604938,1.11375
22,1,237.99746,212.964437,1.117955
 ,2,238.464174,215.398754,1.107692
 ,3,240.222973,213.472973,1.125887
 ,4,238.727473,213.248352,1.120173
 ,5,229.913816,210.470395,1.092979
 ,6,230.583424,210.834242,1.094277
 ,7,244.607973,213.815615,1.1446
 ,8,231.619718,211.883803,1.093788
 ,9,231.624413,212.784038,1.08923
 ,10,243.225352,217.045775,1.12139
 ,11,230.577143,211.054286,1.093221
 ,12,233.149153,212.627119,1.097135
 ,13,234.016129,212.387097,1.102469
 ,14,236.296296,212.728395,1.111443
23,1,238.059272,212.978831,1.118256
 ,2,238.517134,214.850467,1.110966
 ,3,241.601351,214.216216,1.128479
 ,4,238.674725,213.215385,1.120126
 ,5,229.431579,210.625658,1.08996
 ,6,230.34133,211.016358,1.092226
 ,7,244.827243,214.20598,1.143388
 ,8,231.630282,212.25,1.09187
 ,9,231.629108,212.27543,1.091816
 ,10,243.045775,216.482394,1.123345
 ,11,229.631429,211.048571,1.088796
 ,12,232.210169,212.742373,1.09208
 ,13,235.973118,212.370968,1.111741
 ,14,236.808642,212.37037,1.115491
24,1,238.0779,213.508044,1.115536
 ,2,238.056075,214.570093,1.110148
 ,3,240.486486,213.824324,1.125305
 ,4,238.11978,213.231868,1.117377
 ,5,229.384868,210.261842,1.091652
 ,6,230.451472,210.528899,1.095199
 ,7,243.956811,214.078073,1.139952
 ,8,231.580986,212.940141,1.088232
 ,9,231.758998,212.042254,1.093742
 ,10,243.644366,216.264085,1.127375
 ,11,229.411429,210.337143,1.091268
 ,12,231.932203,211.901695,1.09515
 ,13,233.66129,213.129032,1.096881
 ,14,236.845679,212.82716,1.113674
25,1,238.312447,212.793395,1.12042
 ,2,238.5919,214.632399,1.112376
 ,3,239.371622,213.445946,1.121944
 ,4,237.893407,212.774725,1.118741
 ,5,229.598684,210.417763,1.091782
 ,6,229.763359,210.42639,1.092539
 ,7,244.682724,213.749169,1.145132
 ,8,231.123239,212.757042,1.087047
 ,9,230.729264,212.549296,1.086192
 ,10,243.066901,215.989437,1.126152
 ,11,229.102857,211.182857,1.08539
 ,12,231.877966,212.844068,1.090051
 ,13,235.048387,212.435484,1.106966
 ,14,237.098765,212.401235,1.116976
26,1,237.893311,212.965284,1.117464
 ,2,239.261682,215.330218,1.111932
 ,3,240.263514,214.547297,1.120249
 ,4,238.4,212.884615,1.120506
 ,5,229.555263,210.55,1.090882
 ,6,230.02181,210.825518,1.091684
 ,7,244.681063,213.853821,1.144614
 ,8,230.982394,212.183099,1.089131
 ,9,230.744914,212.524257,1.086304
 ,10,242.253521,215.90493,1.122829
 ,11,229.06,211.137143,1.085479
 ,12,232.518644,212.955932,1.092533
 ,13,233.768817,212.354839,1.101597
 ,14,236.728395,212.296296,1.115895
27,1,238.121084,213.085521,1.117964
 ,2,238.333333,215.056075,1.109008
 ,3,240.459459,213.351351,1.127868
 ,4,238.273626,212.520879,1.121898
 ,5,229.585526,210.55,1.091111
 ,6,229.920393,210.285714,1.094016
 ,7,244.546512,213.86711,1.143966
 ,8,231.003521,212.288732,1.088762
 ,9,231.381847,212.2723,1.090714
 ,10,242.577465,217.28169,1.11711
 ,11,229.257143,210.408571,1.090239
 ,12,232.084746,212.830508,1.091141
 ,13,233.290323,211.978495,1.101182
 ,14,236.246914,212.944444,1.110055
28,1,237.796782,212.825572,1.117876
 ,2,238.109034,214.76947,1.109366
 ,3,239.817568,214.5,1.118638
 ,4,238.284615,212.604396,1.121428
 ,5,229.132237,210.167763,1.090845
 ,6,229.814613,210.745911,1.091131
 ,7,243.784053,213.784053,1.1407
 ,8,230.746479,212.883803,1.084572
 ,9,230.550861,212.42723,1.085953
 ,10,243.126761,215.827465,1.127211
 ,11,228.731429,210.962857,1.084933
 ,12,231.891525,212.749153,1.090461
 ,13,233.709677,211.860215,1.103831
 ,14,237.191358,213.814815,1.110044
29,1,237.933108,213.219306,1.116296
 ,2,238.102804,214.529595,1.110563
 ,3,239.263514,215.175676,1.112392
 ,4,237.873626,212.63956,1.119364
 ,5,228.904605,210.355263,1.088822
 ,6,229.920393,210.399128,1.09344
 ,7,243.30897,213.69103,1.139095
 ,8,231.091549,211.996479,1.090741
 ,9,231.251956,212.28795,1.089958
 ,10,242.609155,216.545775,1.121128
 ,11,229.157143,210.054286,1.091644
 ,12,231.905085,212.322034,1.092871
 ,13,234.623656,212.849462,1.103151
 ,14,237.302469,212.709877,1.116175
30,1,238.03895,212.942422,1.118261
 ,2,237.996885,215.174455,1.106776
 ,3,239.439189,214.141892,1.118558
 ,4,237.091209,212.783516,1.114896
 ,5,229.014474,210.523684,1.088466
 ,6,229.941112,210.491821,1.093009
 ,7,243.267442,213.358804,1.140649
 ,8,230.947183,211.630282,1.092002
 ,9,230.730829,212.593114,1.085943
 ,10,242.795775,216.302817,1.123193
 ,11,229.577143,210.482857,1.091274
 ,12,232.2,213.132203,1.090112
 ,13,233.44086,212.887097,1.09725
 ,14,237.240741,212.623457,1.116328
31,1,237.624047,213.257409,1.114792
 ,2,238.504673,214.535826,1.112452
 ,3,239.027027,213.905405,1.117836
 ,4,237.715385,213.032967,1.116579
 ,5,229.034211,210.308553,1.089702
 ,6,230.009815,210.944384,1.091005
 ,7,243.785714,213.601329,1.141751
 ,8,230.390845,211.693662,1.088926
 ,9,230.668232,211.901408,1.089149
 ,10,243.077465,216.151408,1.125347
 ,11,229.031429,210.517143,1.088581
 ,12,230.749153,212.928814,1.084256
 ,13,234.204301,212.021505,1.105378
 ,14,236.648148,213.580247,1.108778
32,1,237.478408,212.923793,1.115777
 ,2,237.626168,215.084112,1.105501
 ,3,238.621622,212.824324,1.121742
 ,4,239.598901,213.056044,1.125244
 ,5,229.386184,210.305921,1.091324
 ,6,230.002181,210.503817,1.093257
 ,7,243.868771,213.740864,1.141539
 ,8,230.390845,211.538732,1.089687
 ,9,230.685446,212.2723,1.087328
 ,10,242.799296,215.84507,1.125602
 ,11,228.8,210.311429,1.088605
