Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,946.183932,422.945032,2.246911
 ,2,701.137931,321.433908,2.184584
 ,3,494.968,331.416,1.495301
 ,4,780.794686,399.014493,1.965587
 ,5,1372.423423,480.013514,2.883686
 ,6,829.522936,401.158257,2.079776
 ,7,805.364073,424.065322,1.911366
 ,8,617.425926,293.919753,2.103154
 ,9,895.721612,437.054945,2.052826
 ,10,439.75,275.186275,1.601085
 ,11,545.086667,323.793333,1.687213
 ,12,980.087398,526.186992,1.905904
 ,13,404.567073,270.128049,1.497054
 ,14,751.397059,349.411765,2.150294
 ,15,511.141304,310.236413,1.648208
 ,16,780.903061,379.255102,2.08774
 ,17,1002.356764,593.998674,1.697753
 ,18,1507.603448,523.568966,2.889531
 ,19,490.974522,285.420382,1.722769
 ,20,1012.233516,464.340659,2.189958
 ,21,933.029762,364.943452,2.567771
 ,22,706.016779,444.644295,1.589829
 ,23,801.76178,347.704188,2.312934
 ,24,1163.918182,485.590909,2.408072
 ,25,639.211538,387.217949,1.665835
 ,26,638.940476,296.178571,2.157267
 ,27,592.994774,378.709059,1.575007
 ,28,645.017123,341.143836,1.893131
 ,29,1787.652101,659.877311,2.737507
 ,30,646.65035,392.951049,1.647998
 ,31,787.251004,450.508032,1.749764
 ,32,732.224919,482.642395,1.522322
 ,33,910.594329,467.600872,1.96041
 ,34,780.694805,339.717532,2.300414
 ,35,624.378995,390.086758,1.60936
 ,36,801.73,388.836667,2.081936
 ,37,738.785948,365.052288,2.018591
 ,38,333.819005,296.665158,1.126234
 ,39,1323.395619,576.194588,2.303643
 ,40,647.317949,296.758974,2.188101
 ,41,673.025907,307.979275,2.192955
 ,42,1316.862136,556.48932,2.392254
 ,43,1414.408451,515.204225,2.773677
 ,44,830.395349,333.674419,2.491222
 ,45,1560.138571,675.031429,2.328533
 ,46,1115.882353,508.588235,2.183636
 ,47,426.037037,246.805556,1.727127
 ,48,1184.740385,520.855769,2.277471
 ,49,456.753846,251.923077,1.813844
 ,50,737.46875,344.1875,2.146464
 ,51,1356.865672,496.39801,2.743076
 ,52,818.609524,389.019048,2.112518
 ,53,564.265152,282.477273,2.000283
 ,54,453.093063,301.27242,1.505367
 ,55,1140.397849,456.973118,2.513541
 ,56,537.764706,278.029412,1.937863
 ,57,920.440299,467.177239,1.985305
 ,58,699.225248,297.428218,2.352345
 ,59,670.897887,343.778169,1.951474
 ,60,700.332192,370.575342,1.894292
 ,61,483.349505,311.164356,1.557673
 ,62,804.595238,307.434524,2.619347
 ,63,669.612676,317.876761,2.107283
 ,64,365.365385,295.807692,1.235848
 ,65,541.902564,301.194872,1.799583
 ,66,559.435484,299.447581,1.871271
 ,67,1138.419614,511.356913,2.23929
 ,68,408.716172,267.09571,1.531696
 ,69,544.44,275.68,1.976233
 ,70,1089.919271,497.052083,2.198204
 ,71,601.95614,311.387719,1.939429
 ,72,893.647458,366.366102,2.443727
 ,73,635.805128,313.871795,2.025726
 ,74,396.791667,277.443627,1.430906
 ,75,578.575904,318.819277,1.822975
 ,76,434.979487,274.074359,1.587625
 ,77,774.547573,343.506796,2.243881
 ,78,700.559859,456.746479,1.539748
 ,79,577.723485,314.57197,1.834748
 ,80,638.349765,317.748826,2.016128
 ,81,771.643052,384.408719,2.015453
 ,82,833.311721,349.032419,2.391772
 ,83,1040.836134,432.628151,2.403695
 ,84,785.836667,369.386667,2.132079
2,1,943.031712,422.048626,2.243256
 ,2,697.692529,321.609195,2.172317
 ,3,503.2,331.192,1.520786
 ,4,780.258454,398.676329,1.96627
 ,5,1375.09009,479.054054,2.893771
 ,6,827.181193,398.892202,2.085095
 ,7,803.7195,425.242075,1.902052
 ,8,619.216049,295.104938,2.102038
 ,9,895.252747,435.245421,2.060865
 ,10,441.061275,275.164216,1.605836
 ,11,544.43,323.963333,1.684969
 ,12,978.829268,525.388211,1.90512
 ,13,404.067073,269.75,1.497693
 ,14,747.897059,348.779412,2.144286
 ,15,509.956522,309.752717,1.64694
 ,16,776.790816,379.816327,2.07152
 ,17,1000.587533,595.525199,1.689775
 ,18,1490.086207,522.931034,2.858608
 ,19,490.070064,286.031847,1.716942
 ,20,1016.005495,464.568681,2.198647
 ,21,931.324405,363.383929,2.574762
 ,22,704.939597,444.171141,1.588984
 ,23,798.015707,347.526178,2.303854
 ,24,1156.663636,486.545455,2.387866
 ,25,638.535256,386.924145,1.664605
 ,26,634.738095,296.095238,2.14186
 ,27,592.370209,378.720383,1.573394
 ,28,642.839041,341.59589,1.884714
 ,29,1784.692437,658.838655,2.737756
 ,30,647.846154,393.22028,1.650322
 ,31,784.975904,450.757028,1.743613
 ,32,729.491909,481.978964,1.51837
 ,33,908.345692,466.911668,1.958532
 ,34,778.717532,338.678571,2.300662
 ,35,657.205479,390.187215,1.69526
 ,36,801.85,389.45,2.080535
 ,37,738.939542,364.769608,2.020436
 ,38,332.542986,297.18552,1.11963
 ,39,1324.996134,575.636598,2.308374
 ,40,646.082051,297.625641,2.176881
 ,41,672.349741,308.551813,2.186605
 ,42,1310.41165,558.184466,2.372033
 ,43,1413.771127,516.883803,2.763854
 ,44,829.209302,335.116279,2.475794
 ,45,1553.824286,674.48,2.321216
 ,46,1096.189076,506.420168,2.154117
 ,47,425.055556,247.324074,1.71899
 ,48,1191.201923,515.567308,2.311948
 ,49,458.082051,251.569231,1.821365
 ,50,759.625,344.84375,2.206905
 ,51,1361.268657,497.644279,2.745631
 ,52,816.419048,389.078571,2.105049
 ,53,567.075758,282.174242,2.012504
 ,54,452.116751,301.849408,1.499169
 ,55,1138.13172,456.577957,2.510644
 ,56,537.585784,277.218137,1.942886
 ,57,918.351679,467.120336,1.981246
 ,58,695.675743,298.217822,2.333987
 ,59,670.5,342.556338,1.957395
 ,60,698.664384,369.613014,1.89645
 ,61,483.589109,311.521782,1.556695
 ,62,798.910714,306.869048,2.605877
 ,63,667.228873,316.785211,2.106803
 ,64,366.211538,297.634615,1.230824
 ,65,543.230769,301.107692,1.804368
 ,66,560.120968,299.927419,1.871576
 ,67,1133.959807,510.924437,2.232317
 ,68,408.521452,267.60066,1.528395
 ,69,551.26,278.08,1.983465
 ,70,1087.804688,496.174479,2.197893
 ,71,599.452632,311.491228,1.930941
 ,72,893.644068,365.423729,2.44852
 ,73,635.025641,313.251282,2.02738
 ,74,397.397059,277.066176,1.434721
 ,75,576.720482,318.501205,1.81924
 ,76,436.128205,274.733333,1.587761
 ,77,773.368932,344.91068,2.231018
 ,78,702.690141,456.433099,1.544891
 ,79,575.30303,313.526515,1.83336
 ,80,638.562207,318.232394,2.014574
 ,81,773.547684,384.711172,2.017799
 ,82,832.840399,348.84788,2.392107
 ,83,1036.142857,431.105042,2.401381
 ,84,781.666667,368.656667,2.124801
3,1,943.92389,423.021142,2.239936
 ,2,696.166667,321.456897,2.168085
 ,3,492.416,332.072,1.48414
 ,4,777.724638,397.797101,1.964651
 ,5,1379.175676,476.864865,2.91695
 ,6,824.649083,398.672018,2.079907
 ,7,801.722382,424.857829,1.899291
 ,8,616.320988,294.703704,2.093852
 ,9,892.117216,435.395604,2.052715
 ,10,440.259804,274.193627,1.60831
 ,11,542.52,322.853333,1.684045
 ,12,978.014228,526.422764,1.90061
 ,13,404.823171,269.817073,1.499897
 ,14,746.058824,347.588235,2.146156
 ,15,509.921196,311.103261,1.640367
 ,16,779.331633,380.352041,2.077328
 ,17,997.94695,594.043767,1.690423
 ,18,1486.155172,525.706897,2.837098
 ,19,490.433121,284.859873,1.725129
 ,20,1012.821429,462.096154,2.202081
 ,21,929.958333,364.455357,2.56314
 ,22,703.16443,444.077181,1.585099
 ,23,796.109948,348.112565,2.294633
 ,24,1149.768182,487.386364,2.368827
 ,25,636.555556,386.662393,1.661012
 ,26,636.22619,296.511905,2.146355
 ,27,591.272648,378.148955,1.57291
 ,28,642.311644,340.972603,1.886234
 ,29,1779.314286,658.159664,2.731765
 ,30,645.300699,393.506993,1.642586
 ,31,783.407631,449.429719,1.745004
 ,32,728.804207,480.579288,1.521472
 ,33,907.152672,466.78735,1.956273
 ,34,776.016234,339.152597,2.290109
 ,35,623.173516,388.159817,1.615958
 ,36,801.016667,388.36,2.082359
 ,37,735.687908,364.921569,2.010822
 ,38,333.855204,296.60181,1.126387
 ,39,1318.411082,575.100515,2.298807
 ,40,647.128205,297.769231,2.180542
 ,41,671.69171,307.816062,2.189717
 ,42,1314.165049,555.605825,2.389859
 ,43,1410.894366,515.704225,2.763416
 ,44,819.976744,336.72093,2.437095
 ,45,1549.26,673.598571,2.317276
 ,46,1087.432773,507.886555,2.130808
