Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,221.918009,207.79795,1.068269
 ,2,220.398551,208.463768,1.057547
 ,3,224.721831,209.292254,1.073925
 ,4,227.950495,208.148515,1.09555
 ,5,231.361111,210.236111,1.100838
 ,6,225.538813,208.342466,1.082912
 ,7,229.633721,208.837209,1.099896
 ,8,229.576389,208.979167,1.09897
 ,9,235.810256,210.65641,1.119869
 ,10,252.074074,213.037037,1.183626
 ,11,230.767123,211.360731,1.092267
2,1,221.483163,207.877013,1.065784
 ,2,219.673913,208.26087,1.055104
 ,3,224.852113,209.151408,1.075314
 ,4,228.320132,208.188119,1.097106
 ,5,231.074074,209.546296,1.103086
 ,6,225.118721,208.013699,1.082646
 ,7,229.069767,208.005814,1.10167
 ,8,229.729167,209.173611,1.098678
 ,9,235.825641,211.358974,1.116206
 ,10,252.340741,213.881481,1.180273
 ,11,230.616438,210.689498,1.094967
3,1,221.745242,208.199122,1.065439
 ,2,220.202899,208.84058,1.054778
 ,3,224.964789,208.922535,1.07709
 ,4,227.108911,208.231023,1.091047
 ,5,231.412037,209.277778,1.106098
 ,6,224.639269,208.200913,1.079331
 ,7,228.645349,208.412791,1.097439
 ,8,229.194444,208.236111,1.100952
 ,9,235.692308,211.528205,1.114616
 ,10,252.4,214.081481,1.179384
 ,11,231.196347,211.191781,1.09513
4,1,221.284041,207.868228,1.064907
 ,2,220.463768,209.391304,1.053199
 ,3,224.447183,208.971831,1.074396
 ,4,227.673267,209.09901,1.089227
 ,5,231.013889,209.75463,1.10178
 ,6,224.579909,208.547945,1.077236
 ,7,228.639535,208.063953,1.09928
 ,8,229.493056,209.125,1.097736
 ,9,235.553846,210.815385,1.117721
 ,10,252.755556,212.562963,1.189474
 ,11,231.47032,211.027397,1.097235
5,1,221.489019,207.833089,1.065991
 ,2,220.492754,208.173913,1.059582
 ,3,224.820423,208.880282,1.076696
 ,4,227.660066,208.722772,1.091084
 ,5,230.935185,209.944444,1.100352
 ,6,225.196347,208.415525,1.080914
 ,7,229.895349,208.180233,1.104584
 ,8,229.965278,208.75,1.102025
 ,9,235.287179,211.328205,1.113763
 ,10,252.488889,213.318519,1.184032
 ,11,231.251142,211.342466,1.094541
6,1,221.405564,208.323572,1.063145
 ,2,220.347826,208.42029,1.057508
 ,3,225.003521,209.158451,1.076069
 ,4,228.620462,208.452145,1.097136
 ,5,231.240741,209.986111,1.101539
 ,6,225.899543,208.666667,1.082968
 ,7,228.587209,208.255814,1.0979
 ,8,228.909722,208.701389,1.097135
 ,9,234.923077,210.687179,1.115473
 ,10,252.874074,213.22963,1.186295
 ,11,231.707763,211.009132,1.098463
7,1,221.868228,208.385066,1.064983
 ,2,220.884058,208.224638,1.061116
 ,3,225.06338,208.823944,1.077993
 ,4,228.0033,208.415842,1.094339
 ,5,231.509259,209.675926,1.10442
 ,6,224.858447,208.707763,1.077722
 ,7,229.180233,207.988372,1.102296
 ,8,229.138889,208.756944,1.098045
 ,9,235.635897,211.364103,1.115158
 ,10,252.837037,213.585185,1.184044
 ,11,231.515982,210.849315,1.09832
8,1,221.592972,208.188873,1.064734
 ,2,220.297101,208.065217,1.059081
 ,3,224.443662,208.816901,1.075111
 ,4,227.372937,208.966997,1.088423
 ,5,230.462963,209.680556,1.099447
 ,6,224.43379,208.214612,1.078275
 ,7,229.645349,208.127907,1.103734
 ,8,229.652778,207.979167,1.104465
 ,9,235.251282,211.210256,1.114272
 ,10,252.4,212.688889,1.187083
 ,11,230.73516,211.547945,1.091016
9,1,221.72328,207.988287,1.066372
 ,2,221.369565,208.362319,1.062717
 ,3,225.017606,208.362676,1.080297
 ,4,227.722772,208.844884,1.090737
 ,5,230.671296,209.402778,1.101861
 ,6,225.086758,208.630137,1.079233
 ,7,228.709302,208.854651,1.09536
 ,8,229.9375,208.930556,1.10092
 ,9,234.651282,211.369231,1.110581
 ,10,252.903704,212.77037,1.188926
 ,11,230.981735,211.013699,1.095066
10,1,221.597365,208.065886,1.065328
 ,2,221.130435,208.775362,1.059469
 ,3,224.855634,209.035211,1.076054
 ,4,227.920792,208.653465,1.092681
 ,5,230.347222,209.972222,1.097428
 ,6,225.694064,208.041096,1.085208
 ,7,229.046512,208.482558,1.099
 ,8,229.166667,208.909722,1.097334
 ,9,235.523077,211.128205,1.11589
 ,10,253.385185,213.822222,1.18536
 ,11,231.146119,211.155251,1.095107
11,1,221.433382,208.146413,1.064201
 ,2,220.405797,208.42029,1.057705
 ,3,224.552817,208.683099,1.076339
 ,4,227.712871,208.947195,1.090224
 ,5,230.550926,209.407407,1.101303
 ,6,225.429224,209.114155,1.07835
 ,7,228.569767,207.965116,1.09953
 ,8,229.006944,208.694444,1.097657
 ,9,235.261538,211.169231,1.114552
 ,10,252.62963,213.637037,1.18291
 ,11,231.69863,211.360731,1.096665
12,1,221.554905,208.029283,1.065323
 ,2,220.746377,208.405797,1.059492
 ,3,224.253521,208.732394,1.074687
 ,4,227.887789,208.768977,1.091963
 ,5,231.171296,209.842593,1.102005
 ,6,225.333333,208.744292,1.079777
 ,7,228.738372,208.988372,1.094757
 ,8,230.159722,209.284722,1.100032
 ,9,235.292308,211.158974,1.114619
 ,10,253.881481,213.237037,1.191143
 ,11,231.39726,211.538813,1.094183
13,1,221.816984,208.103953,1.066246
 ,2,220.637681,208.181159,1.060181
 ,3,224.338028,208.764085,1.074936
 ,4,227.739274,207.60066,1.097391
 ,5,231.111111,209.634259,1.102756
 ,6,224.922374,208.013699,1.08171
 ,7,228.982558,208.563953,1.09816
 ,8,230.347222,209.215278,1.101432
 ,9,235.112821,210.661538,1.116534
 ,10,253.155556,212.896296,1.189606
 ,11,232.47032,211.068493,1.101761
14,1,221.758419,208.380673,1.064524
 ,2,220.333333,208.26087,1.058196
 ,3,224.179577,208.827465,1.073864
 ,4,227.184818,208.488449,1.090027
 ,5,230.333333,209.347222,1.100577
 ,6,225.328767,208.292237,1.082159
 ,7,228.145349,208.081395,1.096809
 ,8,229.381944,208.715278,1.099409
 ,9,235.558974,211.005128,1.116772
 ,10,252.718519,213.044444,1.186689
 ,11,231.547945,211.123288,1.09712
15,1,221.639824,207.771596,1.067086
 ,2,220.362319,208.710145,1.056148
 ,3,224.278169,208.71831,1.074863
 ,4,228.30363,209.148515,1.092031
 ,5,230.467593,209.587963,1.10004
 ,6,225.178082,208.429224,1.080688
 ,7,229.552326,208.430233,1.101679
 ,8,229.333333,208.270833,1.101551
 ,9,234.948718,210.671795,1.115686
 ,10,253.940741,213.62963,1.189065
 ,11,231.127854,211.027397,1.095578
16,1,222.210835,208.199122,1.067674
 ,2,221.188406,208.644928,1.060421
 ,3,224.640845,209.035211,1.074918
 ,4,227.161716,208.782178,1.088428
 ,5,230.49537,209.134259,1.10251
 ,6,224.835616,208.86758,1.076887
 ,7,229.19186,208.383721,1.100204
 ,8,230.215278,209.013889,1.101893
 ,9,235.753846,211.789744,1.1136
 ,10,252.644444,213.496296,1.183803
 ,11,231.255708,211.136986,1.095686
17,1,223.448023,208.383602,1.072659
 ,2,221.746377,208.797101,1.062344
 ,3,225.809859,208.964789,1.080847
 ,4,229.488449,208.759076,1.0997
 ,5,232.884259,209.074074,1.114243
 ,6,227.310502,208.913242,1.088393
 ,7,230.72093,208.674419,1.105981
 ,8,231.131944,208.458333,1.109052
 ,9,237.164103,210.974359,1.124482
 ,10,255.511111,213.325926,1.198204
 ,11,232.876712,210.840183,1.104926
18,1,223.452416,208.086384,1.074186
 ,2,222.057971,208.572464,1.064979
 ,3,226.25,208.71831,1.084317
 ,4,229.326733,209.085809,1.097181
 ,5,231.662037,209.912037,1.103954
 ,6,226.936073,208.977169,1.086274
 ,7,230.511628,208.569767,1.105534
 ,8,231.333333,208.694444,1.108868
 ,9,237.292308,211.379487,1.123003
 ,10,253.185185,213.325926,1.187241
 ,11,233.305936,211.146119,1.105345
19,1,223.408492,208.171303,1.073533
 ,2,221.268116,208.73913,1.060331
 ,3,225.711268,208.862676,1.080965
 ,4,229.844884,208.570957,1.102272
 ,5,231.787037,209.652778,1.10593
 ,6,227.242009,208.812785,1.088721
 ,7,229.761628,208.418605,1.102774
 ,8,231.416667,208.416667,1.110651
 ,9,236.471795,210.938462,1.121464
 ,10,253.340741,213.214815,1.188541
 ,11,232.484018,210.552511,1.104588
20,1,222.667643,208.089312,1.070405
 ,2,221.681159,208.565217,1.063237
 ,3,225.352113,209.21831,1.077438
 ,4,229.009901,208.422442,1.099161
 ,5,231.694444,209.587963,1.105874
 ,6,226.068493,208.388128,1.085138
 ,7,229.639535,208.145349,1.103625
 ,8,230.229167,208.798611,1.103039
 ,9,236.676923,211.102564,1.121678
 ,10,253.585185,213,1.190862
 ,11,232.050228,210.835616,1.101006
21,1,222.486091,207.925329,1.070433
 ,2,221.398551,208.789855,1.060644
 ,3,224.947183,208.376761,1.079802
 ,4,229.013201,208.712871,1.097675
 ,5,231.532407,209.736111,1.104285
 ,6,226.050228,208.821918,1.082828
 ,7,229.982558,208.546512,1.103101
 ,8,230.236111,209.208333,1.100934
 ,9,236.871795,211.076923,1.122599
 ,10,253.940741,213.214815,1.191438
 ,11,231.269406,210.917808,1.096889
22,1,222.847731,208.096633,1.071242
 ,2,221.391304,208.905797,1.060022
 ,3,225.338028,208.739437,1.079853
 ,4,229.059406,208.455446,1.099219
 ,5,231.509259,209.486111,1.105411
 ,6,226.840183,210.045662,1.080417
 ,7,229.697674,208.395349,1.102658
 ,8,230.048611,208.9375,1.101348
 ,9,235.533333,211.292308,1.11503
 ,10,254.6,213.081481,1.195292
 ,11,230.958904,210.634703,1.096914
23,1,222.480234,208.219619,1.068835
 ,2,221.536232,209.057971,1.060023
 ,3,225.137324,208.475352,1.080187
 ,4,228.613861,208.749175,1.095475
 ,5,231.398148,209.527778,1.104752
 ,6,226.753425,209.461187,1.082948
 ,7,229.994186,208.47093,1.103555
 ,8,229.715278,208.111111,1.104147
 ,9,235.738462,211.646154,1.114252
 ,10,252.688889,213.148148,1.186015
 ,11,231.744292,211.305936,1.097045
24,1,222.468521,208.143485,1.069157
 ,2,221.57971,208.123188,1.065027
 ,3,224.922535,208.630282,1.078446
 ,4,228.782178,208.808581,1.096081
 ,5,231.449074,210.162037,1.101636
 ,6,226.09589,208.127854,1.08677
 ,7,229.47093,208.796512,1.099421
 ,8,230.548611,208.722222,1.104999
 ,9,235.835897,211.164103,1.117357
 ,10,253.637037,213.474074,1.188647
 ,11,231.369863,211.369863,1.095003
25,1,222.250366,208.021962,1.068697
 ,2,220.782609,208.253623,1.060505
 ,3,225.309859,208.661972,1.080072
 ,4,228.69637,208.669967,1.0963
 ,5,231.564815,209.972222,1.103231
 ,6,225.666667,207.785388,1.086463
 ,7,229.563953,208.395349,1.101885
 ,8,231.118056,208.569444,1.108461
 ,9,236.569231,210.902564,1.12205
 ,10,254.155556,212.637037,1.195633
 ,11,231.429224,211.027397,1.097043
26,1,222.489019,208.156662,1.069205
 ,2,220.782609,207.681159,1.06335
 ,3,224.588028,208.852113,1.075662
 ,4,228.745875,208.9967,1.094901
 ,5,231.277778,209.916667,1.102058
 ,6,226.127854,208.648402,1.084088
 ,7,229.372093,208.697674,1.099455
 ,8,229.444444,209.263889,1.096753
 ,9,235.394872,211.487179,1.113516
 ,10,251.844444,213.651852,1.179251
 ,11,231.351598,210.621005,1.098768
27,1,222.030747,208.099561,1.067264
 ,2,220.572464,208.318841,1.05923
 ,3,225.260563,209.112676,1.077576
 ,4,227.966997,208.712871,1.092642
 ,5,231.078704,210.00463,1.100657
 ,6,226.13242,208.465753,1.085102
 ,7,229.587209,208.337209,1.102475
 ,8,230.0625,208.409722,1.104286
 ,9,235.302564,210.353846,1.118981
 ,10,252.140741,212.333333,1.187844
 ,11,231.52968,211.484018,1.095152
28,1,222.31918,208.31918,1.067518
 ,2,221.521739,208.014493,1.06522
 ,3,225.242958,208.760563,1.079262
 ,4,228.630363,208.50165,1.096931
 ,5,230.009259,209.546296,1.098012
 ,6,226.086758,209.255708,1.080838
