Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,229.189189,210.103604,1.091219
 ,2,337.070883,250.496183,1.340633
 ,3,235.327225,211.031414,1.11545
 ,4,295.422764,241.03252,1.22786
 ,5,280.60274,216.808219,1.293943
 ,6,245.269481,212.051948,1.156887
 ,7,259.061644,214.253425,1.209284
 ,8,241.012945,211.694175,1.138791
 ,9,301.281359,223.490418,1.342439
 ,10,240.96134,211.877577,1.135904
 ,11,251.558974,212.702564,1.182549
 ,12,293.512953,217.992228,1.336139
 ,13,230.953488,210.767442,1.096205
 ,14,456.243996,262.42171,1.613032
 ,15,265.14652,215.413919,1.23067
 ,16,393.133028,286.020642,1.38057
 ,17,273.602941,217.294118,1.259562
 ,18,583.172414,270.224138,2.144698
 ,19,313.107143,225.316327,1.388321
 ,20,1517.940476,640.613095,2.335513
 ,21,2011.716667,511.986667,3.655065
 ,22,275.3,219.886364,1.244353
 ,23,302.741176,227.793277,1.320224
 ,24,517.904762,283.761905,1.821506
 ,25,237.143763,212.549683,1.11605
 ,26,282.215517,229.140805,1.23038
 ,27,456.599034,268.937198,1.695278
 ,28,299.46817,224.22679,1.304128
 ,29,612.478022,378.17033,1.629592
 ,30,276.059783,222.127717,1.234883
 ,31,225.281863,209.703431,1.0746
 ,32,225.636943,209.694268,1.076359
 ,33,238.365854,212.756098,1.120622
 ,34,360.114094,249.956376,1.441172
 ,35,294.478632,222.098291,1.320736
 ,36,310.318182,230.055944,1.337999
 ,37,273.953815,258.263052,1.062451
 ,38,229.206667,211.92,1.081934
 ,39,227.944444,210.156863,1.085038
 ,40,229.184874,210.008403,1.09172
 ,41,221.192308,207.971154,1.06398
 ,42,223.92619,208.702381,1.073279
 ,43,272.331429,216.698571,1.256585
 ,44,346.31068,228.790291,1.495382
 ,45,277.577465,235.746479,1.178673
 ,46,1189.5625,450.84375,2.659661
 ,47,554.818408,292.457711,1.760257
 ,48,341.598485,231.909091,1.468246
 ,49,257.137097,214.607527,1.197717
 ,50,678.561093,314.967846,2.124625
 ,51,723.862873,387,1.74775
 ,52,247.239726,212.753425,1.162208
 ,53,233.791667,210.908854,1.108832
 ,54,402.092308,258.389744,1.565115
 ,55,246.044554,226.748515,1.084197
 ,56,227.708333,211.776961,1.075527
 ,57,225.805128,211.076923,1.070169
 ,58,292.457831,221.836145,1.306982
 ,59,226.081933,211.487395,1.06939
 ,60,386.618529,247.228883,1.558021
 ,61,258.488778,215.473815,1.199355
 ,62,241.791667,211.253788,1.144938
 ,63,292.312207,246.164319,1.188714
 ,64,251.963696,213.191419,1.182103
 ,65,253.168317,214.690594,1.179269
 ,66,333.810484,229.850806,1.434652
 ,67,266.178947,220.273684,1.205598
 ,68,240.119718,210.788732,1.13957
 ,69,273.422535,217.704225,1.252081
 ,70,334.2,236.02,1.415966
 ,71,713.461538,337.810256,2.084841
 ,72,341.630282,241.341549,1.414245
 ,73,249.970238,214.238095,1.166226
 ,74,237.826923,210.961538,1.127661
 ,75,262.444068,219.264407,1.197444
 ,76,242.276961,212.470588,1.139676
 ,77,230.837563,208.773266,1.106097
 ,78,314.952,244.208,1.291107
 ,79,244.41358,213.759259,1.143951
 ,80,245.054299,216.321267,1.129579
 ,81,230.185185,208.842593,1.102598
 ,82,247.174359,212.14359,1.163445
 ,83,237.932039,210.409709,1.131147
 ,84,229.783333,212.57,1.081296
2,1,229.193694,209.617117,1.093818
 ,2,337.718648,250.876772,1.34142
 ,3,235.704188,210.879581,1.118072
 ,4,295.898374,240.841463,1.23076
 ,5,280.305936,218.050228,1.285365
 ,6,245.50974,211.512987,1.161071
 ,7,259.417808,213.681507,1.214061
 ,8,241.524272,212.242718,1.138367
 ,9,300.666376,223.021777,1.342781
 ,10,240.844072,211.878866,1.135515
 ,11,251.661538,212.153846,1.186244
 ,12,292.474093,217.841969,1.332186
 ,13,232.55814,210.232558,1.106508
 ,14,455.85975,262.243996,1.613967
 ,15,264.978022,215.216117,1.231254
 ,16,393.417431,285.983945,1.381851
 ,17,272.338235,216.632353,1.257554
 ,18,588.741379,270.396552,2.161829
 ,19,314.459184,225.204082,1.395242
 ,20,1511.110119,638.875,2.331268
 ,21,2009.003333,510.85,3.65848
 ,22,275.6,220.05,1.244959
 ,23,302.497479,227.867227,1.319051
 ,24,519.369048,285.214286,1.816753
 ,25,236.917548,211.945032,1.118218
 ,26,281.456897,228.887931,1.22833
 ,27,455.468599,269.157005,1.689815
 ,28,299.087533,224.046419,1.303365
 ,29,611.892857,377.546703,1.630583
 ,30,275.32337,222.396739,1.229892
 ,31,226.019608,209.507353,1.079249
 ,32,226.961783,210.063694,1.080785
 ,33,239.02439,212.329268,1.12595
 ,34,360.510067,249.647651,1.444566
 ,35,294.262821,222.227564,1.319144
 ,36,310.513986,230.825175,1.334754
 ,37,274.644578,258.319277,1.065098
 ,38,229.066667,211.87,1.081515
 ,39,228.055556,210.281046,1.084882
 ,40,229.529412,209.420168,1.096435
 ,41,221.105769,207.192308,1.067457
 ,42,223.92619,208.592857,1.073873
 ,43,272.488571,216.704286,1.257233
 ,44,345.114563,228.623301,1.491743
 ,45,276.897887,234.612676,1.18121
 ,46,1184.28125,448.822917,2.661936
 ,47,554.813433,293.353234,1.754907
 ,48,340.121212,232.295455,1.459015
 ,49,258.018817,214.115591,1.204412
 ,50,678.541801,314.940514,2.124718
 ,51,722.486007,385.946828,1.748845
 ,52,246.616438,212.660959,1.159947
 ,53,233.958333,211.361979,1.107171
 ,54,402.05641,258.584615,1.56315
 ,55,246.3,226.875248,1.084851
 ,56,228.034314,211.740196,1.077262
 ,57,225.44359,211.535897,1.066102
 ,58,292.590361,222.139759,1.3049
 ,59,226.407563,211.691176,1.069853
 ,60,383.444142,246.768392,1.547932
 ,61,258.53616,215.389027,1.200039
 ,62,241.166667,211.655303,1.139839
 ,63,291.806338,246.123239,1.187046
 ,64,252.50495,213.706271,1.18173
 ,65,253.319307,214.289604,1.182286
 ,66,333.802419,230.270161,1.432393
 ,67,266.905263,220.340351,1.208457
 ,68,240.707746,210.785211,1.142329
 ,69,272.68662,217.34507,1.251152
 ,70,334.46,235.1,1.423195
 ,71,716.312821,335.030769,2.110309
 ,72,340.957746,240.538732,1.416076
 ,73,250.113095,213.446429,1.171403
 ,74,237.846154,210.038462,1.132673
 ,75,263.118644,218.959322,1.202182
 ,76,242.519608,211.897059,1.143901
 ,77,230.788494,208.988156,1.104728
 ,78,314.8,243.432,1.294825
 ,79,243.58642,213.512346,1.141295
 ,80,244.828054,216.113122,1.1296
 ,81,230.018519,209.083333,1.100543
 ,82,247.984615,212.261538,1.166803
 ,83,237.631068,210.695146,1.128255
 ,84,230.503333,212.276667,1.086158
3,1,229.414414,209.572072,1.095005
 ,2,336.121047,250.343511,1.337926
 ,3,235.965969,211.039267,1.118546
 ,4,295.203252,240.28252,1.230983
 ,5,280.945205,217.127854,1.293529
 ,6,246.045455,211.659091,1.162812
 ,7,259.215753,214.455479,1.20889
 ,8,241.288026,211.891586,1.13903
 ,9,300.765679,223.189895,1.342538
 ,10,241.157216,211.467784,1.139108
 ,11,250.820513,212.025641,1.182881
 ,12,292.150259,217.707254,1.331507
 ,13,230.697674,210.511628,1.096291
 ,14,454.848223,262.35927,1.609859
 ,15,264.424908,215.468864,1.227096
 ,16,392.626147,286.300459,1.377806
 ,17,273.514706,217.279412,1.259082
 ,18,582.758621,270.62069,2.139085
 ,19,314.984694,225.729592,1.394182
 ,20,1503.708333,638.982143,2.319085
 ,21,2005.326667,509.61,3.661085
 ,22,275.818182,221.231818,1.238923
 ,23,301.584874,227.927731,1.314604
 ,24,515.988095,285.583333,1.801757
 ,25,237.196617,212.243129,1.117911
 ,26,281.206897,228.873563,1.227725
 ,27,456.628019,269,1.695187
 ,28,298.701592,224.35809,1.299427
 ,29,611.178571,377.315934,1.62964
 ,30,275.904891,221.8125,1.23571
 ,31,225.634804,210.301471,1.073243
 ,32,225.942675,210.987261,1.0712
 ,33,238.29878,213.591463,1.115819
 ,34,359.624161,249.412752,1.4422
 ,35,294.733974,222.332265,1.320547
 ,36,311.465035,230.786713,1.338765
 ,37,273.971888,257.736948,1.06459
 ,38,228.803333,212.133333,1.078844
 ,39,228.22549,210.001634,1.087152
 ,40,229.365546,210.252101,1.091282
 ,41,222.163462,208.057692,1.068056
 ,42,224.02381,208.707143,1.073698
 ,43,272.288571,217.035714,1.254413
 ,44,344.316505,228.518447,1.488465
 ,45,276.964789,234.21831,1.18383
 ,46,1182.197917,448.09375,2.662264
 ,47,552.88806,293.029851,1.751765
 ,48,340.265152,232.477273,1.458949
 ,49,257.561828,214.352151,1.201032
 ,50,676.78135,315.602894,2.11486
 ,51,720.248134,385.680037,1.745294
 ,52,247.39726,213.030822,1.161504
 ,53,233.734375,210.710938,1.109723
 ,54,401.697436,258.261538,1.563721
 ,55,245.776238,226.681188,1.083483
 ,56,227.928922,212.218137,1.074314
 ,57,225.612821,211.289744,1.068156
 ,58,291.93253,222.137349,1.302518
 ,59,225.5,211.256303,1.067749
 ,60,383.607629,247.147139,1.546627
 ,61,257.496259,215.092269,1.196936
 ,62,242.064394,210.867424,1.148321
 ,63,291.550469,245.807512,1.187486
 ,64,252.306931,213.363036,1.182798
 ,65,253.982673,214.069307,1.186694
 ,66,331.173387,229.471774,1.426469
 ,67,266.603509,220.15614,1.208129
 ,68,240.982394,210.697183,1.14418
 ,69,272.408451,217.535211,1.248998
 ,70,335.6,236.2,1.420985
 ,71,716.035897,336.261538,2.102611
 ,72,340.647887,240.443662,1.415545
 ,73,249.970238,214.071429,1.167307
 ,74,237.807692,210.307692,1.130908
 ,75,262.440678,219.091525,1.198302
 ,76,242.79902,212.370098,1.142717
 ,77,230.098139,209.08291,1.100854
 ,78,314.968,243.424,1.295459
 ,79,243.864198,213.771605,1.141128
 ,80,244.235294,216.452489,1.125037
 ,81,231.592593,209.361111,1.106462
 ,82,247.312821,213.035897,1.159282
 ,83,237.693204,210.700971,1.128448
 ,84,230.986667,212.3,1.088451
4,1,228.630631,209.815315,1.090032
 ,2,336.909487,250.562704,1.339567
 ,3,236.311518,210.82199,1.121259
 ,4,295.49187,240.589431,1.230608
 ,5,279.068493,218.447489,1.277214
 ,6,246.373377,212.25974,1.161002
 ,7,258.873288,214.489726,1.207029
 ,8,241.244337,212.101942,1.137672
 ,9,300.595819,223.183798,1.341344
 ,10,240.722938,211.792526,1.135418
 ,11,252.005128,212.441026,1.186142
 ,12,293.033679,218.409326,1.331473
 ,13,231.255814,210.023256,1.101302
 ,14,455.251681,262.07781,1.613046
 ,15,264.901099,215.142857,1.231327
 ,16,392.646789,285.949541,1.378968
 ,17,272.367647,217.808824,1.250617
 ,18,580.87931,268.965517,2.145933
