Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,259.80303,215.367424,1.206598
 ,2,240.338983,215.364407,1.116235
 ,3,244.336066,213.467213,1.144788
 ,4,412.564655,245.025862,1.674485
 ,5,240.119403,212.104478,1.132451
 ,6,437.034247,251.123288,1.712438
 ,7,222.991597,210.211765,1.061619
 ,8,224.606325,209.429662,1.072801
 ,9,393.851064,280.021277,1.363766
 ,10,622.569579,314.404531,1.985486
 ,11,233.080882,209.455882,1.113208
 ,12,279.214286,249.911429,1.117664
 ,13,308.640845,230.492958,1.321787
 ,14,283.73822,221.895288,1.276803
 ,15,257.487805,246.723577,1.066092
 ,16,269.297297,217.162162,1.24034
 ,17,250.101064,213.234043,1.173316
 ,18,332.75,229.597561,1.447749
 ,19,232.522727,209.083333,1.112493
 ,20,257.117647,214.985294,1.196408
2,1,259.950758,215.647727,1.205686
 ,2,241.262712,215.338983,1.120794
 ,3,244.266393,213.647541,1.143421
 ,4,408.568966,244.637931,1.661184
 ,5,239.567164,211.298507,1.134218
 ,6,437.952055,252.123288,1.709087
 ,7,223.297479,209.880672,1.064477
 ,8,224.839695,209.535442,1.073359
 ,9,393.553191,280.164894,1.362145
 ,10,623.229773,314.996764,1.983608
 ,11,232.551471,209.470588,1.110566
 ,12,278.911429,250.205714,1.115059
 ,13,308.809859,230.394366,1.323851
 ,14,284.091623,221.973822,1.277954
 ,15,258.552846,246.235772,1.070663
 ,16,270.594595,215.513514,1.255876
 ,17,249.18617,213.984043,1.164891
 ,18,334.231707,228.176829,1.463068
 ,19,232.212121,208.848485,1.112242
 ,20,256.544118,214.735294,1.195104
3,1,259.761364,215.431818,1.206135
 ,2,241.483051,215.59322,1.120428
 ,3,244.471311,213.086066,1.147495
 ,4,405,244.909483,1.643796
 ,5,240.701493,212.41791,1.133508
 ,6,440.226027,251.513699,1.724095
 ,7,223.010084,209.968067,1.062458
 ,8,224.476554,209.330425,1.072693
 ,9,394.946809,281.234043,1.362132
 ,10,620.669903,313.084142,1.987486
 ,11,232.691176,210.014706,1.108462
 ,12,279.148571,250.634286,1.114411
 ,13,308.147887,230.197183,1.32173
 ,14,284.672775,221.837696,1.281148
 ,15,257.357724,246.471545,1.065804
 ,16,267.837838,216.054054,1.240031
 ,17,249.468085,214.223404,1.164986
 ,18,334.493902,228.109756,1.465201
 ,19,232.507576,209.765152,1.108882
 ,20,255.882353,215.338235,1.188606
4,1,258.856061,215.212121,1.203233
 ,2,241.101695,214.305085,1.125457
 ,3,245.135246,213.147541,1.15032
 ,4,412.280172,243.077586,1.686424
 ,5,240.283582,212.626866,1.130469
 ,6,438.513699,251.780822,1.713535
 ,7,222.976471,209.768067,1.063311
 ,8,224.683751,209.629226,1.072161
 ,9,394.462766,280.191489,1.36622
 ,10,619.653722,314.508091,1.975587
 ,11,232.970588,209.992647,1.109701
 ,12,278.802857,249.297143,1.118477
 ,13,308.302817,229.5,1.326702
 ,14,283.442408,221.636126,1.277078
 ,15,256.788618,246.674797,1.063353
 ,16,270.081081,217.72973,1.240576
 ,17,249.909574,213.638298,1.170395
 ,18,332.841463,228.79878,1.453098
 ,19,232.719697,209.356061,1.111987
 ,20,255.632353,215.75,1.185191
5,1,258.973485,214.916667,1.205358
 ,2,240.745763,214.898305,1.120696
 ,3,244.098361,213.07377,1.145866
 ,4,409.094828,244.12069,1.666156
 ,5,238.537313,211.119403,1.13014
 ,6,437.445205,251.369863,1.712632
 ,7,223.008403,210.021849,1.062633
 ,8,224.669575,209.608506,1.072191
 ,9,393.973404,281.271277,1.358329
 ,10,618.262136,313.359223,1.978713
 ,11,232.742647,210.272059,1.107154
 ,12,278.902857,249.665714,1.117153
 ,13,307.394366,229.091549,1.325811
 ,14,283.767016,221.819372,1.277268
 ,15,256.609756,245.463415,1.066725
 ,16,270.72973,216.783784,1.249328
 ,17,249.010638,214.037234,1.16391
 ,18,331.95122,228.676829,1.450071
 ,19,231.598485,209.439394,1.106248
 ,20,256.764706,215.161765,1.193645
6,1,259.477273,215.034091,1.206879
 ,2,240.881356,214.161017,1.125126
 ,3,244.57377,213.401639,1.146267
 ,4,413.732759,244.228448,1.684867
 ,5,239.865672,211.820896,1.132782
 ,6,439.143836,251.712329,1.717472
 ,7,223.510924,210.016807,1.064496
 ,8,224.694656,209.175573,1.074542
 ,9,394.164894,280.010638,1.365896
 ,10,618.501618,312.847896,1.982175
 ,11,232.595588,210.676471,1.104416
 ,12,279.534286,249.708571,1.119773
 ,13,305.140845,229.035211,1.315844
 ,14,283.801047,221.756545,1.27787
 ,15,257.853659,244.934959,1.074644
 ,16,270.702703,216.027027,1.253521
 ,17,249.542553,213.303191,1.170352
 ,18,330.945122,229.25,1.441752
 ,19,231.704545,209.424242,1.106799
 ,20,256.25,215.955882,1.187004
7,1,260.125,214.689394,1.211937
 ,2,240.432203,215.220339,1.117566
 ,3,243.848361,213.479508,1.142551
 ,4,412.948276,242.827586,1.690846
 ,5,240.253731,211.880597,1.134334
 ,6,439.856164,250.705479,1.727326
 ,7,222.92437,209.719328,1.063526
 ,8,224.436205,209.193021,1.073232
 ,9,393.952128,280.175532,1.363687
 ,10,615.546926,312.378641,1.97584
 ,11,232.485294,210.132353,1.106823
 ,12,279.405714,249.428571,1.120031
 ,13,306.478873,229.084507,1.321932
 ,14,284.395288,220.992147,1.285143
 ,15,256,245.398374,1.065831
 ,16,270.621622,217.405405,1.245198
 ,17,249.085106,213.797872,1.165456
 ,18,331.768293,228.310976,1.451967
 ,19,231.878788,209.424242,1.107562
 ,20,255.926471,215.529412,1.187767
8,1,258.992424,215.325758,1.203143
 ,2,241.101695,214.525424,1.124289
 ,3,243.512295,213.192623,1.142515
 ,4,407.948276,244.857759,1.656661
 ,5,243.820896,213.373134,1.143154
 ,6,438.773973,252.452055,1.711505
 ,7,222.727731,210.208403,1.059964
 ,8,224.763359,209.525627,1.073026
 ,9,393.154255,280.505319,1.358328
 ,10,615.297735,312.71521,1.97336
 ,11,231.433824,210.514706,1.099756
 ,12,278.225714,249.111429,1.11727
 ,13,305.683099,229.464789,1.315981
 ,14,283.664921,221.662304,1.277626
 ,15,255.788618,244.853659,1.066816
 ,16,268.918919,216.405405,1.242845
 ,17,248.526596,213.585106,1.164033
 ,18,330.865854,228.006098,1.44952
 ,19,231.924242,209.439394,1.107641
 ,20,255.794118,214.75,1.191524
9,1,259.439394,214.833333,1.207902
 ,2,240.211864,215.008475,1.117543
 ,3,244.081967,212.831967,1.146979
 ,4,407.301724,242.706897,1.667684
 ,5,239.402985,212.268657,1.128286
 ,6,439.027397,251.910959,1.714836
 ,7,223.078992,209.865546,1.063618
 ,8,224.684842,209.48964,1.072903
 ,9,394.143617,280.026596,1.365859
 ,10,614.504854,313.197411,1.967386
 ,11,233.139706,210.007353,1.110507
 ,12,278.12,249.188571,1.116458
 ,13,304.197183,229.415493,1.310311
 ,14,283.712042,221.905759,1.276438
 ,15,255.512195,245.552846,1.063667
 ,16,270.27027,215.945946,1.251979
 ,17,249.026596,214.414894,1.161869
 ,18,331.25,228.195122,1.450547
 ,19,232.613636,209.037879,1.113144
 ,20,255.794118,216.014706,1.1844
10,1,259.681818,214.287879,1.212257
 ,2,240.338983,215.09322,1.117837
 ,3,243.852459,213.163934,1.144253
 ,4,412.706897,242.607759,1.691405
 ,5,239.402985,211.641791,1.131864
 ,6,439.965753,251.691781,1.720223
 ,7,223.087395,209.968067,1.062996
 ,8,224.51145,209.497274,1.072024
 ,9,393.345745,280.340426,1.36254
 ,10,612.944984,311.398058,1.974225
 ,11,232.529412,210.617647,1.104433
 ,12,278.494286,249.654286,1.116023
 ,13,306.028169,229.852113,1.315708
 ,14,282.782723,221.612565,1.274191
 ,15,256.056911,244.585366,1.069726
 ,16,271.405405,216.378378,1.2548
 ,17,249.542553,212.968085,1.172221
 ,18,332.20122,228.286585,1.454157
 ,19,231.325758,209.310606,1.10558
 ,20,255.514706,215.323529,1.187025
11,1,259.943182,215.481061,1.206719
 ,2,240.652542,215.084746,1.119442
 ,3,244.483607,212.848361,1.14881
 ,4,413.310345,242.435345,1.695175
 ,5,241.925373,212.447761,1.139047
 ,6,437.794521,251.780822,1.711669
 ,7,222.717647,209.964706,1.06112
 ,8,224.570338,209.241003,1.073567
 ,9,394.244681,280.675532,1.361785
 ,10,612.165049,311.220065,1.972618
 ,11,232.294118,208.977941,1.111917
 ,12,278.197143,249.38,1.116126
 ,13,307.309859,229.570423,1.323339
 ,14,283.539267,222.091623,1.274872
 ,15,257.02439,243.99187,1.075202
 ,16,268.945946,216.783784,1.240912
 ,17,248.367021,213.579787,1.163446
 ,18,331.286585,228.213415,1.450089
 ,19,231.55303,208.651515,1.110081
 ,20,254.617647,214.823529,1.185501
12,1,259.844697,214.734848,1.21047
 ,2,240.313559,214.79661,1.11922
 ,3,243.733607,213.434426,1.142181
 ,4,408.978448,243.698276,1.668929
 ,5,239.358209,211.865672,1.130313
 ,6,436.869863,252.143836,1.706909
 ,7,222.862185,210.255462,1.060495
 ,8,224.656489,209.529989,1.072524
 ,9,395.441489,279.664894,1.371572
 ,10,610.440129,311.126214,1.966787
 ,11,232.838235,210.073529,1.108772
 ,12,278.002857,248.814286,1.117471
 ,13,306.140845,229.492958,1.317846
 ,14,283.096859,221.418848,1.276628
 ,15,255.292683,245.056911,1.064138
 ,16,268.837838,216.324324,1.243165
 ,17,248.904255,213.398936,1.166816
 ,18,329.554878,227.920732,1.444624
 ,19,231.848485,209.181818,1.108845
 ,20,254.529412,215.779412,1.180046
13,1,258.382576,215.143939,1.201324
 ,2,239.728814,214.432203,1.118406
 ,3,244.270492,212.72541,1.148525
 ,4,402.711207,244.189655,1.639539
 ,5,240.895522,212.343284,1.134958
 ,6,430.287671,251.869863,1.683204
 ,7,223.223529,209.823529,1.064246
 ,8,224.621592,209.499455,1.072518
 ,9,394.489362,280.335106,1.364991
 ,10,609.511327,311.799353,1.960437
 ,11,233.110294,210.426471,1.108212
 ,12,278.631429,248.945714,1.119748
 ,13,304.492958,229.126761,1.313287
 ,14,282.426702,221.968586,1.270439
 ,15,255.617886,243.926829,1.070866
 ,16,268.486486,216.432432,1.24086
 ,17,248.446809,213.904255,1.161906
 ,18,329.457317,226.896341,1.45089
 ,19,231.916667,209.431818,1.107676
 ,20,255.5,215.441176,1.18612
14,1,258.939394,214.829545,1.205676
 ,2,238.754237,214.457627,1.113679
 ,3,244.122951,212.897541,1.146987
 ,4,403.12931,243.590517,1.645537
 ,5,241.283582,212.791045,1.134218
 ,6,433.643836,251.061644,1.701429
 ,7,222.784874,210.393277,1.059341
 ,8,224.412214,209.366412,1.072232
 ,9,394.760638,280.93617,1.363374
 ,10,609.828479,309.239482,1.97759
 ,11,234.088235,209.919118,1.11564
 ,12,277.831429,249.188571,1.115414
 ,13,305.302817,228.978873,1.31737
 ,14,281.659686,221.918848,1.267284
 ,15,256.162602,245.894309,1.063476
 ,16,269.810811,215.540541,1.252029
 ,17,248.505319,213.484043,1.164491
 ,18,329.402439,228.018293,1.443127
 ,19,232.030303,208.704545,1.112157
 ,20,254.220588,215.132353,1.182209
15,1,259.079545,215.420455,1.202914
 ,2,240.067797,215.059322,1.116752
 ,3,244.536885,212.721311,1.149758
 ,4,409.405172,242.150862,1.68041
 ,5,239.313433,212.104478,1.128749
 ,6,430.726027,250.623288,1.693159
 ,7,222.757983,210.191597,1.060326
 ,8,224.589967,209.291167,1.073429
 ,9,395.111702,279.898936,1.369569
 ,10,607.220065,310.391586,1.961464
 ,11,233.139706,210.279412,1.109014
 ,12,278.251429,249.408571,1.115962
 ,13,304.725352,229.302817,1.313453
 ,14,282.73822,221.267016,1.275852
 ,15,255.560976,246.528455,1.060515
 ,16,267.297297,216.351351,1.235877
 ,17,248.56383,213.361702,1.16535
 ,18,328.914634,227.963415,1.441652
 ,19,231.643939,209.151515,1.10788
 ,20,253.470588,215.132353,1.178675
16,1,259.912879,214.920455,1.209698
 ,2,240.135593,214.338983,1.120835
 ,3,243.459016,213.659836,1.139662
 ,4,413.172414,243.025862,1.690344
 ,5,239.164179,212.955224,1.123395
 ,6,427.136986,251.808219,1.671845
 ,7,223.080672,210.45042,1.060653
 ,8,224.89422,209.538713,1.073655
 ,9,396.771277,280.526596,1.370893
 ,10,606.734628,309.508091,1.965003
 ,11,232.110294,210.580882,1.102542
 ,12,278.371429,249.277143,1.117025
 ,13,304.422535,228.732394,1.314526
 ,14,282.581152,221.510471,1.273831
 ,15,256.186992,244.504065,1.070796
 ,16,270.324324,217.837838,1.241458
 ,17,248.404255,213.526596,1.163787
 ,18,328.871951,227.530488,1.444251
 ,19,231.962121,209.325758,1.108396
 ,20,255.470588,215.088235,1.188062
17,1,260.878788,215.075758,1.213229
 ,2,243.440678,214.644068,1.134466
 ,3,246.377049,213.536885,1.15401
 ,4,408.918103,243.00431,1.673032
 ,5,240.701493,211.746269,1.137057
 ,6,416.10274,252.609589,1.624984
 ,7,224.178151,210.260504,1.067002
 ,8,225.95747,209.646674,1.078148
 ,9,398.494681,281.744681,1.37115
 ,10,608.262136,310.003236,1.966737
 ,11,234.794118,210.095588,1.118018
 ,12,280.374286,249.388571,1.124463
 ,13,307.422535,228.626761,1.32886
 ,14,285.32199,221.193717,1.288058
 ,15,259.081301,246.162602,1.077028
 ,16,272.675676,216.378378,1.260479
 ,17,251.946809,213.824468,1.178651
 ,18,331.95122,228.47561,1.451744
 ,19,234.55303,209.007576,1.122561
 ,20,257.75,215.102941,1.198577
18,1,260.102273,214.856061,1.210875
 ,2,241.627119,214.466102,1.127164
 ,3,245.885246,213.331967,1.152829
 ,4,414.547414,242.482759,1.700042
 ,5,241.447761,213.19403,1.13297
 ,6,410.089041,253.342466,1.597325
 ,7,224.69916,210.411765,1.06891
 ,8,225.753544,209.509269,1.077865
 ,9,396.93617,281.712766,1.367767
 ,10,604.624595,310.229773,1.953614
 ,11,233.735294,210.301471,1.11175
 ,12,279.748571,249.437143,1.121886
 ,13,307.823944,228.732394,1.330051
 ,14,283.41623,221.290576,1.278912
 ,15,257.065041,246.463415,1.064904
 ,16,269.837838,216.243243,1.248448
 ,17,250.553191,214.196809,1.170125
 ,18,329.79878,227.597561,1.44787
 ,19,233.159091,209.856061,1.111359
 ,20,256.161765,215.176471,1.190782
19,1,261.579545,214.662879,1.218833
 ,2,240.889831,214.542373,1.123307
 ,3,245.598361,213.143443,1.152488
 ,4,410.556034,243.00431,1.679632
 ,5,241.626866,211.238806,1.144193
 ,6,398.191781,254.109589,1.548414
 ,7,224.381513,210.035294,1.068804
 ,8,225.813522,209.564885,1.07787
 ,9,396.505319,280.898936,1.369841
 ,10,605.537217,309.621359,1.960596
 ,11,235.102941,210.419118,1.117656
 ,12,279.082857,248.4,1.123833
 ,13,306.84507,229.725352,1.319818
 ,14,283.018325,221.290576,1.276997
 ,15,257.02439,244.845528,1.071783
 ,16,269.567568,216.945946,1.242696
 ,17,249.574468,214.18617,1.165623
 ,18,329.47561,227.939024,1.444187
 ,19,233.340909,209.371212,1.114773
 ,20,255.852941,214.779412,1.191733
20,1,260.598485,214.965909,1.212602
 ,2,240.694915,214.067797,1.124653
 ,3,245.040984,213.245902,1.149253
 ,4,414.827586,241.961207,1.704498
 ,5,240.761194,212.552239,1.132981
 ,6,391.458904,254.527397,1.52079
 ,7,224.521008,210.018487,1.069657
 ,8,225.711014,209.761178,1.076385
 ,9,397.138298,280.212766,1.375441
 ,10,601.10356,309.508091,1.94722
 ,11,233.595588,210.764706,1.108702
 ,12,278.54,247.945714,1.123595
 ,13,308.014085,228.507042,1.331887
