Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,1664.745238,761.864286,2.213769
 ,2,1318.454713,538.147874,2.473556
 ,3,1484.98861,566.04328,2.643422
 ,4,1586.380567,748.817814,2.167811
 ,5,1376.046569,603.654412,2.293346
 ,6,2650.383772,868.046053,3.100285
 ,7,1077.870253,528.466772,2.051217
 ,8,1832.870748,667.190476,2.770244
 ,9,754.242857,452.671429,1.667083
 ,10,1724.753247,524.357143,3.296207
 ,11,592.289474,312.377193,1.897383
 ,12,1309.295699,579.916667,2.278941
 ,13,1104.141243,456.525424,2.466101
 ,14,1257.703804,498.51087,2.530923
 ,15,899.697561,662.487805,1.368655
 ,16,1189.951417,568.566802,2.092186
 ,17,3381.863333,651.91,5.181371
 ,18,670.788732,377.144366,1.791502
 ,19,1024.747024,574.657738,1.775723
 ,20,606.693333,284.793333,2.136484
 ,21,1498.76087,675.137681,2.224879
 ,22,1109.598485,424.484848,2.620066
 ,23,1539.244253,876.261494,1.796947
 ,24,954.587629,334.690722,2.84885
 ,25,1540.883648,668.584906,2.331794
 ,26,1859.681373,955.990196,1.99764
 ,27,1920.106061,532.954545,3.601989
 ,28,1337.954617,487.508607,2.748778
 ,29,1395.37963,376.509259,3.675894
 ,30,2467.164384,579.447489,4.232923
 ,31,2939.139738,809.279476,3.674041
 ,32,852.4375,416.778125,2.048994
 ,33,598.24024,291.891892,2.049459
 ,34,797.729412,416.117647,1.927115
 ,35,747.357143,370.666667,2.02251
 ,36,712.716667,304.966667,2.328718
 ,37,1740.963134,541.138249,3.214217
 ,38,1183.150552,400.548343,2.935226
 ,39,692.758065,298.155914,2.320008
 ,40,1953.810976,722.347561,2.733382
 ,41,1366.197411,437.561489,3.117707
 ,42,1693.579439,595.308411,2.847078
 ,43,1011.601626,390.449187,2.596
 ,44,857.80663,327.385359,2.556698
 ,45,3881.978992,880.256303,4.438303
 ,46,1237.432927,547.426829,2.301751
 ,47,2001.705357,635.410714,2.970192
 ,48,755.358974,352.653846,2.158736
 ,49,568.562189,432.636816,1.314903
2,1,1666.27381,760.72619,2.219669
 ,2,1314.334566,538.410351,2.465216
 ,3,1480.562642,566.446469,2.635957
 ,4,1580.906883,750.753036,2.156729
 ,5,1372.693627,603.139706,2.288322
 ,6,2647.997807,867.765351,3.095544
 ,7,1073.221519,527.908228,2.045011
 ,8,1829.734694,667.748299,2.757609
 ,9,716.332143,457.003571,1.567412
 ,10,1726.847403,525.581169,3.293422
 ,11,588.535088,314.140351,1.873888
 ,12,1304.274194,577.938172,2.279135
 ,13,1098.169492,458.124294,2.442046
 ,14,1253.453804,494.92663,2.539707
 ,15,899.958537,660.997561,1.370932
 ,16,1183.744939,566.736842,2.087338
 ,17,3378.51,649.34,5.198025
 ,18,669.725352,377.260563,1.786029
 ,19,1021.738095,578.065476,1.759591
 ,20,602.273333,284.896667,2.119313
 ,21,1497.978261,676.73913,2.219391
 ,22,1101.848485,425.924242,2.593389
 ,23,1528.637931,874.12931,1.787055
 ,24,947.618557,333.402062,2.838767
 ,25,1534.861635,667.238994,2.325105
 ,26,1860.862745,957.171569,1.993537
 ,27,1918.621212,531.590909,3.608927
 ,28,1345.923318,486.971831,2.767373
 ,29,1400.75,378.592593,3.669069
 ,30,2477.835616,582.232877,4.232723
 ,31,2936.884279,808.19214,3.677739
 ,32,850.83125,415.4125,2.051808
 ,33,596.807808,289.96997,2.058762
 ,34,795.988235,413.376471,1.931419
 ,35,752.107143,372.797619,2.023085
 ,36,715.983333,305.466667,2.336291
 ,37,1725.359447,539.986175,3.190932
 ,38,1182.609116,400.138122,2.936619
 ,39,691.919355,299.010753,2.310461
 ,40,1948.977642,722.20935,2.726769
 ,41,1364.692557,436.472492,3.122193
 ,42,1693.012461,596.813084,2.838795
 ,43,1005.077236,388.634146,2.592451
 ,44,859.835635,326.390884,2.57031
 ,45,3880.92437,877.810924,4.447438
 ,46,1236.170732,548.628049,2.290153
 ,47,1992.830357,634.479167,2.957594
 ,48,760.75641,355.294872,2.157902
 ,49,568.803483,432.343284,1.316583
3,1,1661.502381,759.038095,2.217548
 ,2,1313.212569,535.216266,2.475761
 ,3,1479.241458,564.113895,2.642878
 ,4,1576.838057,747.951417,2.159003
 ,5,1370.583333,603.176471,2.285711
 ,6,2644.557018,867.390351,3.09236
 ,7,1070.045886,527.357595,2.039935
 ,8,1786.29932,669.993197,2.685052
 ,9,731.096429,453.714286,1.612083
 ,10,1727.756494,526.107143,3.293136
 ,11,588.605263,312.666667,1.883446
 ,12,1300.556452,578.841398,2.267664
 ,13,1097.446328,458.59322,2.443213
 ,14,1251.646739,496.902174,2.525657
 ,15,896.870732,659.617073,1.369104
 ,16,1180.117409,566.615385,2.081088
 ,17,3372.836667,648.79,5.194712
 ,18,672.556338,376.327465,1.800336
 ,19,1020.377976,576.142857,1.763214
 ,20,600.926667,286.036667,2.106926
 ,21,1493.333333,674.702899,2.219176
 ,22,1102.363636,424.795455,2.601223
 ,23,1534.37931,875.132184,1.792131
 ,24,947.309278,331.639175,2.852894
 ,25,1531.201258,667.103774,2.320292
 ,26,1861.02451,958.843137,1.995046
