Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,215.464103,207.979487,1.036688
 ,2,215.441001,205.904648,1.046855
 ,3,213.496842,205.156842,1.041211
 ,4,214.679389,205.267176,1.046396
 ,5,219.496528,207.506944,1.058243
 ,6,228.098507,208.973134,1.091855
 ,7,214.069307,204.965347,1.044895
 ,8,211.104943,204.466066,1.033
 ,9,214.275297,207.506501,1.033126
 ,10,211.734127,203.690476,1.040056
 ,11,214.360196,205.859145,1.041867
 ,12,214,206.914474,1.034685
 ,13,211.303303,204.476977,1.03391
2,1,215.837179,207.676923,1.040067
 ,2,215.650179,205.822408,1.048337
 ,3,214.037895,205.849474,1.040273
 ,4,215.087786,204.996183,1.049683
 ,5,219.350694,206.982639,1.060259
 ,6,229.137313,209.068657,1.096422
 ,7,215.475248,205.257426,1.050258
 ,8,211.456954,204.703289,1.033523
 ,9,214.886942,207.624081,1.035491
 ,10,211.595238,204.394841,1.035833
 ,11,215.007708,206.334268,1.04258
 ,12,214.753289,207.180921,1.037123
 ,13,211.588589,204.586587,1.034757
3,1,214.315385,206.09359,1.040429
 ,2,215.599523,206.157926,1.046357
 ,3,213.834737,205.487368,1.041121
 ,4,215.320611,205.835878,1.046544
 ,5,219.006944,207.427083,1.05638
 ,6,228.18806,208.426866,1.095295
 ,7,215.089109,205.371287,1.04783
 ,8,211.389925,204.490993,1.034259
 ,9,214.325608,207.372527,1.034033
 ,10,211.462302,204.02381,1.036978
 ,11,214.998598,206.516468,1.041623
 ,12,214.023026,207.128289,1.033762
 ,13,211.320821,204.537538,1.033705
4,1,214.465385,206.880769,1.037237
 ,2,215.503576,205.891538,1.047278
 ,3,214.281053,205.54,1.043083
 ,4,215.133588,205.469466,1.047665
 ,5,219.322917,207.267361,1.058709
 ,6,227.492537,208.014925,1.094065
 ,7,215.059406,205.594059,1.046478
 ,8,211.447842,204.721303,1.033388
 ,9,214.674392,207.422838,1.035444
 ,10,211.525794,204.047619,1.037127
 ,11,215.496847,205.987386,1.046753
 ,12,214.253289,207.207237,1.034364
 ,13,211.074575,204.680681,1.031772
5,1,214.267949,206.40641,1.038602
 ,2,215.313468,206.0441,1.045586
 ,3,213.953684,205.563158,1.041376
 ,4,214.885496,205.427481,1.046475
 ,5,219.572917,207.788194,1.057178
 ,6,228.561194,208.528358,1.096522
 ,7,215.049505,206.049505,1.04416
 ,8,211.364893,204.815459,1.032511
 ,9,214.367439,207.70831,1.032548
 ,10,211.529762,204.472222,1.035062
 ,11,214.761037,205.893483,1.043594
 ,12,213.690789,207.289474,1.031365
 ,13,211.825325,204.785285,1.034931
6,1,214.762821,206.523077,1.040478
 ,2,215.301549,205.995232,1.045708
 ,3,214.164211,205.455789,1.042922
 ,4,214.740458,205.09542,1.047514
 ,5,219.15625,207.576389,1.056204
 ,6,228.20597,208.247761,1.0962
 ,7,213.980198,205.99505,1.039474
 ,8,211.445329,204.843318,1.032755
 ,9,214.365178,207.470888,1.033765
 ,10,211.039683,204.126984,1.034299
 ,11,214.306237,205.789068,1.041932
 ,12,214.042763,207.141447,1.033741
 ,13,211.405405,204.86036,1.032495
7,1,214.689744,206.788462,1.03872
 ,2,215.485697,206.035757,1.046434
 ,3,213.956842,205.493684,1.041732
 ,4,215.125954,205.614504,1.046699
 ,5,218.96875,208.138889,1.052552
 ,6,228.101493,208.274627,1.095766
 ,7,215.267327,206.212871,1.044429
 ,8,211.467323,204.809279,1.033015
 ,9,214.574336,207.494064,1.034646
 ,10,211.781746,203.910714,1.039058
 ,11,214.316748,205.733707,1.042225
 ,12,213.921053,207.230263,1.03285
 ,13,211.597097,204.495996,1.03526
8,1,214.023077,206.580769,1.036598
 ,2,215.332539,205.942193,1.046177
 ,3,213.905263,205.288421,1.042514
 ,4,214.400763,204.984733,1.046366
