Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,1140.132768,501.912429,2.281881
 ,2,920.387435,496.235602,1.862969
 ,3,865.663333,399.126667,2.173938
 ,4,1156.915842,525.638614,2.213685
 ,5,1149.783333,522.321429,2.203538
 ,6,1174.162896,431.868778,2.729138
 ,7,1249.639785,551.502688,2.307358
 ,8,2008.844884,625.590759,3.273609
 ,9,2421.978261,803.777778,3.044539
 ,10,869.508734,429.855895,2.030649
 ,11,758.30597,418.766169,1.818302
 ,12,627.512346,363.777778,1.726808
 ,13,1304.435849,491.871698,2.666743
 ,14,918.58046,371.178161,2.499851
 ,15,962.625678,421.513562,2.296984
 ,16,911.416667,332.55,2.742301
 ,17,1197.715152,503.887879,2.399125
 ,18,878.083333,362.37037,2.423232
 ,19,2613.900763,679.091603,3.856803
 ,20,627.151316,296.289474,2.122455
 ,21,758.688969,401.735986,1.901135
 ,22,1050.386719,448.427734,2.365192
 ,23,771.693548,398.989247,1.936971
 ,24,1940.670213,575.345745,3.431827
 ,25,1197.759259,450.04321,2.662889
 ,26,1326.984536,620.043814,2.178823
 ,27,1153.112195,412.729268,2.795343
 ,28,1260.829392,495.305743,2.563787
 ,29,827.993478,406.682609,2.064353
 ,30,1962.822479,767.557773,2.626987
 ,31,1256.383772,515.412281,2.453797
 ,32,714.682051,330.307692,2.1807
 ,33,1378.854839,620.431452,2.219701
 ,34,1203.005952,492.464286,2.461663
 ,35,1309.109948,527.007853,2.519051
 ,36,1928.815126,634.94958,3.121082
 ,37,2136.019512,690.970732,3.096995
 ,38,1357,552.227941,2.489573
 ,39,925.138484,649.85277,1.425689
 ,40,970.533333,357.928205,2.710323
 ,41,922.924658,426.958904,2.19061
 ,42,1197.197143,535.457143,2.256509
 ,43,1400.915493,529.137324,2.669344
 ,44,1496.597902,569.454545,2.650369
 ,45,1192.235294,453.336134,2.661718
 ,46,855.027778,355.481481,2.409641
 ,47,654.283333,327.725,2.008621
 ,48,984.979358,473.137615,2.102828
 ,49,917.643939,411.07197,2.248449
 ,50,1543.113636,942.037879,1.639134
 ,51,1050.822761,694.839552,1.517737
 ,52,974.385542,396.525301,2.470402
 ,53,1411.473451,482.575221,3.003997
 ,54,1360.842105,477.736842,2.86362
 ,55,976.006579,445.664474,2.186803
 ,56,1005.767606,505.43662,1.999832
 ,57,1076.583333,425.36,2.539985
 ,58,1619.104348,638.243478,2.555298
 ,59,4078.992537,1194.820896,3.43471
2,1,1138.488701,504.30226,2.267442
 ,2,922.086387,498.390052,1.856779
 ,3,864.45,401.06,2.160662
