Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,215.718062,204.422026,1.055839
 ,2,210.640931,204.056373,1.032743
 ,3,212.462121,203.99053,1.042102
 ,4,232.453448,217.705172,1.06848
 ,5,212.482143,203.871849,1.042745
 ,6,220.087121,206.189394,1.067965
 ,7,214.633521,204.470294,1.050276
 ,8,211.62069,203.346523,1.041179
 ,9,213.423567,204.106688,1.046178
 ,10,216.606343,204.804104,1.05811
 ,11,212.136634,204.406931,1.038358
 ,12,212.156061,204.968182,1.035587
 ,13,215.970027,207.940054,1.039072
 ,14,215.134253,206.882438,1.040366
 ,15,213.13269,205.916767,1.03559
 ,16,212.440299,204.442164,1.039666
 ,17,216.704225,205.862676,1.053294
2,1,215.920705,204.868722,1.054474
 ,2,211.508578,203.416667,1.0403
 ,3,212.905303,203.941288,1.044424
 ,4,232.62931,217.489655,1.070293
 ,5,212.953782,203.970588,1.044583
 ,6,220.299242,206.128788,1.069351
 ,7,214.848655,204.913696,1.049034
 ,8,211.855285,203.858677,1.039745
 ,9,213.471338,204.332803,1.045247
 ,10,216.423507,205.436567,1.054009
 ,11,212.410891,204.737624,1.037995
 ,12,212.657576,204.904545,1.038379
 ,13,216.6703,208.098093,1.041703
 ,14,215.783019,206.655298,1.044692
 ,15,212.431846,205.930036,1.032009
 ,16,212.30597,204.652985,1.037896
 ,17,215.957746,205.598592,1.050994
3,1,216.296035,204.906608,1.056119
 ,2,211.390931,204.268382,1.035359
 ,3,212.503788,204.498106,1.039711
 ,4,233.253448,217.572414,1.072769
 ,5,212.930672,203.757353,1.045578
 ,6,220.223485,205.795455,1.070725
 ,7,215.069418,204.766104,1.050854
 ,8,211.962125,203.596382,1.041669
 ,9,213.713376,204.25,1.04694
 ,10,215.658582,205.567164,1.049682
 ,11,212.70297,204.49703,1.040621
 ,12,213.033333,205.110606,1.039118
 ,13,217.087193,207.722071,1.045636
 ,14,215.664369,207.051887,1.042136
 ,15,212.382388,205.839566,1.03223
 ,16,213.352612,204.804104,1.042279
 ,17,216.172535,205.901408,1.050311
4,1,215.962996,205.015859,1.053916
 ,2,210.876225,203.980392,1.034276
 ,3,212.570076,203.964015,1.042782
 ,4,232.97931,217.998276,1.06956
 ,5,212.686975,203.956933,1.043344
 ,6,220.731061,207.147727,1.066105
 ,7,215.327705,204.830519,1.051771
 ,8,211.739401,203.976823,1.038592
 ,9,213.345541,204.35828,1.04447
 ,10,216.003731,205.214552,1.05304
 ,11,211.956436,205.219802,1.033333
 ,12,212.719697,205.213636,1.037105
 ,13,216.60218,208.177112,1.04104
 ,14,215.193396,206.848331,1.040878
 ,15,212.472859,205.94813,1.032211
 ,16,213.264925,204.369403,1.044037
 ,17,216.933099,206.176056,1.052718
5,1,215.862555,204.715419,1.054964
 ,2,211.139706,203.471814,1.038223
 ,3,213.482955,204.340909,1.045301
 ,4,233.12931,217.724138,1.071601
 ,5,213.097689,203.762605,1.046346
 ,6,220.950758,206.42803,1.070862
 ,7,215.00813,204.61601,1.051307
 ,8,211.81628,203.890899,1.039379
 ,9,214.047771,204.232484,1.04857
 ,10,216.052239,205.445896,1.052158
 ,11,212.276238,205.116832,1.035388
 ,12,212.416667,204.722727,1.038187
 ,13,217.53951,207.80654,1.047315
 ,14,215.324383,206.566401,1.042923
 ,15,212.259349,205.518697,1.033308
 ,16,212.951493,204.643657,1.041046
 ,17,216.580986,205.764085,1.053176
6,1,215.60793,204.262555,1.056113
 ,2,210.73652,203.609069,1.035556
 ,3,212.964015,203.80303,1.045587
 ,4,232.641379,217.674138,1.069481
 ,5,212.518908,203.660714,1.044019
 ,6,219.80303,205.776515,1.068698
 ,7,215.165103,204.597874,1.052252
 ,8,211.784624,203.522329,1.041154
 ,9,213.866242,203.936306,1.049272
 ,10,216.391791,206.039179,1.050805
 ,11,212.39802,204.981188,1.036701
 ,12,212.054545,204.560606,1.037167
 ,13,216.498638,208.016349,1.041407
 ,14,215.36103,206.663643,1.042594
 ,15,212.268999,205.747889,1.032209
 ,16,212.817164,204.973881,1.038853
 ,17,216.461268,205.658451,1.053073
7,1,215.865198,205.044934,1.053326
 ,2,211.583333,203.862745,1.038373
 ,3,212.57197,204.198864,1.041459
 ,4,232.284483,218.036207,1.06623
 ,5,213.171218,204.159664,1.044707
 ,6,219.852273,205.443182,1.070765
 ,7,215.046904,204.446529,1.052387
 ,8,211.691916,203.540984,1.040604
 ,9,213.732484,204.221338,1.047116
 ,10,215.882463,205.884328,1.049034
 ,11,212.155446,204.936634,1.035752
 ,12,212.204545,204.878788,1.036264
 ,13,216.961853,208.479564,1.041112
 ,14,215.613933,207.035196,1.041973
